Irradiance,Enhanced
0,0
0.31,0.03
0.95,0.12
2.85,0.28
5.71,0.34
10.15,0.53
15.23,0.69
20.63,0.82
26.34,0.94
31.42,1
39.04,1.09
53.65,1.09
76.19,1.07
105.07,1.08
139.04,1.06
174.6,1.02
210.47,1.02
249.52,1.02
286.66,1.03
324.76,1.04
369.84,1.04
420.95,1.05
460.31,1.05
499.68,1.06
541.26,1.05
580.63,1.05
619.68,1.04
649.2,1.04
684.76,1.04
719.68,1.03
751.74,1.02
783.8,1.02
812.06,1.02
832.38,1.02
857.14,1.02
881.26,1.01
905.07,1.01
921.9,1
941.26,1.01
955.87,1
967.61,1.01
985.39,1
986.03,1
999.36,1
1000.31,1
1004.12,1
1006.03,1
1006.66,1
