Irradiance,Enhanced
0.31,3.29
0.63,3.95
0.63,5.41
0.95,8.76
1.26,3.99
1.9,5.7
2.85,7.53
4.44,8.41
5.71,9.12
6.03,12.46
6.34,9.24
7.93,12.79
9.52,8.87
10.79,12.3
12.38,12.82
13.01,9
17.14,8.94
18.09,11.15
21.58,8.89
26.34,8.72
26.66,9.55
26.98,10.84
32.69,9.06
35.23,9.63
39.68,9.48
42.22,9.29
47.93,9.1
49.2,8.48
52.06,8.02
54.28,8.42
54.92,8.05
56.82,8.81
57.14,8.3
59.04,7.81
62.85,7.81
63.8,5.9
76.5,7.09
79.68,5.71
80.31,7.03
82.53,7.06
92.06,5.29
93.01,4.88
100.31,6.1
153.01,4.88
162.53,4.56
166.66,4.31
167.61,4.05
202.85,3.56
209.2,3.34
217.46,3.58
224.12,3.23
251.11,2.96
258.41,2.95
262.22,2.89
272.38,2.9
276.19,2.75
284.44,2.44
288.57,2.71
290.15,2.7
298.41,2.74
308.25,2.5
328.88,2.22
340,2.312
320.31,2.45
349.84,2.21
360.95,2.2
366.98,2.16
375.23,2.14
375.87,2.16
398.09,2.02
401.58,2.06
404.44,2.06
416.19,1.96
424.44,1.97
441.58,1.92
459.36,1.83
469.2,1.8
472.38,1.69
473.01,1.79
481.58,1.76
487.93,1.8
488.57,1.73
503.49,1.71
516.82,1.69
538.09,1.62
540,1.61
551.11,1.61
564.76,1.54
567.3,1.54
568.57,1.52
580,1.5
588.25,1.5
588.57,1.48
591.42,1.48
595.87,1.48
597.77,1.38
620.31,1.43
620.63,1.4
625.07,1.41
631.42,1.38
633.65,1.39
639.68,1.39
643.17,1.39
658.73,1.36
668.57,1.27
671.11,1.36
678.09,1.32
679.68,1.36
683.17,1.31
684.44,1.31
692.38,1.3
707.93,1.29
734.6,1.26
742.22,1.16
750.47,1.23
751.42,1.16
760.95,1.21
766.98,1.18
768.57,1.19
785.39,1.16
797.77,1.13
805.07,1.15
805.39,1.15
807.61,1.15
807.93,1.15
808.25,1.15
815.55,1.14
822.53,1.12
830.47,1.11
840.63,1.1
849.52,1.07
864.44,1.08
876.19,1.07
901.58,1.04
919.36,1.03
922.53,1.03
933.65,1.02
946.34,1
