Irradiance,Enhanced
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.31,0.023312473
0.31,0.015065461
0.31,0.017026087
0.31,0.012484671
0.31,0.010930502
0.31,0.011518318
0.31,0.010639994
0.31,0.016476302
0.31,0.010202069
0.31,0.014659145
0.31,0.014837638
0.31,0.012227641
0.31,0.017442546
0.31,0.012340038
0.31,0.016540178
0.31,0.012818324
0.31,0.013678782
0.31,0.010168287
0.31,0.015895052
0.31,0.012742622
0.31,0.016629745
0.31,0.016779809
0.31,0.016689738
0.31,0.016718038
0.31,0.012153831
0.31,0.010482102
0.31,0.014469183
0.31,0
0.31,0.013446748
0.31,0.02248343
0.31,0.026966646
0.31,0
0.31,0.021296245
0.31,0.011615512
0.31,0.012268891
0.31,0
0.31,0.016873992
0.31,0.0153717
0.31,0.021189542
0.31,0
0.31,0.022995864
0.31,0.013304974
0.31,0
0.31,0.011270912
0.31,0.022268498
0.31,0.017884446
0.31,0
0.31,0.025582149
0.31,0.036507518
0.63,0.030660345
0.63,0.041997793
0.95,0.068004335
1.26,0.030969028
1.9,0.044231686
1.9,0.062393083
2.85,0.058439834
2.85,0.070662774
4.44,0.065282491
5.71,0.070820817
6.03,0.096745853
6.34,0.071740971
7.93,0.099295661
9.52,0.068901724
10.79,0.095533331
12.38,0.099571934
13.01,0.069870866
17.14,0.069428482
18.09,0.086562169
21.58,0.069020671
26.34,0.067700636
26.66,0.074123791
26.98,0.084168712
32.69,0.070355277
35.23,0.074734529
35.23,0.07664084
39.68,0.073580483
42.22,0.072099375
47.93,0.070635641
49.2,0.065876687
52.06,0.062294903
54.28,0.065368792
54.92,0.062498118
56.82,0.068401428
57.14,0.064425655
59.04,0.060616872
62.85,0.060657844
63.8,0.045796383
76.5,0.05507555
79.68,0.044356758
80.31,0.054611939
82.53,0.054814471
92.06,0.041038688
93.01,0.037918625
100.31,0.047353454
153.01,0.0378634
162.53,0.035423945
166.66,0.033428214
167.61,0.031456708
202.85,0.027618847
209.2,0.025927976
217.46,0.027832046
224.12,0.025041142
251.11,0.02295391
258.41,0.022907587
262.22,0.022438946
272.38,0.022525577
276.19,0.021324182
284.44,0.018978907
288.57,0.021039146
290.15,0.02094575
298.41,0.021266474
308.25,0.019593295
320.31,0.019003317
328.88,0.017270452
340,0.017952042
349.84,0.017187401
360.95,0.017120158
366.98,0.016739683
375.23,0.016600607
375.87,0.016751692
398.09,0.015716075
401.58,0.015964185
404.44,0.015987398
416.19,0.015253278
424.44,0.015263042
441.58,0.014883261
459.36,0.014184987
469.2,0.013999003
469.2,0.013855486
472.38,0.013136224
473.01,0.013917887
481.58,0.013656511
487.93,0.013982215
488.57,0.013463944
503.49,0.013289449
516.82,0.013116498
538.09,0.012564484
540,0.012490597
551.11,0.012483924
564.76,0.011987385
567.3,0.011975238
568.57,0.011810963
580,0.011642197
588.25,0.011670312
588.57,0.011508848
591.42,0.01150149
595.87,0.011462263
597.77,0.010702335
620.31,0.011088116
620.63,0.010843434
625.07,0.010947576
631.42,0.01074052
633.65,0.010775593
639.68,0.010765933
643.17,0.010818849
658.73,0.010548758
668.57,0.009894612
671.11,0.01052761
678.09,0.010277122
679.68,0.010533849
683.17,0.010205874
684.44,0.010168199
692.38,0.010072081
707.93,0.010006286
734.6,0.009774022
742.22,0.008973911
750.47,0.009512757
751.42,0.008983836
760.95,0.009394866
766.98,0.009159152
768.57,0.009204074
785.39,0.009032843
797.77,0.008787743
805.07,0.008896945
805.39,0.008892148
807.61,0.008909296
807.93,0.008909605
808.25,0.008943151
815.55,0.008820065
822.53,0.008712751
830.47,0.008649041
840.63,0.008574968
849.52,0.008295977
864.44,0.008370631
876.19,0.00828238
901.58,0.008110329
919.36,0.008012455
922.53,0.008014229
933.65,0.007892902
946.34,0.007764472
