Irradiance,Enhanced
0.31,0.350270791
0.63,0.683982193
0.95,0.62907723
0.95,0.842988252
1.26,0.92838442
1.58,0.723726619
1.9,0.692961314
2.53,0.667470062
2.85,0.557471101
3.17,0.64580675
3.49,0.693055831
3.8,0.690579484
4.12,0.692677763
4.44,0.717573558
4.76,0.758943677
5.07,0.724974244
5.39,0.692365857
5.39,0.781306415
5.71,0.798621941
6.03,0.727403333
6.34,0.726051739
6.66,0.804198448
6.98,0.731439211
7.61,0.727686884
7.93,0.760966342
8.25,0.825729435
8.57,0.814737101
9.2,0.801655939
9.52,0.833905162
10.15,0.828451527
10.47,0.846532641
10.79,0.829368342
11.11,0.887269497
11.74,0.81456697
12.06,0.887751534
12.69,0.927495959
13.01,0.896239166
13.33,0.865700702
13.65,0.907193694
13.96,0.870814075
14.6,0.892269449
15.23,0.946172531
15.87,0.980302644
16.5,0.9133184
16.82,0.891021824
17.46,0.926314496
18.09,0.923554598
18.73,0.929121653
19.36,0.962920955
19.68,0.957070349
20.31,0.982949121
20.63,0.989773254
21.26,0.943280309
21.9,0.964357615
22.53,0.9872591
23.49,1.011342048
24.12,0.969064565
24.76,1.012863773
24.76,1.031209535
25.07,0.994678689
25.71,0.996020832
26.66,1.019839132
26.98,1.045717904
27.93,1.024650051
28.57,1.058298126
29.52,1.061171445
30.47,1.05959301
31.74,1.041322861
33.33,1.067797091
33.65,1.072267748
34.28,1.070074952
35.23,1.095386622
36.5,1.094725003
37.14,1.09758887
38.09,1.100490544
38.73,1.104611488
39.68,1.110944131
40,1.103051956
40.31,1.101019839
40.63,1.106653056
40.95,1.140102646
41.26,1.106189923
41.58,1.125622631
42.53,1.123259705
42.85,1.112153949
43.8,1.102985794
44.12,1.117976201
44.12,1.123259705
44.44,1.118722885
44.76,1.117295678
45.07,1.115830663
46.34,1.13325961
46.34,1.130008223
46.66,1.117815522
46.98,1.133174545
47.61,1.1293277
47.93,1.144979726
48.25,1.13492311
49.2,1.15845786
49.52,1.154459788
49.84,1.162739483
50.15,1.162011701
50.47,1.142626251
51.11,1.148552471
51.42,1.137011938
53.01,1.159138382
54.28,1.156945587
54.6,1.147134715
54.92,1.161851022
55.23,1.165943611
55.55,1.180603208
55.87,1.154677177
56.19,1.162040056
56.5,1.178986966
56.82,1.197408342
57.14,1.188070056
57.77,1.180319657
59.04,1.189450005
59.36,1.189289326
60.31,1.188325252
61.26,1.23417548
61.58,1.197512311
62.22,1.188419769
71.11,1.227587641
72.06,1.204326991
72.69,1.193892307
73.65,1.183429268
74.6,1.18022514
74.92,1.228381584
75.55,1.234194384
75.87,1.200650277
77.77,1.204979159
81.58,1.201519834
86.66,1.213372274
95.23,1.209544333
95.87,1.208296708
98.09,1.272643926
103.17,1.260782034
105.39,1.281358399
105.71,1.273655258
106.34,1.196056748
107.3,1.26917515
108.25,1.226292757
108.57,1.255281141
109.52,1.232086653
115.55,1.270422775
118.73,1.261717753
120.63,1.272171341
125.07,1.257473937
128.57,1.263655353
130.47,1.271263977
131.11,1.266084442
134.92,1.257757488
137.77,1.257596809
144.44,1.254402132
151.11,1.252804794
156.5,1.250073251
166.66,1.250498578
168.57,1.258920048
172.06,1.237672612
173.96,1.246736798
176.82,1.249326566
184.76,1.24403361
185.07,1.247407869
188.25,1.245347397
192.38,1.24436442
194.92,1.244336065
197.14,1.250196123
197.77,1.22885417
206.34,1.228797459
208.88,1.230479863
213.65,1.226047013
214.28,1.220772961
217.46,1.230933545
218.09,1.233135793
220,1.23489381
224.76,1.223797507
226.66,1.252738632
229.2,1.228920332
230.79,1.217729511
235.23,1.240772772
237.14,1.231264355
237.77,1.220905284
238.41,1.228353229
243.17,1.208126577
249.52,1.223202049
254.92,1.228532812
255.23,1.217398701
256.19,1.219572594
257.14,1.222512075
258.41,1.236131984
260,1.233608378
261.58,1.207020728
269.52,1.213277757
271.74,1.220082986
272.69,1.222304137
276.82,1.216311755
277.14,1.229071559
287.93,1.199714558
288.25,1.219667111
290.47,1.218807006
296.5,1.222814529
305.07,1.210224856
308.57,1.220281472
310.47,1.21944027
314.92,1.215092485
316.19,1.217266377
320,1.200338371
324.12,1.215347681
325.71,1.247993875
362.22,1.205347776
363.49,1.196907402
373.96,1.185527547
376.5,1.191756222
377.46,1.197833669
379.36,1.195432935
381.9,1.193438625
391.42,1.187748698
397.77,1.186794076
403.17,1.188334704
403.8,1.185262899
418.09,1.183400913
421.26,1.178599446
431.74,1.180083364
432.38,1.18022514
435.87,1.176822525
437.77,1.173561687
447.93,1.163590136
450.79,1.16455421
453.65,1.168694058
454.28,1.171841476
455.87,1.173656204
456.5,1.169478549
456.82,1.160972013
459.04,1.166728103
462.85,1.162219639
464.12,1.177493596
464.44,1.17668075
465.07,1.16488502
472.38,1.160764076
473.01,1.160386008
486.34,1.156539163
495.55,1.157559947
500.63,1.154365271
506.03,1.150301037
507.61,1.155234828
507.93,1.153164904
509.2,1.157361462
511.74,1.155537282
513.96,1.15386433
514.28,1.153212162
535.87,1.141473143
542.85,1.136047863
543.8,1.143675391
547.61,1.13769246
547.61,1.141000558
551.11,1.13242786
554.92,1.13314619
557.46,1.132049792
558.41,1.129157569
566.03,1.127739813
571.42,1.128458143
572.38,1.127739813
574.92,1.129403314
576.82,1.128288012
579.04,1.12584002
580,1.134157522
581.9,1.124204875
582.22,1.124252134
585.39,1.127361745
586.98,1.120178448
589.52,1.126520543
590.47,1.126766288
591.42,1.120641582
592.38,1.118722885
592.69,1.124110358
598.73,1.117995104
600.95,1.128571564
605.39,1.118288107
609.52,1.12030132
611.74,1.115348626
612.69,1.11675693
615.23,1.120821164
615.87,1.113014055
618.73,1.121359912
624.76,1.117182257
627.3,1.115074527
627.61,1.118221945
631.42,1.102995246
640,1.103590703
649.84,1.102106785
653.33,1.093949963
655.23,1.10567953
656.19,1.094961295
660,1.099951796
661.26,1.09205017
663.49,1.103486735
664.12,1.089762857
665.07,1.094479258
667.3,1.102862922
669.52,1.090991579
670.15,1.093808187
674.92,1.102267464
678.41,1.100197541
680.63,1.098912109
680.95,1.098297748
684.12,1.092541658
684.44,1.095481139
689.2,1.098099262
691.42,1.09210688
701.9,1.083987864
725.07,1.078534229
726.34,1.07787261
727.3,1.083089952
728.25,1.078354647
728.57,1.077882062
733.65,1.082721335
738.73,1.077938772
740.63,1.06884623
742.53,1.079063525
746.98,1.070538086
749.84,1.06962127
750.15,1.067655315
752.38,1.073118402
754.28,1.077721383
755.55,1.08784416
756.5,1.074555061
763.17,1.073600439
764.44,1.071124091
773.96,1.072371717
776.82,1.077182635
780.63,1.072589106
780.95,1.073023884
783.17,1.063127948
784.76,1.060972959
785.07,1.059451234
787.3,1.054007051
787.93,1.072919916
790.47,1.053458852
790.79,1.061048572
791.11,1.05527358
797.46,1.065197871
797.77,1.054621412
798.41,1.059300007
800.95,1.053789662
801.26,1.053770758
804.12,1.05134167
804.76,1.051370025
808.25,1.053165849
810.15,1.046256652
810.79,1.048543965
812.06,1.052088355
816.19,1.049451328
816.82,1.057296245
818.41,1.055547679
819.36,1.050812374
820.63,1.0517859
823.17,1.052390809
826.34,1.056587367
826.66,1.050973053
829.84,1.046010907
830.47,1.044385214
831.11,1.048940936
831.42,1.05217342
834.92,1.037570533
848.25,1.057938961
852.06,1.041332313
854.92,1.037504371
856.82,1.040235915
858.73,1.043496753
860,1.035784161
864.76,1.036096067
865.39,1.043260461
867.3,1.034791732
867.61,1.037759567
871.11,1.040850276
872.69,1.036530846
874.6,1.035812516
876.19,1.029451517
877.14,1.036209488
878.41,1.032079092
879.68,1.036464684
881.9,1.037929698
882.22,1.032116899
884.44,1.034470374
885.39,1.028893867
885.71,1.036880559
886.98,1.026578199
887.3,1.035009121
887.61,1.037523275
887.93,1.038874869
888.57,1.035859774
888.88,1.030254913
890.15,1.030472302
893.96,1.0371074
906.03,1.03666317
906.98,1.020576365
907.3,1.032769066
907.93,1.030425043
911.11,1.040273721
912.06,1.024564985
912.38,1.02896948
913.33,1.027684048
913.96,1.033695334
915.23,1.040944793
918.09,1.036228391
919.36,1.029820134
920,1.036370167
920.31,1.027126398
924.76,1.028222796
926.66,1.027239818
932.38,1.024130207
936.5,1.021691666
937.77,1.02653094
939.36,1.028099923
942.53,1.03013204
942.85,1.02265574
945.39,1.024253079
946.66,1.020670882
946.98,1.011436565
947.93,1.023128326
949.84,1.019451612
951.42,1.015793802
952.69,1.0240924
955.87,1.013251293
956.82,1.019082995
957.14,1.009754161
959.04,1.023771042
964.44,1.005340214
971.11,1.006786325
978.09,1.010340167
980.95,1.004574626
982.53,1.008345857
983.17,1.011446017
983.49,1.016474324
985.07,1.007882723
986.03,1.003572745
986.66,1.007258911
987.3,1.008298598
987.61,1.013780588
989.2,1.00681468
990.79,1.012079281
991.11,1.004499012
991.74,1.002107731
993.65,1.006020737
995.55,1.009366641
996.19,1.004546271
998.41,1.006984811
998.73,1.007192749
1000.31,1.00398862
1000.95,1.007050973
1002.22,1.003714521
1002.53,1.009101993
1002.53,1.010472491
1002.85,0.999385639
1003.49,1.007570817
1005.39,1.002542509
1005.71,1.00642716
1006.03,1.004092589
1006.66,1.003449873
1011.11,0.994659786
1016.5,1
