Irradiance,Enhanced
0,0
5,0.07
7,0.1
9,0.13
11,0.17
14,0.2
16,0.26
19,0.31
23,0.35
26,0.41
32,0.43
36,0.48
40,0.54
46,0.55
51,0.58
58,0.59
67,0.61
74,0.63
84,0.64
91,0.68
102,0.68
113,0.7
127,0.73
139,0.75
148,0.76
161,0.8
174,0.8
183,0.83
192,0.86
211,0.86
225,0.87
230,0.88
244,0.9
257,0.92
269,0.94
278,0.94
290,0.96
304,0.97
316,0.98
329,0.99
343,0.99
353,1
366,1
380,1.01
394,1.01
404,1.02
413,1.02
425,1.03
436,1.03
446,1.03
462,1.03
471,1.02
481,1.03
493,1.03
508,1.04
517,1.04
543,1.03
547,1.04
563,1.03
570,1.04
580,1.04
596,1.04
605,1.04
617,1.05
624,1.04
638,1.04
645,1.03
652,1.03
666,1.04
679,1.04
686,1.04
689,1.04
700,1.04
708,1.03
715,1.03
722,1.03
726,1.03
737,1.03
747,1.02
752,1.02
763,1.03
766,1.03
775,1.02
782,1.01
791,1.01
796,1.01
800,1.01
803,1.01
809,1.01
812,1.01
813,1
817,1
819,1
821,1
826,1
828,1
831,1
