PanelID,Type,Life,Burn-in,Long-termDegradation,Burn-inPeakSunHours,Cost,PowerDensity,EnergyEfficiency
1,Lit Review Panel 1,25,0.39,0.027586207,500,0.245,54.88,0.056
2,Lit Review Panel 2,25,0.35,0.061538462,500,0.245,36.26,0.037
3,Lit Review Panel 3,25,0,0.016666667,500,0.245,27.44,0.028
4,Lit Review Panel 4,25,0.2,0.022222222,500,0.245,53.9,0.055
5,Lit Review Panel 5,25,0.4,0.009756098,500,0.245,51.94,0.053
6,Lit Review Panel 6,25,0.4,0.025,500,0.245,49.98,0.051
7,Lit Review Panel 7,25,0.47,0.071428571,500,0.245,94.08,0.096
8,Lit Review Panel 8,25,0.47,0.076923077,500,0.245,96.04,0.098
9,Lit Review Panel 9,25,0.41,0.096385542,500,0.245,71.54,0.073
10,Lit Review Panel 10,25,0.44,0.113636364,500,0.245,61.74,0.063
11,Lit Review Panel 11,25,0.31,0.115942029,500,0.245,89.18,0.091
12,Lit Review Panel 12,25,0.23,0.2,500,0.245,29.694,0.0303
13,Lit Review Panel 13,25,0,0.088888889,500,0.245,59.29,0.0605
14,Lit Review Panel 14,25,0,0.02,500,0.245,70.658,0.0721
15,Lit Review Panel 15,25,0.07,0.036363636,500,0.245,76.244,0.0778
16,Lit Review Panel 16,25,0.07,0.042105263,500,0.245,78.694,0.0803
17,Lit Review Panel 17,25,0,0.0178,500,0.245,59.486,0.0607
18,Lit Review Panel 18,25,0,0.0118,500,0.245,98,0.1
19,Lit Review Panel 19,25,0.125,0.119402985,500,0.245,147.98,0.151
20,Lit Review Panel 20,25,0.125,0.103092784,500,0.245,151.9,0.155
21,Lit Review Panel 21,25,0.4,0.2,500,0.245,125.44,0.128
22,Lit Review Panel 22,25,0.3,0.164772727,500,0.245,189.14,0.193
23,Lit Review Panel 23,25,0.15,0.116856559,500,0.245,156.8,0.16
24,Lit Review Panel 24,25,0.06,0.02,500,0.245,183.652,0.1874
25,Lit Review Panel 25,25,0.25,0.1,500,0.245,160.72,0.164
26,Lit Review Panel 26,25,0,0,500,0.245,122.696,0.1252
27,Lit Review Panel 27,25,0.2,0.293685756,500,0.245,171.5,0.175
28,Lit Review Panel 28,25,0,0.114285714,500,0.245,196.98,0.201
29,Lit Review Panel 29,25,0,0.2,500,0.245,147,0.15
30,Lit Review Panel 30,25,0,0.038461538,500,0.245,172.48,0.176
31,Lit Review Panel 31,25,0,0.2,500,0.245,193.06,0.197
32,Lit Review Panel 32,25,0,0,500,0.245,125.44,0.128
33,Lit Review Panel 33,25,0.5,0,500,0.245,117.6,0.12
34,Lit Review Panel 34,25,0,0,500,0.245,116.62,0.119
35,Lit Review Panel 35,25,0,0.0093,500,0.245,182.966,0.1867
36,Lit Review Panel 36,25,0,0,500,0.245,207.76,0.212
