Location,PV Yield before LID (kWh/kWp),Tilt,Spacing,IRR
auckland,"1,310",30,8,Medium Risk
dunedin,"1,164",30,8,Medium Risk
cornwall,996,30,7,Low Risk
edinburgh,748,35,7,Low Risk
tonga,"1,459",20,6,Very High Risk
fiji,"1,237",12,5,High Risk
cairo,"1,796",26,6,Very High Risk
nairobi,"1,547",-1,5,High Risk
mexicocity,"1,800",22,5,Medium Risk
usamax,1997,34,6,USA
usaavg,1558,30,6,USA
japanmax,1512,35,7,Japan
japanavg,1223,34,7,Japan
indiamax,1886,34,5,India
indiaavg,1568,26,5,India
southafricamax,2074,30,6,South Africa
southafricaavg,1826,30,6,South Africa
brazilmax,1886,13,5,Brazil
brazilavg,1562,17,5,Brazil
spainmax,1788,35,6,Spain
spainavg,1568,34,6,Spain
ukmax,1119,38,7,UK
ukavg,913,38,7,UK
australiamax,1978,22,6,Australia
australiaavg,1802,29,6,Australia
portelizabeth,1621,31,8,Low Risk
gaborone,1841,27,7,Medium Risk
lusaka,1765,20,6,Medium Risk
dodma,1829,9,5,Medium Risk
juba,1647,9,5,Medium Risk
khartoum,1831,20,6,Medium Risk
medina,1885,25,6,Medium Risk
beirut,1600,27,7,Medium Risk
varna,1319,33,7,Medium Risk
warsaw,1039,37,9,Medium Risk
stockholm,988,42,9,Medium Risk
