PanelID,Type,Life,Burn-in,Long-termDegradation,Burn-inPeakSunHours,Cost,PowerDensity,EnergyEfficiency
1,0xfd512e,10.0,0.02,0.01,10.0,0.245,196.0,0.2
2,0x67a3fd,20.0,0.02,0.01,500.0,0.245,196.0,0.2
3,0x15f3e8,10.0,0.02,0.01,500.0,0.245,196.0,0.2
4,0x512fdd,20.0,0.02,0.02,500.0,0.245,196.0,0.2
5,0x9bb640,25.0,0.02,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
6,0x418a8,20.0,0.02,0.01,10.0,0.245,196.0,0.2
7,0xbd120a,20.0,0.18,0.01,500.0,0.245,204.8911618,0.2090726140816326
8,0x6a08fa,20.0,0.1,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
9,0xd7d98d,20.0,0.02,0.01,500.0,0.245,196.0,0.2
10,0xe1836,11.0,0.05,0.01,500.0,0.245,196.0,0.2
11,0xa99cc9,10.0,0.02,0.02,500.0,0.245,204.8911618,0.2090726140816326
12,0x55d471,10.0,0.02,0.02,500.0,0.245,196.0,0.2
13,0xb28862,20.0,0.05,0.01,500.0,0.245,196.0,0.2
14,0xa16b82,20.0,0.2,0.01,500.0,0.245,184.4020456,0.18816535265306122
15,0xf04a69,20.0,0.02,0.01,500.0,0.245,196.0,0.2
16,0x3b407,11.0,0.05,0.01,500.0,0.245,196.0,0.2
17,0x9115a6,20.0,0.02,0.01,500.0,0.245,204.8911618,0.2090726140816326
18,0xa9cc74,30.0,0.02,0.01,500.0,0.245,204.8911618,0.2090726140816326
19,0x922e62,20.0,0.02,0.01,10.0,0.245,225.38027799999998,0.22997987551020405
20,0xb4a4c5,20.0,0.2,0.01,500.0,0.245,196.0,0.2
21,0x4b3859,30.0,0.02,0.01,500.0,0.245,196.0,0.2
22,0x9f9d27,10.0,0.02,0.02,500.0,0.245,204.8911618,0.2090726140816326
23,0x11980f,20.0,0.02,0.01,10.0,0.245,204.8911618,0.2090726140816326
24,0x172f99,33.0,0.05,0.01,500.0,0.245,196.0,0.2
25,0x8e6f54,33.0,0.05,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
26,0x4a112f,20.0,0.02,0.01,500.0,0.245,196.0,0.2
27,0xfe8c20,31.457848393171396,0.05,0.01,10.0,0.245,204.8911618,0.2090726140816326
28,0xd283f1,20.0,0.1,0.01,500.0,0.245,196.0,0.2
29,0x66e756,20.0,0.05,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
30,0xd1aa3b,30.0,0.02,0.02,500.0,0.245,196.0,0.2
31,0x4605ae,10.0,0.05,0.01,500.0,0.245,196.0,0.2
32,0x2c8938,20.0,0.05,0.02,500.0,0.245,196.0,0.2
33,0x56f581,30.0,0.02,0.01,500.0,0.245,196.0,0.2
34,0xdc499e,10.0,0.02,0.01,292.8139743402827,0.245,196.0,0.2
35,0xc2d202,20.0,0.1,0.01,500.0,0.245,204.8911618,0.2090726140816326
36,0x67a766,10.0,0.02,0.02,500.0,0.245,225.38027799999998,0.22997987551020405
37,0x2e981c,11.0,0.02,0.01,500.0,0.245,196.0,0.2
38,0x919258,20.0,0.1,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
39,0x5dd74a,25.0,0.02,0.01,500.0,0.245,196.0,0.2
40,0xa04db5,30.0,0.02,0.01,500.0,0.245,204.8911618,0.2090726140816326
41,0x8ce4f9,10.0,0.05,0.01,500.0,0.245,196.0,0.2
42,0x774292,20.0,0.1,0.02,500.0,0.245,225.38027799999998,0.22997987551020405
43,0xeb6037,20.0,0.05,0.01,500.0,0.245,196.0,0.2
44,0xac45b0,10.0,0.05,0.01,500.0,0.245,204.8911618,0.2090726140816326
45,0xfff6af,25.0,0.02,0.01,500.0,0.245,204.8911618,0.2090726140816326
46,0xa3708d,27.5,0.20476928026883903,0.01,500.0,0.245,196.0,0.2
47,0x68ccc0,25.0,0.05,0.01,500.0,0.245,204.8911618,0.2090726140816326
48,0x5b1971,20.0,0.02,0.01,500.0,0.245,196.0,0.2
49,0xb0fd6e,11.0,0.02,0.02,500.0,0.245,196.0,0.2
50,0xe539e8,11.0,0.05,0.01,500.0,0.245,196.0,0.2
51,0xd4e089,20.0,0.1,0.02,500.0,0.245,196.0,0.2
52,0x4d47b8,20.0,0.05,0.01,500.0,0.245,196.0,0.2
53,0x16bbb,25.0,0.02,0.01,10.0,0.245,196.0,0.2
54,0xe21a80,10.0,0.1,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
55,0x8cdd93,33.0,0.02,0.02,500.0,0.245,225.38027799999998,0.22997987551020405
56,0xbfccaa,25.0,0.02,0.02,500.0,0.245,196.0,0.2
57,0x2f0c21,25.0,0.02,0.01,500.0,0.245,225.38027799999998,0.22997987551020405
58,0x778ded,10.0,0.1,0.01,500.0,0.245,196.0,0.2
59,0x13c35,20.0,0.05,0.01,500.0,0.245,196.0,0.2
60,0xcbafbe,10.0,0.02,0.01,10.0,0.245,196.0,0.2
61,0x781ff0,10.0,0.02,0.01,500.0,0.245,196.0,0.2
62,0x9a39d5,11.0,0.02,0.01,500.0,0.245,204.8911618,0.2090726140816326
63,0x237b83,10.0,0.02,0.01,500.0,0.245,204.8911618,0.2090726140816326
64,0x6d84df,20.0,0.05,0.02,500.0,0.245,196.0,0.2
65,0xb5fcb6,20.0,0.02,0.01,500.0,0.245,196.0,0.2
