PVSize,Latitude,Longitude
1,53.42328029,0.069038507
4.7,50.33712813,-4.836315911
4.7,50.21792121,-5.368143216
4.4,50.44237545,-4.281969483
5,50.87014947,-4.427102509
1.7,50.39489446,-5.069335952
5,50.92351464,-4.486316425
2.9,50.30449827,-5.081528791
5,52.8047569,1.398738075
1.4,50.23757339,-5.12280651
5,52.17214408,0.067289171
2,50.54013435,-4.782553008
5,50.38912209,-4.0088558
4.6,53.02820851,-0.814537534
4.9,51.31570188,1.345826977
1.3,51.84540527,-0.955720353
2,51.12270221,-2.965661079
4.6,51.1756874,-2.967511722
4.6,52.8770835,-1.574610747
1.7,52.79004624,0.134819044
1,52.79035995,0.135872605
5,52.01879192,-1.802456766
5,51.61876049,-1.644000288
1,52.03523777,-4.621247814
3.9,51.72274571,-2.916489915
5,52.10208525,-1.004851738
1,50.38329377,-5.111145
7,50.71075431,-2.173924785
6.3,52.31519974,0.21766154
5.8,50.40666101,-4.75821248
1.1,50.37342448,-4.957897956
3,50.45169359,-4.428112477
4,50.79035247,-2.92264576
5,51.10519631,-2.672829221
1.7,52.4375333,1.595699321
5,51.62432871,-2.108899917
5,50.36659682,-4.95648866
1,50.88522132,-2.831076791
4.5,50.70986588,-1.366436752
2,51.1192861,-0.544827133
1.2,52.45112656,0.037916609
5.3,50.89412083,-1.458494778
5.3,50.14210925,-5.193514
5,51.11238775,-3.037074859
5,50.6433363,-2.506254508
7,51.42037944,-1.606713276
6.7,50.79044424,-4.401444478
3.2,50.73501939,-1.301962386
4.8,50.64199185,-1.204258944
5.3,52.31838838,-0.383105518
1.3,50.17073749,-5.225285697
5,51.11951935,-2.971038406
15,52.49762985,1.30918319
5,52.79745676,1.183853305
6.3,50.94939387,-1.307925262
5.3,50.78074291,-4.441549147
1,50.88315824,-2.837891898
5.5,51.72503237,-4.238634594
9,52.69803155,1.089964281
5,51.34659329,-2.244151762
12,51.96705976,0.368636604
5,52.15247563,-2.046535128
5,52.53028515,-0.026165395
2,50.67549441,-4.246551036
5.2,50.42356136,-3.784944197
7,52.01666637,-0.864101296
4.9,50.91591938,0.055351595
7.2,51.33151775,-2.854653155
1,51.35798152,-2.795874181
14.8,52.60409614,1.035130567
2,51.05059228,-4.074390943
2.1,50.89732284,-3.360900009
6.2,50.39130033,-4.596003613
9.9,51.3519437,1.36744501
5.5,51.20564433,-0.84864747
2,51.37174583,0.745410889
1,52.00349123,-1.413562027
5,51.64509445,-2.653030877
7.7,51.69870452,-4.901190127
5,51.18429182,-1.373721338
1.7,50.76181175,-1.679844153
8,51.54581905,-2.579605052
1.5,51.38111262,-1.232508141
7.2,50.75691967,-1.703652101
2.9,51.03847678,-3.306295736
5,52.20120643,-0.073531453
1.2,54.54847434,-1.573943752
12,51.08266144,-1.151111589
3,50.36405781,-3.642104199
3,51.73283421,-1.194695907
2.6,52.80330684,-1.111551517
4.9,51.9634128,0.403483623
5,53.79443745,-1.225902477
4.8,54.55839739,-6.190884252
2.4,51.66325604,-1.097772659
3.6,52.90113393,1.168238345
3.1,50.89930094,-3.395201491
7.2,51.62647377,-2.112964442
1.7,51.40061474,-1.022173418
6.1,50.41891176,-4.689516599
3.5,51.27302303,-2.160804111
4.1,52.35596827,-0.078467466
1,51.26671626,1.231229955
10.8,51.95812532,0.390668383
4,50.87493448,0.453425277
12,50.9442634,-1.208064726
13.9,52.66175169,1.701195943
10.2,52.91336169,1.186819983
