,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x495178,20.0,0.02,0.011818005705598787,500.0,196.0,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0x342fdd,10.0,0.2,0.02,10.0,196.0,0.0,0.0,G0,0.0030611876219145823,0.06094186837340149
0xec1fd,10.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0xe543ad,10.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0x90adc6,11.0,0.02,0.02,500.0,196.0,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0x6c4533,9.0,0.3,0.02,500.0,88.2,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0x933c29,10.0,0.4,0.01,500.0,196.0,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0xe474a4,20.0,0.1,0.02,500.0,204.8911618,0.0,0.0,G0,0.0030445488781686036,0.0618021644102001
0xcfc6e6,20.0,0.02,0.01,10.0,184.4020456,0.0,0.0,G0,0.003075137101102835,0.06022061911058031
0xac8233,20.0,0.02,0.010587807514447356,500.0,196.0,0.0,0.0,G0,0.003013960655234373,0.0633837097098199
0xbbdeb3,20.0,0.05,0.02,500.0,196.0,0.0,0.0,G0,0.002963062494079172,0.06601536790413144
0x36359,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003111219481079454,0.05835500179198625
0xf7add0,18.0,0.3,0.015323006510708963,10.0,196.0,0.0,0.0,G0,0.0030151074345345957,0.06332441618970043
0xfc1ee4,20.0,0.02,0.01,10.0,98.0,0.0,0.0,G0,0.0029523750827423366,0.0665679539501145
0x32d697,25.0,0.3,0.01,500.0,98.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0xae9373,20.0,0.33,0.02,500.0,98.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0x9f899c,18.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0xb8c2aa,20.0,0.1,0.02,500.0,196.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0xf970b3,10.0,0.2,0.01,500.0,196.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0x1c0583,30.0,0.4183811864371984,0.02,500.0,196.0,0.0,0.0,G0,0.003078764996820042,0.06003304098839265
0xc5200b,30.0,0.09,0.02,500.0,196.0,0.0,0.0,G0,0.003017779106329582,0.0631862790387266
0x91dc0a,20.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.002967039485249746,0.0658097400157126
0x664dfa,18.0,0.3,0.02,500.0,196.0,0.0,0.0,G0,0.00311473498563928,0.05817323478563419
0xa123f8,10.0,0.4,0.01,500.0,98.0,0.0,0.0,G0,0.0030151074345345957,0.06332441618970043
0xe66e92,10.0,0.4,0.02,500.0,107.8,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0x2748b0,10.0,0.1,0.02,500.0,98.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0xb358,20.0,0.09,0.02,500.0,196.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0xbba6e2,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0x66e693,10.0,0.1,0.01,500.0,196.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0x7c9f87,10.0,0.1,0.01,500.0,196.0,0.0,0.0,G0,0.0030482720515748116,0.061609660013559636
0xedb6b,10.0,0.36,0.02,10.0,204.8911618,0.0,0.0,G0,0.003078764996820042,0.06003304098839265
0x470695,22.5,0.1,0.01,10.0,196.0,0.0,0.0,G0,0.003017779106329582,0.0631862790387266
0x1f0136,10.0,0.1,0.01,500.0,196.0,0.0,0.0,G0,0.002967039485249746,0.0658097400157126
0x117dd9,9.0,0.02,0.02,500.0,204.8911618,0.0,0.0,G0,0.00311473498563928,0.05817323478563419
0xda26c7,18.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020042394990333083,0.11559072258369794
0x7fc9ff,20.0,0.3,0.01,500.0,98.0,0.0,0.0,G0,0.001974418981756869,0.11713257413330215
0x2dc2cb,10.0,0.22,0.01,500.0,98.0,0.0,0.0,G0,0.0021123317483462767,0.11000187915222996
0x5f3f0e,10.0,0.3,0.02,500.0,196.0,0.0,0.0,G0,0.0020042394990333083,0.11559072258369794
0xdefc5d,18.0,0.2,0.02,500.0,204.8911618,0.0,0.0,G0,0.0020042394990333083,0.11559072258369794
0x7f1c15,20.0,0.02,0.02,500.0,196.0,0.0,0.0,G0,0.0020042394990333083,0.11559072258369794
0x78e7,22.5,0.02,0.01,76.02754747769136,196.0,0.0,0.0,G0,0.0020042394990333083,0.11559072258369794
0x2c883c,25.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.0020515537906001563,0.11314436616759352
0xe70293,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0019569252074664607,0.11803707899980236
0x36530a,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0018258511394760272,0.12481418326565125
0x7f856c,20.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.002150193575326401,0.1080442566180872
0x681024,18.0,0.22,0.02,500.0,196.0,0.0,0.0,G0,0.002250847809666189,0.10283999118726436
0xa0b90f,10.0,0.3,0.02,500.0,196.0,0.0,0.0,G0,0.0021445731655181095,0.10833485645886096
0xe83fa8,10.0,0.3,0.02,500.0,196.0,0.0,0.0,G0,0.002250847809666189,0.10283999118726436
0x55cc0b,10.0,0.3,0.01,500.0,196.0,0.0,0.0,G0,0.002250847809666189,0.10283999118726436
0xba0a5,10.0,0.4,0.01,500.0,196.0,0.0,0.0,G0,0.002250847809666189,0.10283999118726436
0x408bec,10.0,0.22,0.01,500.0,196.0,0.0,0.0,G0,0.002250847809666189,0.10283999118726436
0x6a5a2f,20.0,0.4,0.02,500.0,196.0,0.0,0.0,G0,0.002250847809666189,0.10283999118726436
0x98a55e,20.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.002281340754911419,0.1012633721620974
0x43e705,9.0,0.2,0.01,500.0,196.0,0.0,0.0,G0,0.0022203548644209583,0.10441661021243134
