,0,1,2,3,Mothes,Fathers,Generation,Fitness,Results
0x704e4d,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x5b79b1,25.0,0.0,0.01,204.8911618,0.0,0.0,G0,0.0033298724636763614,0.07544937481676947
0xc9ebd7,35.0,0.02,0.01,210.0134409,0.0,0.0,G0,0.0033219944044753503,0.07588353721326692
0xc69f8,22.5,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x4ee8c9,27.5,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x99d5c3,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xfba34d,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x1c78c8,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xdbcba9,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x668864,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xee50aa,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xc80174,25.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0032113923228444933,0.08197885378721388
0x4fdcc3,25.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033762898694993776,0.0728912965341477
0xd76a21,20.0,0.02,0.01,196.0,0.0,0.0,G0,0.0032650587548918903,0.0790212793193583
0xcebd71,18.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0030238151173684036,0.09231629439026742
0xf5d79c,22.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x8b9fcd,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x76639,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x177a03,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xe8578,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x222fd1,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xab27f4,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x17e5de,20.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0032113923228444933,0.08197885378721388
0x7370ed,20.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033762898694993776,0.0728912965341477
0x7e9268,30.0,0.02,0.01,196.0,0.0,0.0,G0,0.0032650587548918903,0.0790212793193583
0xd4af64,27.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xfae33c,33.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x320119,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x12e20e,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
