,0,1,2,Generation,Fitness,Results
0xa81512,54.88,0.0276,0.39,G0,0.014356276333525523,0.7500370613484534
0xab0850,36.26,0.0615,0.35,G0,0.003708993039813203,0.952728519713811
0xef6be8,27.44,0.0167,0.0,G0,0.01318591968459052,0.7723170448368535
0x48d917,53.9,0.0222,0.2,G0,0.02264482330595056,0.5922486727777535
0xc510a4,51.94,0.0098,0.4,G0,0.012727623642002906,0.7810415889926394
0xea6481,49.98,0.025,0.4,G0,0.01137844899361424,0.8067257160631534
0x18beac,94.08,0.0714,0.47,G0,0.02003899143085351,0.6418556803540681
0x46cd61,96.04,0.0769,0.47,G0,0.020285325426488282,0.6371662402928966
0x9c5081,71.54,0.0964,0.41,G0,0.017834002081439038,0.6838318816613851
0x316b1b,61.74,0.114,0.44,G0,0.01242530841152132,0.7867967392278697
0x21c788,89.18,0.11599999999999999,0.31,G0,0.025671162837402502,0.5346364954535178
0x55e0ce,29.694000000000003,0.2,0.23,G0,0.0,1.0233363158593929
0xc0fcfa,59.29,0.0889,0.0,G0,0.028985607925928334,0.4715396762806936
0x3432e0,70.658,0.02,0.0,G0,0.03223736538878775,0.4096362362936465
0x566290,76.244,0.0364,0.07,G0,0.031494147814701175,0.4237848082644264
0xaf2373,78.694,0.0421,0.07,G0,0.03180444283965671,0.4178777473366032
0x7dbee6,59.486000000000004,0.0178,0.0,G0,0.029985262915701156,0.4525093262702908
0xc4914d,98.0,0.0118,0.0,G0,0.03570513439184114,0.3436206023414476
0x52bed2,147.98,0.11900000000000001,0.125,G0,0.03562899182711876,0.3450701220979449
0x48109a,151.9,0.10300000000000001,0.125,G0,0.035967837004040354,0.3386195542699183
0xb840cf,125.44,0.2,0.4,G0,0.025355669607423945,0.5406425141838088
0xc66459,189.14,0.165,0.3,G0,0.0328951616937064,0.3971138220144997
0xb986f3,156.8,0.11699999999999999,0.15,G0,0.035563267179785425,0.3463213168159823
0x5e4b37,183.26,0.02,0.06,G0,0.03886697710453438,0.2834288620750703
0xbbc79e,160.72,0.1,0.25,G0,0.03374690822775141,0.3808991931386837
0x214277,122.5,0.005,0.0,G0,0.037507828063096445,0.3093028708475823
0x5fdc11,171.5,0.294,0.2,G0,0.033110648178091784,0.393011623493691
0x62145b,196.98,0.114,0.0,G0,0.039288016880056585,0.2754135624182258
0x326e2e,147.0,0.2,0.0,G0,0.0369012533527418,0.3208501838341666
0xf254a1,172.48,0.0385,0.0,G0,0.03926023750800391,0.27594239604446696
0x1b370,193.06,0.2,0.0,G0,0.038443965760264376,0.2914816943243832
0x599393,125.44,0.005,0.0,G0,0.03767065280302541,0.3062031896346618
0xc5f920,117.6,0.005,0.5,G0,0.022812664386164642,0.5890534959064573
0x2f8754,116.62,0.005,0.0,G0,0.03715754959079099,0.3159710933816355
0x9844e7,182.96599999999998,0.0093,0.0,G0,0.039771428140657344,0.2662109019180334
0x796db7,27.44,0.0093,0.06,G0,0.010957085601264273,0.8147471763869926
0xd3102a,207.76,0.294,0.5,G0,0.024625020627663842,0.554551818855752
0x845bb8,182.96599999999998,0.0093,0.0,G1,0.030488451864073417,0.2662109019180334
0x585c4f,196.98,0.114,0.0,G1,0.0303548906819849,0.2754135624182258
0xb75595,172.48,0.0385,0.0,G1,0.030347215548881003,0.27594239604446696
0xab580b,183.26,0.02,0.06,G1,0.03023856205104828,0.2834288620750703
0x3d7327,193.06,0.2,0.0,G1,0.03012168869748316,0.2914816943243832
0xc07701,125.44,0.005,0.0,G1,0.029908030884537612,0.3062031896346618
0x902d79,122.5,0.005,0.0,G1,0.029863044210641888,0.3093028708475823
0x7fec3,116.62,0.005,0.0,G1,0.029766266144770733,0.3159710933816355
0x383c6a,147.0,0.2,0.0,G1,0.029695454330258695,0.3208501838341666
0xc7d479,151.9,0.10300000000000001,0.125,G1,0.029437561721885473,0.3386195542699183
0xd05077,55.40126780968574,0.0666492670102168,0.2222415860922194,G1,0.025475532409796466,0.6116121265189426
0x7bc364,175.52798750690937,0.08608734510016369,0.09042702248824923,G1,0.02989139035938058,0.3073497585790995
0x21bdaa,142.9900530183842,0.041062587870174604,0.1603368300738069,G1,0.0293028014863354,0.34790483220247903
0x8efbd4,17.30346813853896,0.06664826316562149,0.3187116890045607,G1,0.010628448758211735,1.6346089892820552
0x3454a5,167.63373695723993,0.03546788177373635,0.048746323837602745,G1,0.03012215700807777,0.2914494266898543
0x7c9700,77.94481703763864,0.07665047491806296,0.34494947084027144,G1,0.025812144322929415,0.5884188220839033
0x1d0762,124.20144628362713,0.14406218596028814,0.1710848000336119,G1,0.028625570504629164,0.3945675429347322
0x1c5b25,202.7917166641076,0.15515645358246952,0.11865632115935505,G1,0.02979799633829779,0.3137848129514323
0x8c3177,62.06887312517755,0.02700480279941095,0.0850990715209618,G1,0.02736541245687566,0.4813952162805291
0xb75ca9,197.20617363870167,0.1907367202451684,0.014622225920704529,G1,0.030116572566367628,0.2918342070604523
0x49b7b0,104.12103624593419,0.020610763436449242,0.014079587793060677,G1,0.029418821065425736,0.3399108269005798
0x24979c,124.75886776304885,0.07229002544069744,0.26299651113431544,G1,0.02824081792605871,0.42107784556750416
0x148834,55.27222444593568,0.04531922374036471,0.3744830192005717,G1,0.023658172762394448,0.7368322210124562
0xbd8fd2,140.02340226852968,0.2453855403858332,0.05678638048462628,G1,0.029206258961213764,0.3545568254585503
0x2dc897,48.57337140559359,0.008944423854512662,0.11934857770172222,G1,0.02599786553768585,0.5756222201044899
0x1881c8,156.7225028944649,0.09222001362814897,0.20033962270999697,G1,0.02910993752716055,0.3611935850515871
0xdb26e4,11.64105439586406,0.16240314822379498,0.2996611525144717,G1,0.0,2.3669325883700534
0xe8f26e,149.96141522274925,0.12611621427605246,0.1296303971028878,G1,0.02932489118958231,0.3463828028496944
0xc57c40,61.179219718960084,0.049924354908989804,0.19314633525761718,G1,0.026344744048878557,0.551721524382862
0x68d187,34.89781457273749,0.006993007046699154,0.1547904594451161,G1,0.023466024870514756,0.7500716352430405
0xc36aa3,151.87907200729418,0.034807141316827044,0.2631835937105994,G1,0.02881239983171961,0.3816945895675388
0x1bfb8f,121.19480931806022,0.057016379556818764,0.2121726545650683,G1,0.028575384749140145,0.3980254523548883
0xafb5c3,103.61029386858436,0.08162061416507402,0.008139678826302899,G1,0.02926716615975245,0.3503601849271875
