,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x698630,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.030617542212223577,46.751953762212544
0xaac152,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.025307166509696666,57.483558610839864
0xa0881e,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.040993539189325495,25.783362139622913
0x750085,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.03697740520718908,33.899466409782804
0x6d1754,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03383045423723714,40.259060566455865
0x2337b1,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.030836078126733533,46.310320022694206
0x1ba064,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.020385947338943236,67.42872680089555
0x989b7,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.019902938860545352,68.40482650062796
0xd8115f,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.020096875322330825,68.01290517712683
0xd1f6b7,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.01834219709341266,71.5588903284747
0x463902,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.020089737994448312,68.02732882373883
0xe5d726,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.013739474030117495,80.86041773630821
0x947885,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.025878685424365284,56.32859039402961
0xfec9f8,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.040592150059842236,26.59451934759579
0x50b954,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.03702665228982766,33.799944217676234
0x3ed93f,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03588206596675785,36.11300996337925
0x553321,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.040859842970128894,26.053545470246878
0xc3782e,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.04153747100377373,24.68414400059788
0x9c6eeb,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.01981544876293791,68.58163304093435
0x7fad3e,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.022434020328007252,63.28982754950672
0xc18811,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.015695669486567247,76.9071914824088
0x6bcb84,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.016840110910402332,74.59441855992907
0x87f083,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.02031227327140357,67.57761287312779
0x2e622,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.039757916828875806,28.2804003262364
0x31a9b8,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.022184425278294787,63.794227915080306
0x8b78d3,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.04268180334054901,22.371591529416786
0xff64c4,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.007833549578436102,92.79555209057465
0x5837bb,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.0197655749806987,68.68242171451972
0x3d12e3,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.0,108.62617563721086
0x4d39e9,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.03781528374043941,32.20621873133489
0xe0ea23,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.0,108.62617563721086
0xd91d2e,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.04268180334054901,22.371591529416786
0x7505a9,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.03212304687977412,43.70951720123091
0x824880,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.04268180334054901,22.371591529416786
0x48f957,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.04179924275506775,24.15513604470431
0x9b0ebd,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.04268180334054901,22.371591529416786
0x96f309,25.0,0.4,0.009756098000000001,0.245,51.94,0x6bcb84,0x6d1754,G1,0.030377300795606025,40.259060566455865
0x4ace3b,25.0,0.2,0.116856559,0.245,156.8,0xff64c4,0x87f083,G1,0.0250860832111081,67.400201471456
0xe8ee3b,25.0,0.5,0.0,0.245,117.6,0x7505a9,0x4d39e9,G1,0.029704627642905,43.70951720123091
0xd528e1,25.0,0.0,0.0,0.245,71.54,0x9b0ebd,0xd8115f,G1,0.033864497263957405,22.371591529416786
0xe4f905,25.0,0.25,0.1,0.245,160.72,0x48f957,0x31a9b8,G1,0.02578907468657752,63.794227915080306
0x540ff,25.0,0.31,0.115942029,0.245,49.98,0x463902,0x2337b1,G1,0.02496382352844652,68.02732882373883
0x937ede,25.0,0.47,0.071428571,0.245,94.08,0x9b0ebd,0x1ba064,G1,0.025080522143308387,67.42872680089555
0x5065b3,12.44793518195654,0.44,0.113636364,0.245,98.0,0xd1f6b7,0xc3782e,G1,0.025022428984393587,67.72671390623451
0x670c7e,25.0,0.4,0.025,0.245,49.98,0xe5d726,0x2337b1,G1,0.02919759613413732,46.310320022694206
0xd42eca,25.0,0.07,0.042105263,0.245,116.62,0x3ed93f,0x824880,G1,0.03118558132935381,36.11300996337925
0xf8c21,25.0,0.0,0.0118,0.245,196.98,0xc3782e,0x5837bb,G1,0.03341366071499224,24.68414400059788
0x7afa79,25.0,0.0,0.02,0.245,70.658,0x750085,0xfec9f8,G1,0.03304122936936798,26.59451934759579
0xc5f2b9,25.0,0.0,0.116856559,0.245,156.8,0x8b78d3,0x87f083,G1,0.024597494488227182,69.9064025793364
0x7ede57,25.0,0.0,0.0118,0.245,98.0,0x4d39e9,0xc3782e,G1,0.03341366071499224,24.68414400059788
0x9a3f3a,25.0,0.15,0.116856559,0.245,156.8,0x2e622,0x87f083,G1,0.025051496517368804,67.57761287312779
0xd5688c,25.0,0.47,0.076923077,0.245,147.98,0x989b7,0x9c6eeb,G1,0.024890229630789296,68.40482650062796
0x2e4104,25.0,0.35,0.061538462,0.245,78.694,0xaac152,0x3ed93f,G1,0.027019351796498014,57.483558610839864
0xca6e05,25.0,0.0,0.076923077,0.245,96.04,0xfec9f8,0x989b7,G1,0.028391021905994775,50.44761818266694
0xb4f928,25.0,0.47,0.071428571,0.245,125.44,0x1ba064,0xd91d2e,G1,0.025080522143308387,67.42872680089555
0x32e8a4,25.0,0.07,0.036363636,0.245,76.244,0x553321,0x50b954,G1,0.031636517942173537,33.799944217676234
0x877b9a,25.0,0.0,0.39770293926095424,0.245,27.44,0xa0881e,0xc18811,G1,0.0010766035720805108,190.55610264772795
0x20fd6c,25.0,0.35,0.061538462,0.19919325443977964,36.26,0xaac152,0xfec9f8,G1,0.024444315537376287,70.69212938461929
0x76781d,25.0,0.0,0.0093,0.245,182.96599999999998,0xc18811,0x48f957,G1,0.03351679183274299,24.15513604470431
0xe452bc,25.0,0.125,0.119402985,0.245,147.98,0x9c6eeb,0xff64c4,G1,0.024855760855935726,68.58163304093435
0x2392df,25.0,0.0,0.038461537999999997,0.245,172.48,0xa0881e,0x4d39e9,G1,0.03194721778886414,32.20621873133489
0x779034,25.0,0.0,0.088888889,0.245,98.0,0x947885,0xc3782e,G1,0.027244515070205373,56.32859039402961
0x6b8716,25.0,0.0,0.036363636,0.245,76.244,0x4d39e9,0x50b954,G1,0.03209424443458641,31.452049989526078
0xf54e17,25.0,0.23,0.2,0.245,29.694000000000003,0x463902,0xe5d726,G1,0.022461988179841,80.86041773630821
0x264046,25.0,0.06,0.02,0.245,183.65200000000002,0x2e622,0x6d1754,G1,0.032712563632331465,28.2804003262364
