,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0xf6b2d1,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.024994908446073487,0.2454191359718127
0x773f5f,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.015305419884807634,0.4334289191874273
0xe7ad8f,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.024740251802265155,0.2503603606911663
0x4283b9,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.0283303042869989,0.18070085440043465
0x614206,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.026227597817115086,0.2215006742329564
0x34e480,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.02407061168073314,0.2633537084087123
0x645934,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.025860013225044814,0.2286330939712695
0x4ced62,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.025876654094064182,0.2283102032266169
0xe232c4,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.02288422233534869,0.2863737885940286
0x108f9b,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.020111569584746053,0.34017289669730266
0xd09d4d,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.025254153988374044,0.2403888706591124
0xfb5218,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.0,0.7304073052365987
0x6bd217,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.023367257581175655,0.2770012245748639
0xfcc8d4,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.03181352053050135,0.1131143428221137
0xb3e5a6,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.030676245996808054,0.13518142481352716
0x59d452,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.030385523841947124,0.14082244590207868
0x4d889b,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.031058397671187597,0.1277663530064559
0x45a12c,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.03346199455597517,0.08112821247000628
0x5b05c,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.029008500433002044,0.1675414900458047
0xaa203e,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.029814004911405425,0.15191190119740827
0x7a6fb7,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.02678207585199782,0.21074187159059032
0xdd3e8,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.02963547820324419,0.15537594034533272
0xf2b17d,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.029458998485814982,0.1588002607525476
