,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x88d2bd,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.02454979559335375,0.3382015292959913
0x7f1a56,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.015030210300205842,0.58150002685644
0x305db6,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.024092753688777665,0.34988245921901706
0x53356f,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.027972321679054276,0.25072970895191105
0xf9bda3,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.025573800180248706,0.3120303495844256
0xd37f43,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.023529402421817492,0.3642804096159572
0xf5d83a,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.025581575810505356,0.3118316225284907
0x9f383d,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.025591415566062727,0.3115801412223466
0x4db375,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.022588114856317607,0.3883375343126913
0x287105,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.01959718345592115,0.4647787965750935
0x574a36,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.025240370823976826,0.3205520297758818
0x477c52,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.0,0.9656373050517209
0x3cfa11,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.024288484011151107,0.344880046624977
0x904459,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.03162781968656076,0.1573036671996822
0xe4a22a,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.030602258055179014,0.1835146413531907
0x7dc412,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03038106138841769,0.18916791458213555
0xb4ae26,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.03081023781859657,0.17819916148676307
0x55671c,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.03332739864223756,0.11386637516773188
0x1cd898,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.029455423100469343,0.212825080079078
0x653cb,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.030212470442834902,0.1934767077174952
0x4fa7d7,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.02648458451536118,0.28875281663412405
0x3eab2b,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.029650591676104565,0.2078370244274057
0x94d166,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.029829333326767935,0.20326880283804985
0x7cd3ff,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.03452249335625455,0.08332252904325256
0x2a5b56,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.03020438479862551,0.1936833580102732
0xc0709f,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.03432308420395286,0.08841896398876706
0xf85ccc,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.0271591813790248,0.27151168707499435
0xd77f40,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.031131023914888183,0.1700006136653356
0xf8c442,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.02546392052567828,0.3148386184371338
0x2bc647,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.034024706079118124,0.09604481608648896
0x797196,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.027463528665434236,0.26373327706659666
0xb944a8,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.034377446569687366,0.08702958813890131
0x420324,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.030822394507677264,0.17788846473920927
0xe4486b,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.0341936064758659,0.0917281140978346
0x371d15,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.03495704012823642,0.0722165224802323
0xd036b0,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.03534058235563439,0.06241407365464306
0xd5aa9c,25.0,0.0,0.02,0.245,183.65200000000002,0x797196,0x7cd3ff,G1,0.032683076882336654,0.07834931272795508
0x3375a8,25.0,0.4,0.009756098000000001,0.245,51.94,0x4db375,0xf9bda3,G1,0.025713915573436035,0.3120303495844256
0x1802c0,25.0,0.3,0.16477272699999998,0.245,53.9,0x3eab2b,0x53356f,G1,0.01912805402188543,0.5328590673806397
0xeda41c,25.0,0.47,0.076923077,0.245,96.04,0x9f383d,0xc0709f,G1,0.02572734231417697,0.3115801412223466
0xff444a,25.0,0.0,0.009756098000000001,0.245,192.0767280522929,0xd036b0,0xf9bda3,G1,0.03292325250180111,0.07029604988951002
0xb3397b,25.0,0.4,0.2,0.245,125.44,0xb944a8,0x4fa7d7,G1,0.02640813057772644,0.28875281663412405
0x8485d,25.0,0.0,0.9198551120408484,0.245,116.62,0xc0709f,0xe4486b,G1,0.0,1.1742366017436499
0xb4e8b,25.0,0.5,0.0,0.245,117.6,0x7dc412,0x420324,G1,0.029714481671319636,0.17788846473920927
0xac4bc2,25.0,0.6075446878072486,0.2,0.245,147.0,0x371d15,0xf8c442,G1,0.026069081484592655,0.30012137880638456
0x9842c6,25.0,0.125,0.103092784,0.245,151.9,0x797196,0x653cb,G1,0.029249587380796874,0.1934767077174952
0x618f59,25.0,0.0,0.0093,0.245,182.96599999999998,0x371d15,0x55671c,G1,0.03286597749372124,0.0722165224802323
0x482648,25.0,0.0,0.0,0.245,214.26558573268312,0xb944a8,0x3cfa11,G1,0.03319228462167394,0.06127520764852382
0x211b6a,25.0,0.47,0.071428571,0.245,94.08,0xf5d83a,0xf8c442,G1,0.025719842288448445,0.3118316225284907
0xf40f8d,25.0,0.0,0.0,0.245,122.696,0x574a36,0xc0709f,G1,0.03238276571928718,0.08841896398876706
0x3fa378,25.0,0.0,0.076923077,0.245,96.04,0xf8c442,0x9f383d,G1,0.028690172149764465,0.212234306433714
0x5f79a4,25.0,0.2,0.036363636,0.245,76.244,0x53356f,0xe4a22a,G1,0.028664050479756467,0.2131101849880094
0x60a89e,25.0,0.0,0.2,0.245,147.0,0x94d166,0xf8c442,G1,0.025630163468872647,0.3148386184371338
0x9872ee,25.0,0.06,0.02,0.245,183.65200000000002,0x7cd3ff,0xd036b0,G1,0.032534758699605155,0.08332252904325256
0xebeab0,25.0,0.07527751605853517,0.0093,0.245,182.96599999999998,0x1cd898,0x371d15,G1,0.03269155958203934,0.07806488165023942
0xd29d75,25.0,0.125,0.119402985,0.245,51.94,0x1cd898,0xf9bda3,G1,0.02070447926487819,0.4800003848245642
0x4902d8,25.0,0.0,0.016666667,0.245,27.44,0x305db6,0x371d15,G1,0.024585037246489524,0.34988245921901706
0x4aaf36,25.0,0.0,0.076923077,0.245,96.04,0x3cfa11,0x9f383d,G1,0.028690172149764465,0.212234306433714
0xee535b,25.0,0.15,0.116856559,0.245,116.62,0x94d166,0xe4486b,G1,0.027566144532674742,0.2499237682461957
0x59bb9a,25.0,0.2,0.022222222000000003,0.245,53.9,0x371d15,0x53356f,G1,0.027542108646583605,0.25072970895191105
0x8d2648,25.0,0.0,0.0,0.245,183.65200000000002,0xb944a8,0x7cd3ff,G1,0.03301147396918054,0.0673379200577474
0xf76f95,25.0,0.0,0.1,0.245,160.72,0x904459,0x2a5b56,G1,0.029776980635519725,0.17579282910826474
0x4ca4fc,25.0,0.0,0.0118,0.245,98.0,0x2a5b56,0x55671c,G1,0.03162383758465615,0.11386637516773188
0x2c0494,25.0,0.06,0.39615500677782434,0.245,183.65200000000002,0x7cd3ff,0x420324,G1,0.023766433125574804,0.3773308495304917
0xa16b71,25.0,0.125,0.103092784,0.245,183.65200000000002,0x653cb,0x7cd3ff,G1,0.029921178965174263,0.17095775445679864
0xeba4d1,25.0,0.47,0.071428571,0.245,94.08,0x420324,0xf5d83a,G1,0.025719842288448445,0.3118316225284907
0x6f3f7,25.0,0.0,0.0,0.08569696963578016,189.14,0xd036b0,0x3eab2b,G1,0.03336615848405771,0.05544509084635035
0x8fe81a,25.0,0.0,0.088888889,0.245,49.98,0x3cfa11,0xd37f43,G1,0.023123497237047576,0.3988889565112265
0xcdaaec,25.0,0.2,0.0688576648698136,0.245,171.5,0xd036b0,0xf85ccc,G1,0.030434220172403825,0.15375511041663484
0xc444b1,25.0,0.4,0.025,0.245,49.98,0xd37f43,0x7dc412,G1,0.02415564151894721,0.3642804096159572
0xff709c,25.0,0.0,0.0093,0.245,182.96599999999998,0x371d15,0x371d15,G1,0.03286597749372124,0.0722165224802323
0xaa4d1,25.0,0.0,0.0,0.245,207.76,0xd036b0,0xd036b0,G1,0.033158319773637326,0.06241407365464306
0x482df8,25.0,0.6075446878072486,0.16477272699999998,0.245,53.9,0xac4bc2,0x1802c0,G2,0.02206080007983777,0.6455316098743596
0xa92239,25.0,0.15,0.116856559,0.245,207.76,0xee535b,0xaa4d1,G2,0.028921453421891886,0.17005430268332794
0x188927,25.0,0.0,0.009756098000000001,0.245,51.94,0x60a89e,0x3375a8,G2,0.028665131681996647,0.18781867067913446
0x413da9,25.0,0.0,0.8399232522026742,0.245,49.98,0xd5aa9c,0x8fe81a,G2,0.0,2.174454482590206
0xcbac6d,25.0,0.0,0.0,0.08569696963578016,189.14,0x6f3f7,0x211b6a,G2,0.030575147636795065,0.05544509084635035
0x7381af,25.0,0.06,0.39615500677782434,0.245,183.65200000000002,0x2c0494,0x5f79a4,G2,0.02593066393025986,0.3773308495304917
0xf2c184,25.0,0.3,0.02,0.245,183.65200000000002,0x1802c0,0x9872ee,G2,0.029763772971207764,0.11167737979639476
0xe69969,5.082307554929488,0.07527751605853517,0.0093,0.245,182.96599999999998,0x60a89e,0xebeab0,G2,0.029838062297834214,0.10652876096721416
0x8ced,25.0,0.6075446878072486,0.2,0.23932554877432696,147.0,0xac4bc2,0x1802c0,G2,0.027065824540049667,0.2986585885865238
0x928bde,25.0,0.6075446878072486,0.2,0.245,147.0,0x9872ee,0xac4bc2,G2,0.027044717966804566,0.30012137880638456
0x2e0d18,6.4742193895375975,0.47,0.071428571,0.245,94.08,0xeba4d1,0xf40f8d,G2,0.0268805692915502,0.3114976962207187
0x22822c,25.0,0.0,0.0118,0.245,75.37861045340115,0x4ca4fc,0xd5aa9c,G2,0.029356717328448478,0.1398883549392008
0x521a52,25.0,0.0,0.02,0.245,151.9,0xd5aa9c,0x9842c6,G2,0.030095750843803535,0.08866966653076762
0x57b75b,25.0,0.0,0.0093,0.245,182.96599999999998,0x4ca4fc,0x618f59,G2,0.030333152957448994,0.0722165224802323
0x90f40f,25.0,0.0,0.1,0.245,117.6,0xf76f95,0xb4e8b,G2,0.028224198733875345,0.21837751112358528
0xb00227,25.0,0.0,0.1,0.245,160.72,0x5f79a4,0xf76f95,G2,0.028838652329389085,0.17579282910826474
0x29cd2b,25.0,0.0,0.02,0.245,183.65200000000002,0xd5aa9c,0xebeab0,G2,0.03024466303948063,0.07834931272795508
0x8cb1f1,25.0,0.0,0.0,0.08569696963578016,117.6,0x6f3f7,0xb4e8b,G2,0.030213491661191746,0.0805096438613445
0x35b80,25.0,0.0,0.088888889,0.245,192.0767280522929,0x8fe81a,0xff444a,G2,0.029291088161030338,0.14443678177865146
0x987a02,25.0,0.47,0.071428571,0.245,94.08,0x4aaf36,0x211b6a,G2,0.026875751074981778,0.3118316225284907
0x24a153,25.0,0.0,0.0,0.245,122.696,0xf40f8d,0x59bb9a,G2,0.03009936822618252,0.08841896398876706
0xa26816,25.0,0.125,0.009756098000000001,0.245,51.94,0x9842c6,0x3375a8,G2,0.028280111380445682,0.21450248737530345
0xb04a9,25.0,0.0,0.2,0.245,183.65200000000002,0x60a89e,0x2c0494,G2,0.02744920304644329,0.27208855643848034
0x35b7a8,25.0,0.0,0.0118,0.245,98.0,0xb4e8b,0x4ca4fc,G2,0.02973218799715542,0.11386637516773188
0x13053f,25.0,0.0,0.0,0.245,214.26558573268312,0x5f79a4,0x482648,G2,0.030491024988419487,0.06127520764852382
0x57de92,25.0,0.4,0.2,0.245,96.04,0xb3397b,0x3fa378,G2,0.02629830416138748,0.35185155792423306
0xd75b2e,25.0,0.0,0.0,0.245,49.98,0xf40f8d,0xc444b1,G2,0.028766026186229914,0.18082618107334966
0x8f939d,25.0,0.0,0.076923077,0.245,171.5,0x3fa378,0xcdaaec,G2,0.029343827011212416,0.14078171786291413
0x161b21,11.50535166258532,0.2,0.036363636,0.245,94.08,0x5f79a4,0x211b6a,G2,0.0288725173734581,0.17344581357504438
0x9fc00e,25.0,0.6075446878072486,0.2,0.245,182.96599999999998,0xac4bc2,0xff709c,G2,0.027623881356145515,0.2599824831272428
