,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0xb32cb5,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.030277419502624837,67.85483064703493
0x7d3e,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.02438605617487848,81.36126045939659
0x4273aa,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.04336949984557752,37.84017115097353
0xd3f281,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.03829666692433738,49.47005340214629
0xfac7bf,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03385581038647537,59.65107837015568
0x48df74,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.030454016328173034,67.44996805468399
0x1fa94c,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.017479221815621823,97.19574024093693
0x9cbbf2,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.016834049842350877,98.67484948766204
0x10dcb1,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.017347233403306097,97.49833441614108
0x1b73ba,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.014782920503089466,103.37723039945135
0x419f58,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.017999653810597212,96.00260754461563
0xeccfc2,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.010416170985955391,113.38835899231256
0x5f396f,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.027520298400574506,74.17575512195933
0xd3f952,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.042916136877025515,38.87954264677533
0xac3974,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.03880283671253716,48.30961797538175
0x688da2,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03758414998394488,51.10355646589492
0xe1abf8,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.04321810109725298,38.187265100907695
0x44c3c9,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.04398951553324322,36.41873473597935
0xe5447f,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.01956240306161981,92.41987772487259
0x8ee43e,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.02261432720526743,85.42309328879931
0x841b3,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.011155019896698181,111.69448774388886
0x3d6783,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.013682143397807697,105.90085148415369
0x1f79b3,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.019859501479831,91.73875542606028
0x62206d,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.04183693647700988,41.35369737894656
0xbc1659,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.02117345286549722,88.7264149574671
0x842f89,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.045315590507527974,33.37859995397504
0xa7276,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.002893073421965308,130.63567231638322
0x7b23ae,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.021105536057349324,88.88211976657452
0x288a3b,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.0,137.26827854722842
0x440697,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.03987334271009377,45.85539586831617
0xd34fd3,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.0,137.26827854722842
