,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0xbb2d43,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.02464176450179943,0.3607925430893703
0x7b67db,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.015161860057765241,0.6189664141015089
0x5eabb5,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.024304208715176346,0.3699854716288423
0xba2066,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.02808388920221565,0.2670503894991829
0x1cba62,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.025690451260775467,0.3322328121719982
0x91775c,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.023637748859593723,0.3881357095142293
0x5b1fdc,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.025546207075241703,0.3361611302231026
0x49d867,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.025550762259542243,0.33603707522117865
0x768ac6,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.022572900346698933,0.4171355864896321
0x235e58,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.019587657686328197,0.4984351035985314
0xb040a6,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.025193766846027275,0.34575941877272576
0xa31293,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.0,1.0318815574942202
0x48e054,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.02431129770999219,0.3697924113249125
0xa11ebc,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.03172084100012448,0.16800235268678854
0x9952e5,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.030674850788110667,0.1964886463694593
0x73196e,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03044515185220982,0.2027442224460948
0x256c83,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.03091833818623081,0.18985755799863613
0x7b9921,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.03340385599783366,0.12216745007830206
0x9b8d00,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.029368893081120867,0.23205484417052186
0x39dbe1,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.030147877192017017,0.21084014263483594
0xc96250,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.026372753984324725,0.31365111270648377
0x199e5e,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.029525808784412952,0.2277814324731072
0x18c392,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.029745132251405945,0.22180841989564207
0xb7a625,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.034564939288765674,0.09054673390367084
0xa92f0c,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.03013662192513172,0.2111466663807459
0xca325b,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.034394526579029826,0.09518772044545598
0xb1117e,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.02693372938876922,0.2983736178157861
0x246dd6,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.031038043702327787,0.1865975212910181
0x2524d5,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.025178418447249294,0.3461774140752885
0xab3cb2,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.03405763893613427,0.10436245288880212
0x16b536,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.02718090076692778,0.2916422006502093
0xda0468,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.03444801633258578,0.09373099091652948
0x329bc8,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.03078774760317634,0.1934140364994424
0xa1a106,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.03426712719892836,0.09865729034666322
0xd23450,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.03501058001167962,0.07841024126341578
0xdee326,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.035395692180347056,0.06792217147898667
0xcdaed2,20.504917173023003,0.2,0.0,0.245,117.6,0xb1117e,0x329bc8,G1,0.02958986320806118,0.12216027717750842
0xa74773,25.0,0.2,0.016666667,0.245,27.44,0xb1117e,0x5eabb5,G1,0.025409292667027832,0.4621618972926502
0x37c559,25.0,0.0,0.0,0.245,302.7932110851605,0xca325b,0xda0468,G1,0.030408528942228546,0.05557901196081021
0x834c65,25.0,0.0,0.0,0.245,207.76,0xdee326,0xdee326,G1,0.030256760697572865,0.06792217147898667
0x9a38e9,25.0,0.2,0.293685756,0.245,76.244,0xb1117e,0x9952e5,G1,0.024558800235108785,0.5313315960000108
0xdc3581,25.0,0.125,0.103092784,0.245,116.62,0x39dbe1,0xa1a106,G1,0.02798741911091825,0.2524854526110683
0x6740b9,25.0,0.3,0.16477272699999998,0.245,160.72,0x199e5e,0xa92f0c,G1,0.027993172590053027,0.2520175279084651
0xe946d0,25.0,0.0,0.0,0.245,207.76,0xdee326,0xdee326,G1,0.030256760697572865,0.06792217147898667
0x916098,25.0,0.5,0.0,0.245,117.6,0x1cba62,0x329bc8,G1,0.02871374571468489,0.1934140364994424
0xe67b,25.0,0.125,0.119402985,0.245,147.98,0x9b8d00,0x16b536,G1,0.02823862850148825,0.23205484417052186
0xdb8d45,25.0,0.0,0.26718611829936234,0.245,98.0,0x246dd6,0x7b9921,G1,0.023932722269727844,0.582249890634335
0xc79ca0,25.0,0.06,0.02,0.245,151.9,0xb7a625,0x39dbe1,G1,0.02983690462551264,0.10206864582130712
0x97d1c2,25.0,0.0,0.09638554199999999,0.245,71.54,0x5eabb5,0x768ac6,G1,0.026960689733396673,0.33598832580761995
0x8be7a3,25.0,0.0,0.0,0.17503559084646886,116.62,0xa1a106,0x256c83,G1,0.02993649506764311,0.09396905478702368
0x65f07e,25.0,0.7257988874621131,0.0118,0.245,98.0,0x73196e,0x7b9921,G1,0.025651990531103206,0.4424235227875011
0xa54c2e,7.097209245737263,0.2,0.022222222000000003,0.245,125.44,0xba2066,0xc96250,G1,0.029236508980948688,0.15089822299460884
0xbe1f64,18.926000289630522,0.0,0.0,0.245,116.62,0x9b8d00,0xa1a106,G1,0.029822381321565332,0.1032498116031167
0xa78127,25.0,0.0,0.0,0.245,125.44,0xbb2d43,0xda0468,G1,0.029939422238412283,0.09373099091652948
0x3dbf4b,25.0,0.0,0.0093,0.245,182.96599999999998,0xd23450,0x199e5e,G1,0.03012780214861584,0.07841024126341578
0x72c1f1,25.0,0.0,0.0093,0.245,182.96599999999998,0x256c83,0xd23450,G1,0.03012780214861584,0.07841024126341578
0x93925f,25.0,0.4,0.009756098000000001,0.245,122.696,0x1cba62,0xca325b,G1,0.029000279930638403,0.17011049534724926
0xadd750,25.0,0.2,0.022222222000000003,0.245,78.694,0xba2066,0x73196e,G1,0.028678708340071187,0.19626359112752792
0xd6b3fa,25.0,0.4,0.2,0.245,125.44,0xd23450,0xc96250,G1,0.027235342233663494,0.31365111270648377
0x2018c5,25.0,0.41,0.09638554199999999,0.245,71.54,0x768ac6,0xda0468,G1,0.02596292434810854,0.4171355864896321
0xc1ee33,25.0,0.39,0.027586207,0.245,207.76,0xbb2d43,0xdee326,G1,0.02939414413418518,0.13807791367045166
0x8ebd3d,25.0,0.6906284034063752,0.02,0.245,183.65200000000002,0xb040a6,0xb7a625,G1,0.027745271787612304,0.2721790521861673
0x4f55e1,25.0,0.0,0.0,0.245,207.76,0x48e054,0xdee326,G1,0.030256760697572865,0.06792217147898667
0x230764,25.0,0.4,0.0,0.245,122.696,0x91775c,0xca325b,G1,0.029159444996193717,0.157165759784633
0x8e4b84,25.0,0.0,0.038461537999999997,0.245,172.48,0xab3cb2,0xda0468,G1,0.02980870057680859,0.10436245288880212
0xc89b05,25.0,0.0,0.088888889,0.245,59.29,0x9b8d00,0x48e054,G1,0.026545043584321536,0.3697924113249125
0x3e7953,25.0,0.125,0.119402985,0.245,182.96599999999998,0x9b8d00,0xd23450,G1,0.028598074314384995,0.20282147577523807
0xd05352,25.0,0.0,0.0,0.11007109387795266,125.44,0xa11ebc,0xda0468,G1,0.030050593317887377,0.08468955823156958
0xdb2ba3,25.0,0.0,0.9458554544148919,0.245,53.9,0x7b9921,0xba2066,G1,0.0,2.528674251999583
0x42a2c7,25.0,0.0,0.02,0.245,53.9,0xa11ebc,0xba2066,G1,0.02851127903844473,0.20988044874277376
0xfbf9c3,25.0,0.0,0.0093,0.245,182.96599999999998,0xd23450,0xd23450,G1,0.03012780214861584,0.07841024126341578
0x5741df,5.720998233492685,0.0,0.0,0.245,207.76,0xdee326,0xdee326,G1,0.029939939121233352,0.09368895335374998
0x12a5d5,25.0,0.0,0.0093,0.245,182.96599999999998,0x97d1c2,0xfbf9c3,G2,0.034831535117262134,0.07841024126341578
0xa10028,25.0,0.4,0.009756098000000001,0.1813482370922681,122.696,0x93925f,0x3dbf4b,G2,0.029019050856837824,0.1624880753837618
0x86a8cd,25.0,0.0,0.0093,0.245,125.44,0xfbf9c3,0xa54c2e,G2,0.0333160382449881,0.10033196851944078
0xc5796a,25.0,0.2,0.0,0.15617123294402907,116.62,0x9a38e9,0x8be7a3,G2,0.0322692830962175,0.1154733266409899
0x49055f,18.926000289630522,0.2,0.022222222000000003,0.245,125.44,0xbe1f64,0xa54c2e,G2,0.03029496433218802,0.14403193223980135
0x75b84d,5.720998233492685,0.0,0.0,0.245,122.696,0x5741df,0x230764,G2,0.03170971697676792,0.12356747455822027
0x574cfa,25.0,0.6906284034063752,0.02,0.245,151.9,0x8ebd3d,0xc79ca0,G2,0.01904152908722321,0.3068133557100365
0x2e1fb,20.504917173023003,0.125,0.103092784,0.245,116.62,0xcdaed2,0xdc3581,G2,0.02279733565584406,0.2524854526110683
0x6e30b5,25.0,0.2,0.2,0.245,125.44,0x9a38e9,0xd6b3fa,G2,0.017942026338366307,0.3227177101291411
0x67870f,25.0,0.0,0.09638554199999999,0.245,71.54,0x97d1c2,0x97d1c2,G2,0.017024599699534362,0.33598832580761995
0x1e7f32,20.504917173023003,0.2,0.0,0.245,117.6,0xcdaed2,0xbe1f64,G2,0.031806999604374504,0.12216027717750842
0x9b0280,25.0,0.0,0.0,0.17503559084646886,116.62,0x3dbf4b,0x8be7a3,G2,0.03375592036501481,0.09396905478702368
0x16346,25.0,0.0,0.0,0.245,207.76,0xe946d0,0x230764,G2,0.03555659828262588,0.06792217147898667
0x57e03,25.0,0.6906284034063752,0.02,0.245,309.737940928823,0x3dbf4b,0x8ebd3d,G2,0.026098647404250455,0.20473183657946128
0x1b543b,25.0,0.0,0.0093,0.245,182.96599999999998,0x3dbf4b,0xfbf9c3,G2,0.034831535117262134,0.07841024126341578
0x204982,25.0,0.125,0.0093,0.245,182.96599999999998,0xdc3581,0xfbf9c3,G2,0.034059461070552674,0.08957832546277382
0xc9f469,5.952553205324657,0.0,0.0093,0.245,125.44,0x72c1f1,0xd05352,G2,0.03169584886645354,0.12376807736871108
0x3d8cd1,25.0,0.0,0.0,0.11007109387795266,125.44,0x8e4b84,0xd05352,G2,0.03439743222408619,0.08468955823156958
0x592d06,25.0,0.0,0.038461537999999997,0.245,172.48,0x8e4b84,0x8e4b84,G2,0.033037402059792526,0.10436245288880212
0xd304c5,25.0,0.4,0.0,0.245,117.6,0xd6b3fa,0x916098,G2,0.029057604247188864,0.16193039893880656
0xa6ed6e,25.0,0.39,0.027586207,0.245,151.9,0xc1ee33,0xc79ca0,G2,0.028674059479074487,0.16747839045954285
0xd4da6e,25.0,0.125,0.103092784,0.245,116.62,0xdc3581,0xa74773,G2,0.02279733565584406,0.2524854526110683
0x9e3ef0,5.720998233492685,0.125,0.119402985,0.245,147.98,0x5741df,0xe67b,G2,0.02814314880326925,0.17515803615544612
0x357905,25.0,0.0,0.0,0.245,207.76,0x42a2c7,0x5741df,G2,0.03555659828262588,0.06792217147898667
0x88ca98,25.0,0.4,0.2,0.245,117.6,0xd6b3fa,0x916098,G2,0.0175642553664278,0.3281821834405594
0x6a855e,25.0,0.41,0.09638554199999999,0.245,71.54,0x2018c5,0x2018c5,G2,0.011414712379939324,0.4171355864896321
0x596f8c,25.0,0.125,0.103092784,0.16647061302388144,302.7932110851605,0xdc3581,0x37c559,G2,0.031349934084777036,0.12877174952170028
0xca8c2,25.0,0.0,0.0,0.17503559084646886,116.62,0x8be7a3,0x97d1c2,G2,0.03375592036501481,0.09396905478702368
0xff2f09,25.0,0.125,0.0,0.245,207.76,0xdc3581,0xe946d0,G2,0.03489660735340202,0.07746896857675054
0x15622,25.0,0.3,0.16477272699999998,0.245,160.72,0x72c1f1,0x6740b9,G2,0.022829684312269394,0.2520175279084651
0x828496,25.0,0.2,0.293685756,0.245,76.244,0xfbf9c3,0x9a38e9,G2,0.0035200928904285038,0.5313315960000108
0x244834,25.0,0.2,0.022222222000000003,0.11007109387795266,125.44,0xadd750,0xd05352,G2,0.031574910466088325,0.12551745651695578
0xbd2c1c,25.0,0.0,0.26718611829936234,0.245,98.0,0x5741df,0xdb8d45,G2,0.0,0.582249890634335
0x9798b7,20.504917173023003,0.0,0.038461537999999997,0.245,172.48,0xcdaed2,0x8e4b84,G2,0.033037402059792526,0.10436245288880212
0x66a4fb,25.0,0.0,0.0,0.245,207.76,0x4f55e1,0x4f55e1,G2,0.03555659828262588,0.06792217147898667
0xe25943,25.0,0.0,0.0,0.16398408511933799,302.7932110851605,0x37c559,0x37c559,G2,0.03678521157158972,0.05015022755977623
0x2ecbb7,25.0,0.2,0.0,0.15617123294402907,116.62,0xc5796a,0x75b84d,G3,0.02961856917560409,0.1154733266409899
0x66da8d,2.819400863195759,0.125,0.2,0.245,125.44,0xd4da6e,0x6e30b5,G3,0.021723158759545967,0.2383657735273652
0x2c3e79,25.0,0.0,0.0,0.11007109387795266,125.44,0x3d8cd1,0x75b84d,G3,0.031596318759921346,0.08468955823156958
0x10f736,25.0,0.0,0.7164211939445022,0.16398408511933799,302.7932110851605,0x9b0280,0xe25943,G3,0.0,0.5764877954848552
0xee7c23,22.307158979923432,0.4,0.0,0.245,71.54,0xd304c5,0x6a855e,G3,0.02188865056692056,0.2357898855017664
0xa8183e,25.0,0.125,0.0,0.245,207.76,0x57e03,0xff2f09,G3,0.032060216421780495,0.07746896857675054
0x6f2b9a,25.0,0.0,0.0,0.245,117.6,0x3d8cd1,0xd304c5,G3,0.03073645158663836,0.09807343257799957
0x1f4c9a,25.0,0.4,0.0093,0.245,182.96599999999998,0xa10028,0x204982,G3,0.028655927974342823,0.1304568837282858
0xa56990,25.0,0.4,0.009756098000000001,0.1813482370922681,182.96599999999998,0xa10028,0x1b543b,G3,0.02911664639890031,0.1232857790565956
0x4a3d37,25.0,0.3,0.16477272699999998,0.245,160.72,0x15622,0xe25943,G3,0.0208460812298125,0.2520175279084651
0x234a53,14.442661303164318,0.0,0.0,0.245,117.6,0x66a4fb,0x1e7f32,G3,0.030301883865818443,0.10483750027494627
0x310e43,25.0,0.125,0.103092784,0.16647061302388144,302.7932110851605,0x596f8c,0x204982,G3,0.02876419196048863,0.12877174952170028
0xd8ce40,25.0,0.0,0.0,0.17503559084646886,116.62,0x9b0280,0x9798b7,G3,0.031000143522012313,0.09396905478702368
0x84f61f,20.504917173023003,0.2,0.0,0.245,371.1064566910401,0x16346,0x1e7f32,G3,0.032987098587798316,0.063042002611105
0x6f6fc8,25.0,0.125,0.103092784,0.16647061302388144,302.7932110851605,0xff2f09,0x596f8c,G3,0.02876419196048863,0.12877174952170028
0xa6f5e9,25.0,0.41,0.09638554199999999,0.245,71.54,0x75b84d,0x6a855e,G3,0.010237822767789995,0.4171355864896321
0xb5706f,25.0,0.0,0.0,0.245,207.76,0x596f8c,0x357905,G3,0.03267356478578019,0.06792217147898667
