,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x194f06,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.030729470994325433,63.351135785487
0x2f654c,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.025692927736683333,78.99881343590677
0x47681f,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.03998134551761189,34.60714555312809
0x9d9ab5,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.0364103357198299,45.7016616415977
0xc42adc,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03377523667946705,53.88846323373412
0xa24e7e,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.030962411320349992,62.627430071675185
0xb8e75a,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.02156686291238814,91.81779046689785
0x13fe79,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.021160230912264037,93.0811264762993
0xef62b3,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.021251698311898635,92.79695292476023
0x6a91fe,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.01982641259869009,97.22507162823723
0x478b2d,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.021028358696408556,93.49083087457329
0xc15d9b,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.01529991230169985,111.28813311874687
0x6dd37e,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.025136263842775106,80.72827285398814
0x740b58,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.039605241224877935,35.77563720198078
0xb16880,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.03628389414031335,46.094493982486036
0x7169c1,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.035172523268723006,49.54733301495632
0xe74140,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.0398562576102691,34.99577226631987
0xc658c8,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.04048834611174512,33.031981505141324
0xc8e68,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.019975252276747877,96.76265222971293
0x934109,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.022394801111818723,89.24552822344322
0x37db8,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.017607824167386526,104.11784606421837
