,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x50c4cd,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.025193322539021224,0.33380927354297923
0x6beac5,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.015342310609696265,0.5972158885591228
0x368577,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.025084356822011867,0.33672291235249063
0xaf85f6,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.028532705984753,0.2445173616062297
0xb5de13,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.026549178329340666,0.2975549895424769
0x6abe3e,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.024311654975425912,0.3573842189559309
0x1b267e,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.025965882596540087,0.3131517582432625
0x63609f,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.02598960070775985,0.3125175586873392
0x6b7c11,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.02299580938803947,0.3925686684870099
0x82f336,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.020320277289938807,0.4641098318095102
0xbc454e,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.025252602134485234,0.33222419399046954
0xb85348,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.0,1.0074545658868932
0x6685ca,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.0227706858317099,0.398588256561677
0xf58a7d,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.03196004679431991,0.15287355408354694
0x426f56,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.03074858252893699,0.18526694713259992
0x98839e,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.030414796546552846,0.19419206430740693
0x1c2977,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.031233068975684484,0.1723122440143284
0xb20554,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.033592619925942147,0.10922011366015406
0x33cf2e,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.028764925711199478,0.2383080287455971
0x2896b4,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.029599781614116416,0.21598478226175427
0xb4f401,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.026930008556720963,0.2873719543568779
0x4cec3d,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.029640883376775593,0.21488576053171024
0x6b018c,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.029263543753736146,0.2249754603036096
0x91f86b,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.03462998124815329,0.08148206640240073
0x7b6259,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.029966950746262388,0.2061670316660941
0x778730,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.03455798166869737,0.08340726613245204
0x7a13e6,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.02703143728932437,0.28465984728482085
0xab5646,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.030057131469528823,0.20375568558045928
0xbbc5b4,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.022983386892186763,0.3929008341169055
0xde93d7,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.03401093671238579,0.09803472382283802
0x221cb3,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.025343281626545876,0.3297995113054378
0x564944,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.034606539174341415,0.08210888498266904
0xa74458,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.031360350584514946,0.16890885581661075
0xb6e194,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.03444232967575575,0.08649968955038928
0x22166c,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.035086218000079536,0.0692827330412149
0x452f30,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.03546682991951645,0.0591055352007345
0xd45666,25.0,0.35,0.0,0.245,116.62,0x6beac5,0xb6e194,G1,0.030367672225648033,0.13179510559610982
0xbc4417,25.0,0.4,0.025,0.245,53.9,0x6abe3e,0xaf85f6,G1,0.027946550669540316,0.33507521204363194
0x6d9036,25.0,0.0,0.038461537999999997,0.245,94.08,0xde93d7,0x1b267e,G1,0.03014987878609962,0.1500812893126134
0x7555b2,25.0,0.31,0.115942029,0.245,151.9,0xbc454e,0x2896b4,G1,0.029242582421576156,0.2262589190951864
0x3b89ef,25.0,0.5,0.0,0.245,160.72,0xa74458,0x7b6259,G1,0.030314383403394964,0.1362692954329397
0x5cb7c4,25.0,0.39,0.027586207,0.245,54.88,0x50c4cd,0x50c4cd,G1,0.027961628342639766,0.33380927354297923
0x76fe42,25.0,0.15,0.116856559,0.245,156.8,0x6b018c,0x452f30,G1,0.029257868766122932,0.2249754603036096
0x2ddfb2,14.150746419792728,0.0,0.02,0.245,70.658,0xb20554,0xf58a7d,G1,0.030056045883602892,0.1579596060207098
0x53425,25.0,0.07,0.042105263,0.245,96.04,0x98839e,0x63609f,G1,0.029956067148211748,0.16635393381541694
0x87d628,25.0,0.2,0.293685756,0.245,78.694,0x7a13e6,0x98839e,G1,0.02599447214641964,0.4989739345067176
0x755ec6,25.0,0.0,0.0178,0.245,59.486000000000004,0xab5646,0x1c2977,G1,0.02988510204733364,0.1723122440143284
0x8de829,25.0,0.47,0.071428571,0.245,10.066074845128707,0x1b267e,0x6beac5,G1,0.004458021260679941,2.3071987291317027
0xfe78c,25.0,0.15,0.115942029,0.245,89.18,0x6b018c,0xbc454e,G1,0.027935082731360153,0.3360380731144101
0x451d2d,25.0,0.47,0.076923077,0.245,96.04,0x63609f,0xb4f401,G1,0.028215218478459557,0.3125175586873392
0x33b7a9,25.0,0.47,0.076923077,0.245,96.04,0xf58a7d,0x63609f,G1,0.028215218478459557,0.3125175586873392
0x49ebde,25.0,0.4,0.009756098000000001,0.245,53.9,0xb5de13,0xaf85f6,G1,0.028503427971529896,0.2883191634094452
0x272146,25.0,0.39,0.027586207,0.245,54.88,0x452f30,0x50c4cd,G1,0.027961628342639766,0.33380927354297923
0x238a4,25.0,0.0,0.2,0.245,193.06,0x98839e,0x221cb3,G1,0.02800938570541291,0.3297995113054378
0x6a8d63,25.0,0.0,0.016666667,0.245,27.44,0x564944,0x368577,G1,0.02792692610909759,0.33672291235249063
0x45b8d6,25.0,0.2,0.022222222000000003,0.245,89.18,0xaf85f6,0xbc454e,G1,0.030003123046291193,0.16240306734758442
0x41e6aa,25.0,0.0,0.0,0.245,125.44,0x564944,0x1b267e,G1,0.03095944867574439,0.08210888498266904
0x2c351,25.0,0.0,0.088888889,0.245,59.29,0x1c2977,0x6685ca,G1,0.02719009297250362,0.398588256561677
0x33b73b,25.0,0.0,0.0,0.245,89.18,0xb6e194,0xbc454e,G1,0.030678303343611008,0.10571416531199604
0x434f30,25.0,0.0,0.2,0.245,193.06,0x221cb3,0x6b7c11,G1,0.02800938570541291,0.3297995113054378
0x6d2839,25.0,0.15,0.116856559,0.245,156.8,0xb20554,0x6b018c,G1,0.029257868766122932,0.2249754603036096
0x609d02,25.0,0.0,0.8526589026072959,0.245,51.94,0xab5646,0xb5de13,G1,0.0,2.6814992404506053
0xd9fc83,25.0,0.0,0.2,0.245,125.44,0xde93d7,0xb4f401,G1,0.026716402068352362,0.4383598810702344
0x72b485,25.0,0.25,0.1,0.245,160.72,0x91f86b,0x7b6259,G1,0.029481882285235086,0.2061670316660941
0xd21b04,25.0,0.0,0.0,0.245,94.08,0xb6e194,0x1b267e,G1,0.030728960185925337,0.10146095949010124
0xda183f,25.0,0.0,0.0178,0.245,59.486000000000004,0xbbc5b4,0x1c2977,G1,0.02988510204733364,0.1723122440143284
