,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0xf10e61,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.029665099422848087,62.62205346267187
0x8b057,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.023571715838223452,73.51243790825394
0x1cf2a1,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.044904908098037155,35.384743839048426
0x336841,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.03897693110472533,45.97950577142206
0x95e84e,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03340484710218814,55.93819885350968
0x4b6b04,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.029787064399555356,62.40407186561795
0xd3a457,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.015141465228848993,88.57938205080721
0x8e8e17,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.014375184219317287,89.94891585271755
0x50dd41,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.015223978407877911,88.43191057966604
0xd74a88,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.012024147894079148,94.15079959625494
0xa50fcd,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.01652657027297476,86.10385655359305
0x76b785,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.008377491049252431,100.66827784618572
0xe21e77,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.028857932293617248,64.06466087890959
0x693581,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.044420347435473594,36.25077366127046
0xa4e3f8,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.039931007131517905,44.27433579848579
0xf0d8c3,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03868517106006715,46.500953175489165
0xa1ef7c,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.044742776462745486,35.67451319536673
0xfcd837,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.045572191211837566,34.192143776635106
0x3ee2d1,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.019709637438212465,80.41492778944679
0xd13fc7,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.022964500925275702,74.59768123017079
0x36882d,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.007741740945156963,101.80452061652248
0x4b621f,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.011548945174578341,95.00010445833654
0x76e7c0,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.019816765085599274,80.22346417180471
0x2ce2b1,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.04313576384887828,38.5466424370041
0x1bc516,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.02053291678148979,78.94352385928559
0x63847f,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.0470174841049264,31.6090476981409
0x376ee,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.0,115.64092759795773
0x9ed3ac,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.022404239294490154,75.59900741694806
0xfe5590,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.0012626740821783324,113.38421652874287
0xa68171,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.04123981603875635,41.935170379523115
0xe4f9b,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.0012626740821783324,113.38421652874287
0x6c401a,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.0470174841049264,31.6090476981409
0xfec806,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.030223777876745597,61.62355680479536
0x8a5d12,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.0470174841049264,31.6090476981409
0x8905aa,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.04589778337356784,33.6102300066473
0x431208,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.0470174841049264,31.6090476981409
0x8cf76a,25.0,0.5,0.0,0.245,117.6,0x6c401a,0xfec806,G1,0.026195033963229402,61.62355680479536
0x151ff3,25.0,0.0,0.02,0.245,207.76,0x693581,0x431208,G1,0.03350154800609901,36.25077366127046
0xe3f479,25.0,0.21737684152003445,0.088888889,0.245,59.29,0x4b6b04,0xe21e77,G1,0.02270867780254424,73.73036427921376
0xc39d72,25.0,0.0,0.0,0.245,311.0605795117907,0xf10e61,0x63847f,G1,0.034838210040410114,31.6090476981409
0x3e5c6d,25.0,0.0,0.0093,0.245,182.96599999999998,0xa50fcd,0x8905aa,G1,0.034261936379111915,33.6102300066473
0xa6d52,25.0,0.0,0.0093,0.245,182.96599999999998,0x8905aa,0x95e84e,G1,0.034261936379111915,33.6102300066473
0xc8e047,25.0,0.47,0.076923077,0.245,96.04,0x8a5d12,0x8e8e17,G1,0.018038276681922528,89.94891585271755
0xbf2e9e,25.0,0.07,0.036363636,0.245,76.244,0xa4e3f8,0x336841,G1,0.03119103011384478,44.27433579848579
0x18cc2b,25.0,0.4,0.025,0.245,49.98,0x8a5d12,0x4b6b04,G1,0.02597027169650003,62.40407186561795
0x2edaae,25.0,0.0,0.0178,0.245,182.96599999999998,0xa1ef7c,0x8905aa,G1,0.03366749177200987,35.67451319536673
0xfe51a3,25.0,0.07,0.042105263,0.245,78.694,0x50dd41,0xf0d8c3,G1,0.030549838682808392,46.500953175489165
0x46dd13,25.0,0.06,0.02,0.245,76.244,0x2ce2b1,0xa4e3f8,G1,0.03284041448536561,38.5466424370041
0xe559ce,25.0,0.0,0.0,0.20898118818592729,59.486000000000004,0x63847f,0xa1ef7c,G1,0.03327055997147579,37.05290847916813
0x991c43,25.0,0.07,0.042105263,0.245,125.44,0xf0d8c3,0x6c401a,G1,0.030549838682808392,46.500953175489165
0xc1f2f9,25.0,0.5,0.0,0.245,125.44,0xfec806,0x6c401a,G1,0.026195033963229402,61.62355680479536
0xd3b5c7,25.0,0.6769716602942903,0.076923077,0.245,96.04,0x8905aa,0x8e8e17,G1,0.0073170890090080674,127.17957992450708
0x49da74,25.0,0.4,0.009756098000000001,0.245,51.94,0x95e84e,0xfcd837,G1,0.02783222715070242,55.93819885350968
0xd1a5f0,25.0,0.0,0.0,0.245,116.62,0x1cf2a1,0x8a5d12,G1,0.034838210040410114,31.6090476981409
0x16329b,25.0,0.5,0.0,0.245,59.486000000000004,0xfec806,0xa1ef7c,G1,0.026195033963229402,61.62355680479536
0x1ba02a,25.0,0.125,0.103092784,0.245,151.9,0xa68171,0xd13fc7,G1,0.02245891949081549,74.59768123017079
0x80cff1,25.0,0.25,0.1,0.14650518933411283,160.72,0x63847f,0x1bc516,G1,0.00593558643654476,131.97702026030456
0x5d6477,25.0,0.06,0.02,0.245,59.486000000000004,0x2ce2b1,0xa1ef7c,G1,0.03284041448536561,38.5466424370041
0xef5631,25.0,0.09978837513476735,0.0093,0.245,182.96599999999998,0xd13fc7,0x8905aa,G1,0.03319712564783866,37.30791834543322
