,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0xec3c58,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.024223092273758632,0.3264267957886434
0x72703e,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.014806589906544593,0.5515929691180734
0xa1116c,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.023559392723588198,0.3422970926488305
0xcb1ffc,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.027695111360872594,0.2434043293690349
0xc71191,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.025089435768380085,0.3057109034258965
0x27ef8e,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.023129246114954864,0.3525827021097087
0x249862,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.02545000629576648,0.2970889881222221
0x8d69c5,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.025457681608043677,0.296905457058652
0xdbfc09,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.022438599034604594,0.3690973647879728
0x786604,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.01930161885248898,0.4441084247200066
0x623dad,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.025282380147781867,0.30109724265450605
0x7ee7a9,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.0,0.9056462108952734
0xc702c3,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.024797582805787147,0.31268965330554543
0x3ce9ff,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.03148202702057871,0.15285209728059398
0x5cb97c,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.03053720043609948,0.17544466702579178
0x863210,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.030362610211609863,0.17961944564486024
0x70c40f,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.030612822498474954,0.17363640215839785
0x9071b8,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.03322731359241589,0.11111903298359176
0xd545af,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.02978267215793477,0.19348684855326856
0x81055a,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.030501217562169263,0.17630508480219165
0xe28bfe,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.026364736404402057,0.27521608137206705
0x27b79,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.029745389722618733,0.1943783412715991
0xcd1290,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.03011414733888293,0.1855606573691996
0x8f21be,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.034513635719175546,0.08036066648438192
0x5aea27,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.030363680819879228,0.17959384539991285
0x6529bc,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.03424305134029199,0.08683084477139237
0x5d85b6,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.02733534652652789,0.2520069790460465
0x11802f,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.03156837225131212,0.15078742141355633
0x78247a,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.026412875171436433,0.2740649934692309
0x4f470f,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.03406678007209001,0.09104582028790237
0x35189b,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.028296921986751433,0.2290139123740866
0x22a26b,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.03430074849510666,0.0854511979497817
0xc2fa7e,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.03057212258049788,0.17460961327525867
0x90b42,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.03410563097175577,0.09011682265512908
0x50d04c,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.03493699337145453,0.07023739366014395
0x6288bb,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.0353229668559623,0.06100804616740268
0x9b1dd4,25.0,0.31,0.115942029,0.245,89.18,0x623dad,0x9071b8,G1,0.02378652925095854,0.30109724265450605
0x9b6dc9,25.0,0.5,0.0,0.245,366.44748407378006,0xc2fa7e,0xc702c3,G1,0.0330766434348355,0.08749346695276852
0xc8bbea,25.0,0.0,0.103092784,0.245,151.9,0x90b42,0x81055a,G1,0.029632508890363857,0.16668303644166702
0x9e8cf4,25.0,0.41,0.09638554199999999,0.245,71.54,0xdbfc09,0xe28bfe,G1,0.02082904922953986,0.3690973647879728
0x73071d,25.0,0.3,0.16477272699999998,0.245,116.62,0x27b79,0x90b42,G1,0.025102329971945187,0.27084357768216394
0x684177,25.0,0.0,0.016666667,0.245,27.44,0x9071b8,0xa1116c,G1,0.02199465403925664,0.3422970926488305
0xa47cb6,25.0,0.07,0.036363636,0.245,193.06,0x5cb97c,0x35189b,G1,0.03299261545752955,0.08942548768597759
0x8bb072,25.0,0.12182711805427926,0.0093,0.245,182.96599999999998,0x3ce9ff,0x50d04c,G1,0.03340662992103866,0.07990622335291321
0x550815,25.0,0.0,0.088888889,0.245,117.6,0xc702c3,0xc2fa7e,G1,0.028986934952680198,0.18152645255631386
0x18433f,25.0,0.25,0.1,0.245,171.5,0x5aea27,0x5d85b6,G1,0.029399727789744926,0.17203527657780054
0xf65903,25.0,0.31,0.115942029,0.245,53.9,0x623dad,0xcb1ffc,G1,0.017057593696916045,0.4558128911759877
0xdafc74,8.724666684591655,0.25,0.1,0.245,160.72,0xd545af,0x5aea27,G1,0.02963675663203698,0.1665853698638806
0x61d5a4,25.0,0.0,0.02,0.245,183.65200000000002,0xc702c3,0x8f21be,G1,0.033595034206682355,0.07557432107751133
0xcdc6a8,25.0,0.2,0.022222222000000003,0.245,70.658,0xcb1ffc,0x3ce9ff,G1,0.028449934341969525,0.1938734868049359
0x365c28,25.0,0.0,0.0093,0.245,89.18,0x50d04c,0x623dad,G1,0.03177020479064823,0.11753187354257875
0x4783e2,25.0,0.0,0.016666667,0.245,71.54,0xa1116c,0xdbfc09,G1,0.030458605079004837,0.14768894643438055
0xe827d3,25.0,0.4,0.0093,0.245,182.96599999999998,0xc71191,0x50d04c,G1,0.03181350593927925,0.11653626803582838
0xb4b6e1,25.0,0.125,0.119402985,0.245,147.98,0x90b42,0xd545af,G1,0.028466750119190896,0.19348684855326856
0x27a97a,25.0,0.0,0.038461537999999997,0.245,162.3459653553472,0x623dad,0x4f470f,G1,0.032760547355171296,0.09476133414626016
0x19ea38,25.0,0.4,0.025,0.245,49.98,0x27ef8e,0x5aea27,G1,0.021547309482596037,0.3525827021097087
0x3a56a9,25.0,0.2,0.0,0.245,117.6,0x5d85b6,0xc2fa7e,G1,0.03204405890857281,0.11123525840713942
0x863743,25.0,0.4,0.2,0.245,125.44,0xe28bfe,0xc702c3,G1,0.024912159838410924,0.27521608137206705
0xbf6d38,25.0,0.7839841927437435,0.088888889,0.245,59.29,0xec3c58,0xc702c3,G1,0.0,0.8480111296401451
0x989ba2,25.0,0.0,0.0093,0.245,78.694,0x50d04c,0x863210,G1,0.031235488298669692,0.12982638998833232
0xba4e90,25.0,0.0,0.0,0.245,76.244,0x22a26b,0x5cb97c,G1,0.03143425253725091,0.12525628557464127
0x1a0a1f,25.0,0.125,0.119402985,0.245,147.98,0xd545af,0x35189b,G1,0.028466750119190896,0.19348684855326856
0x471101,25.0,0.0,0.11428571400000001,0.245,196.98,0x6529bc,0x11802f,G1,0.030323845352694466,0.15078742141355633
0xeb2b98,25.0,0.0,0.0093,0.245,78.694,0x50d04c,0x863210,G1,0.031235488298669692,0.12982638998833232
0xb9eed3,21.872810432308537,0.125,0.119402985,0.245,53.9,0xd545af,0xcb1ffc,G1,0.018367398631619434,0.4256970848524261
0x4b9eb2,25.0,0.44,0.9560836995914749,0.245,125.44,0x786604,0xe28bfe,G1,0.023102780851122235,0.316818388481597
0xcf0449,25.0,0.5,0.0,0.245,96.04,0xc2fa7e,0x8d69c5,G1,0.028035236738563403,0.20340845829277213
0x561380,25.0,0.3,0.16477272699999998,0.245,189.14,0x27b79,0x22a26b,G1,0.028427977072599482,0.1943783412715991
0xe10702,25.0,0.0,0.0,0.245,207.76,0x6288bb,0x6288bb,G1,0.03422855464284546,0.06100804616740268
0xb0adba,25.0,0.25,0.1,0.245,94.08,0x5aea27,0x249862,G1,0.025366440163233216,0.2647710006455609
0x9209e7,25.0,0.0,0.0093,0.245,182.96599999999998,0x50d04c,0x50d04c,G1,0.03382714932232355,0.07023739366014395
0xa1eae9,25.0,0.0,0.0,0.245,207.76,0x6288bb,0x6288bb,G1,0.03422855464284546,0.06100804616740268
0x25b57,25.0,0.12182711805427926,0.0093,0.245,151.9,0x8bb072,0xc8bbea,G2,0.0335443793048374,0.0903697771934015
0x7c360f,21.872810432308537,0.12182711805427926,0.0093,0.245,182.96599999999998,0xb9eed3,0x8bb072,G2,0.03434486224708384,0.07990622335291321
0xf7acac,21.85105708524793,0.5,0.0,0.245,96.04,0xc8bbea,0xcf0449,G2,0.024896692542434377,0.20340845829277213
0xf0b6d9,11.521005427841727,0.0,0.0093,0.245,182.96599999999998,0xc8bbea,0xe827d3,G2,0.034706020527891485,0.07518532435965823
0x76f87a,25.0,0.125,0.119402985,0.245,147.98,0xb4b6e1,0xb9eed3,G2,0.025655715669487753,0.19348684855326856
0xbce33d,25.0,0.0,0.103092784,0.245,189.14,0xc8bbea,0x561380,G2,0.029418370940188537,0.14430310717623668
0x1cd59a,25.0,0.5,0.0,0.245,71.54,0x9b6dc9,0x9e8cf4,G2,0.02078118088177969,0.2572045800709173
0xc30a39,25.0,0.0,0.0093,0.245,182.96599999999998,0x561380,0x9209e7,G2,0.035084547191466614,0.07023739366014395
0xfcdf50,21.872810432308537,0.125,0.119402985,0.245,53.9,0x73071d,0xb9eed3,G2,0.007891164924478387,0.4256970848524261
0xb1009c,25.0,0.0,0.0093,0.245,182.96599999999998,0xc8bbea,0x8bb072,G2,0.035084547191466614,0.07023739366014395
0xe8be30,25.0,0.07,0.036363636,0.245,193.06,0xa47cb6,0x1a0a1f,G2,0.033616619353941,0.08942548768597759
0x755a40,8.724666684591655,0.25,0.1,0.245,160.72,0xdafc74,0xdafc74,G2,0.027713732968422625,0.1665853698638806
0x81abf5,16.005729296790115,0.0,0.0,0.245,207.76,0xa1eae9,0xe10702,G2,0.03550597095527555,0.06472873131450899
0x650e9a,25.0,0.5,0.2547384067885816,0.245,96.04,0xb0adba,0xcf0449,G2,0.012690263600369855,0.3629654203398967
0x420e9,8.724666684591655,0.25,0.1,0.245,117.6,0xdafc74,0x550815,G2,0.02490851393398167,0.20325393436678127
0x6ddf0c,25.0,0.5,0.0,0.245,70.658,0xcf0449,0xcdc6a8,G2,0.020579800470429628,0.2598369344477234
