,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0xbcfc90,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.03020456418883852,64.50360006517526
0x9bbff1,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.024230869151882405,77.18529392328962
0xf29e39,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.043604894244911895,36.055732820950645
0x33368,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.0384062523446941,47.09204864368157
0xf67cba,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03384378980098229,56.77780475619132
0xdea10e,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.03038124586047644,64.12851850239201
0x24099b,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.017188464623496824,92.1357756103313
0xce0e93,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.01653218786086857,93.52900056379104
0xbeb9a1,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.017079948962776318,92.36614598905918
0xf81eb3,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.014473363438795912,97.89972603049291
0xf1bc3d,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.017783057130516023,90.8735015742954
0x980b01,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.010198252202896175,106.97545747772308
0xc77871,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.027511360568802594,70.22106364434455
0x376878,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.04314201109879296,37.038398041529476
0x84efe1,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.038941032622140034,45.95675135817058
0x5fe7c4,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03770119619278115,48.58882847861205
0x90a58e,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.043450294890046766,36.3839353282652
0xa715d2,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.044238241016457326,34.711186470145144
0xba7fb7,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.01944654611648459,87.34204274924835
0x6bbd64,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.02251988857787886,80.8175737270725
0xc8a959,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.010837902670898472,105.61752886549549
0x50ccca,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.013445604596552837,100.08157878940744
0xf3a49f,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.01973367681212309,86.73248642659912
0xc2bb7c,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.04203457127729847,39.389407374211146
0xf18f9,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.021017297565595314,84.00745856281459
0x24e5b,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.04559403690261547,31.83293636598357
0x6c0dd,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.002712678990732234,122.86675210222003
0x1c6986,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.02104707338486038,83.94424679489573
0x7b29d,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.0,128.62556039139142
0x42deaf,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.04004028894795394,43.623114955688465
0x5b699a,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.0,128.62556039139142
0x5406a3,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.04559403690261547,31.83293636598357
0x6e48af,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.031331726688878854,62.1107210069999
0xb8ad1e,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.04559403690261547,31.83293636598357
0xb15c50,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.04454557056012479,34.05874955091288
0x68a16c,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.04559403690261547,31.832936365983567
0x6aa536,25.0,0.0,0.0118,0.245,53.9,0xa715d2,0x33368,G1,0.031880776844681276,34.711186470145144
0x761f66,25.0,0.39,0.0,0.245,207.76,0xbcfc90,0x68a16c,G1,0.027340074810547815,51.3629166453375
0x2ccfd,25.0,0.0,0.02,0.245,98.0,0x376878,0xa715d2,G1,0.03124617766460408,37.038398041529476
0x1bcc46,25.0,0.0,0.0093,0.245,182.96599999999998,0x376878,0xb15c50,G1,0.03205868758519491,34.05874955091288
0xdc0f4c,25.0,0.0,0.0,0.245,183.65200000000002,0x5406a3,0xc2bb7c,G1,0.03266563679408052,31.83293636598357
0xafb48d,25.0,0.31,0.115942029,0.245,89.18,0xf1bc3d,0xbeb9a1,G1,0.016566071660773035,90.8735015742954
0x826cbf,25.0,0.0,0.0,0.245,125.44,0x24e5b,0x5406a3,G1,0.03266563679408052,31.83293636598357
0xdfd628,25.0,0.4,0.009756098000000001,0.245,98.0,0xf67cba,0xa715d2,G1,0.025863507919247276,56.77780475619132
0x15453b,25.0,0.0,0.0,0.245,53.9,0x24e5b,0x33368,G1,0.03266563679408052,31.83293636598357
0xa1c45a,25.0,0.4,0.009756098000000001,0.245,49.98,0xf67cba,0xdea10e,G1,0.025863507919247276,56.77780475619132
0xdacbb7,25.0,0.0,0.038461537999999997,0.245,172.48,0xc77871,0x42deaf,G1,0.029450614250367498,43.623114955688465
0xcada9a,25.0,0.0,0.088888889,0.245,172.48,0xc77871,0x42deaf,G1,0.022197712693369797,70.22106364434455
0xa22c9e,25.0,0.7748725948404991,0.0118,0.245,98.0,0xbeb9a1,0xa715d2,G1,0.0,151.6248464730444
0xbedfef,25.0,0.0,0.0,0.245,194.8917746231455,0xb8ad1e,0x376878,G1,0.03266563679408052,31.83293636598357
0xa60f6e,25.0,0.4,0.2,0.245,125.44,0xc77871,0xc8a959,G1,0.012545574450686686,105.61752886549549
0x11c998,25.0,0.07,0.036363636,0.245,183.65200000000002,0x84efe1,0xc2bb7c,G1,0.028814263105579864,45.95675135817058
0x55d22c,25.0,0.4,0.2,0.245,125.44,0xc8a959,0xb15c50,G1,0.012545574450686686,105.61752886549549
0x5c07e5,25.0,0.4,0.025,0.245,49.98,0xf3a49f,0xdea10e,G1,0.02385906750923921,64.12851850239201
0x3e5bc,25.0,0.0,0.0,0.245,94.08,0xb8ad1e,0x24099b,G1,0.03266563679408052,31.83293636598357
0xc22965,25.0,0.0,0.0118,0.245,122.696,0xa715d2,0x24e5b,G1,0.031880776844681276,34.711186470145144
0xe67422,25.0,0.0,0.016666667,0.245,70.658,0xf29e39,0x376878,G1,0.031514137205084856,36.055732820950645
0xe89210,25.0,0.41,0.02,0.245,70.658,0xbeb9a1,0x376878,G1,0.02428958674068597,62.54971196027749
0xba3ce8,25.0,0.0,0.0178,0.245,59.486000000000004,0x24e5b,0x90a58e,G1,0.03142464081180369,36.3839353282652
0x44270,25.0,0.0,0.02,0.245,70.658,0x376878,0x90a58e,G1,0.03124617766460408,37.038398041529476
0xcb3934,25.0,0.0,0.088888889,0.245,59.29,0x24099b,0xc77871,G1,0.022197712693369797,70.22106364434455
0x375156,25.0,0.0,0.0,0.245,196.98,0x5406a3,0x1c6986,G1,0.03266563679408052,31.83293636598357
0x4421e1,25.0,0.2,0.022222222000000003,0.245,51.94,0x33368,0xf67cba,G1,0.028504682861399233,47.09204864368157
0x82cddc,25.0,0.0,0.038461537999999997,0.245,172.48,0x42deaf,0xf1bc3d,G1,0.029450614250367498,43.623114955688465
0xd08569,12.204958779290495,0.0,0.0093,0.245,182.96599999999998,0xb8ad1e,0xb15c50,G1,0.03201585982445034,34.215808153429684
0x38e7f,25.0,0.4,0.009756098000000001,0.245,51.94,0x5fe7c4,0xf67cba,G1,0.025863507919247276,56.77780475619132
0xb6a437,25.0,0.0,0.0,0.245,125.44,0xb15c50,0x5406a3,G1,0.03266563679408052,31.83293636598357
0x42561b,25.0,0.0,0.0093,0.245,182.96599999999998,0xb15c50,0xb15c50,G1,0.03205868758519491,34.05874955091288
0x2ddded,25.0,0.0,0.0,0.245,116.62,0xb8ad1e,0xb8ad1e,G1,0.03266563679408052,31.83293636598357
0xdc956,25.0,0.0,0.0,0.245,125.44,0x5406a3,0x5406a3,G1,0.03266563679408052,31.83293636598357
0x55296f,25.0,0.0,0.0,0.245,122.696,0x24e5b,0x24e5b,G1,0.03266563679408052,31.83293636598357
0xefe392,25.0,0.0,0.0,0.245,207.76,0x68a16c,0x68a16c,G1,0.03266563679408052,31.832936365983567
0xeffccc,25.0,0.0,0.0,0.245,122.696,0x4421e1,0x55296f,G2,0.0317637490859422,31.83293636598357
0xe4de24,25.0,0.0,0.0,0.245,122.696,0x3e5bc,0xc22965,G2,0.0317637490859422,31.83293636598357
0xd8fd26,25.0,0.4,0.009756098000000001,0.245,122.696,0xa1c45a,0x55296f,G2,0.02591854508997739,56.77780475619132
0xa42167,25.0,0.0,0.02,0.245,70.658,0x44270,0xe67422,G2,0.030543979756604434,37.038398041529476
0x6f9432,25.0,0.0,0.0,0.245,196.98,0x1bcc46,0x375156,G2,0.0317637490859422,31.83293636598357
0xe13ecb,25.0,0.2,0.022222222000000003,0.245,122.696,0x4421e1,0x55296f,G2,0.028188159002031834,47.09204864368157
0x1da0e2,25.0,0.4,0.009756098000000001,0.245,98.0,0xdfd628,0x55296f,G2,0.02591854508997739,56.77780475619132
0x68b6a6,25.0,0.7966920547229462,0.0118,0.245,53.9,0xe67422,0x6aa536,G2,0.0,167.38723713553708
0x35fc4e,25.0,0.0,0.0178,0.08441946923214115,70.658,0xba3ce8,0xe67422,G2,0.014492729914130474,105.53837085603966
0x82091,25.0,0.0,0.0,0.245,122.696,0x55296f,0x375156,G2,0.0317637490859422,31.83293636598357
0x509b74,25.0,0.0,0.2,0.245,125.44,0x375156,0x55d22c,G2,0.009082826345322304,128.62556039139142
0x7e0c46,25.0,0.0,0.0,0.245,53.9,0x1bcc46,0x15453b,G2,0.0317637490859422,31.83293636598357
0x90c518,25.0,0.0,0.0,0.245,125.44,0x826cbf,0x3e5bc,G2,0.0317637490859422,31.83293636598357
0x8b1652,25.0,0.4,0.009756098000000001,0.245,51.94,0x826cbf,0x38e7f,G2,0.02591854508997739,56.77780475619132
0xfc14b6,25.0,0.0,0.016666667,0.245,70.658,0x55296f,0xe67422,G2,0.030774242694222412,36.055732820950645
0xe055b0,25.0,0.0,0.0,0.245,59.486000000000004,0xbedfef,0xba3ce8,G2,0.0317637490859422,31.83293636598357
