,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x84ac92,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.030472424048457413,92.2275644713318
0x879368,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.024826593328946118,112.7185334022422
0x721db2,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.04182595275177331,51.02108566001114
0x4e55fd,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.03742790140515843,66.98336614224195
0xe1ee0a,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.033906644579419984,79.76341000090873
0x712e34,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.03069460500182867,91.42118127659008
0x74b66b,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.01939669954549397,132.42578116479865
0xe1f0c7,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.018883958557971637,134.2867224800625
0x3ec5dc,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.019187264991934582,133.18590259656838
0xf9a769,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.0172771889100154,140.1183296555343
0xc106e8,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.019360833971741237,132.55595162047965
0x59c244,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.012941543930899475,155.85411256795788
0x7ec175,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.02588964152661949,108.86030798373888
0xe87891,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.041395158001476154,52.58461143371739
0xa7b48b,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.037557244700717585,66.51392779341492
0x16fcc4,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.036343981636988036,70.91734280513091
0xb89404,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.0416823862694042,51.54214562016524
0x6bb1f5,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.04241082224213662,48.89836127256985
0x3b1957,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.019409641163785248,132.37881087619155
0x8b978c,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.022128065278762862,122.51256676643801
