,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x2a1024,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.03057312138532711,56.57864969897111
0x1c831c,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.025143362046237495,69.22503330664688
0x364e6d,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.04146222623686723,31.21697370250441
0x615dc3,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.03725196535849644,41.02303891297365
0xe9aac9,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03385852176022349,48.92666535656602
0x83ab68,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.03078358708197958,56.0884567143645
0xc65124,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.019805449302631877,81.6574981737281
0x32f934,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.019293428816204997,82.85003859439226
0x4cfa5a,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.019547108112957113,82.25919736189842
0xc23e07,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.017626736938110045,86.73190950797871
0x11869,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.019676855631387925,81.95700406238927
0x87a76e,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.01305331275159893,97.38381377321258
0x313886,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.02626471424773325,66.61330611694703
0x12cf9a,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.041052069581563454,32.17226436610177
0x54fa5e,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.037391028207904284,40.69914939423802
0x1176ff,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03623574833045486,43.38989710367585
0xa61da,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.041325533790228026,31.53534234621691
0x7d51c1,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.042019131220789575,29.91989336802143
0xed5553,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.019779518837800093,81.71789249047568
0x707325,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.022497767660284638,75.38685363525889
0xa4ea78,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.014769139972369193,93.38750235621502
0x66056e,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.01617951058280435,90.10262605605374
0x98388d,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.020235393473532117,80.65612065853233
0x8edc86,25.0,0.06,0.02,0.245,183.65200000000002,0.0,0.0,G0,0.04017304155836596,34.219597385674675
0x44900d,25.0,0.25,0.1,0.245,160.72,0.0,0.0,G0,0.021992904288111497,76.56272451189277
0x309ecc,25.0,0.0,0.0,0.245,122.696,0.0,0.0,G0,0.043194877823024856,27.181476869476995
0x922d45,25.0,0.2,0.293685756,0.245,171.5,0.0,0.0,G0,0.00676862255870745,112.0214059888612
0xca1a36,25.0,0.0,0.11428571400000001,0.245,196.98,0.0,0.0,G0,0.020107437738724667,80.9541407375306
0xa62e3,25.0,0.0,0.2,0.245,147.0,0.0,0.0,G0,0.0,127.78611893971814
0x7d7bf9,25.0,0.0,0.038461537999999997,0.245,172.48,0.0,0.0,G0,0.038233149077117404,38.73777635889385
0xc1b828,25.0,0.0,0.2,0.245,193.06,0.0,0.0,G0,0.0,127.78611893971814
0x4f889f,25.0,0.0,0.0,0.245,125.44,0.0,0.0,G0,0.043194877823024856,27.181476869476995
0xa04ce8,25.0,0.5,0.0,0.245,117.6,0.0,0.0,G0,0.03183250666286897,53.64543142261118
0x1271d5,25.0,0.0,0.0,0.245,116.62,0.0,0.0,G0,0.043194877823024856,27.181476869476995
0xe08a76,25.0,0.0,0.0093,0.245,182.96599999999998,0.0,0.0,G0,0.04228759549651863,29.29461662851945
0xd45d31,25.0,0.0,0.0,0.245,207.76,0.0,0.0,G0,0.043194877823024856,27.181476869476995
0x778652,25.0,0.4,0.009756098000000001,0.245,51.94,0xe9aac9,0x615dc3,G1,0.028943721560054887,48.92666535656602
0xee4055,25.0,0.0,0.0,0.245,207.76,0x4f889f,0xd45d31,G1,0.030552843824907167,27.181476869476995
0xf58122,25.0,0.0,0.9402468545476861,0.245,59.486000000000004,0x922d45,0xa61da,G1,0.0,440.06330835055985
0xe56ea6,25.0,0.125,0.103092784,0.245,151.9,0x8edc86,0x707325,G1,0.026985694012181094,75.38685363525889
0x60074,25.0,0.34692077144310085,0.009756098000000001,0.245,51.94,0x54fa5e,0xe9aac9,G1,0.029236814394889836,44.96589800102485
0xc7e8e3,25.0,0.35,0.061538462,0.245,277.1432911744007,0xa4ea78,0x1c831c,G1,0.02744166257224559,69.22503330664688
0xff39f4,25.0,0.2,0.022222222000000003,0.245,53.9,0x615dc3,0x8edc86,G1,0.02952858203578775,41.02303891297365
0xb25cbe,25.0,0.44,0.113636364,0.245,182.96599999999998,0xc23e07,0xe08a76,G1,0.026146171190310607,86.73190950797871
0x9e03c3,25.0,0.5,0.0,0.245,117.6,0x12cf9a,0xa04ce8,G1,0.028594537576480263,53.64543142261118
0xf48307,25.0,0.0,0.0,0.245,122.696,0xa61da,0x309ecc,G1,0.030552843824907167,27.181476869476995
0x35116b,25.0,0.0,0.038461537999999997,0.245,172.48,0x7d7bf9,0x313886,G1,0.029697689186042455,38.73777635889385
0x676117,25.0,0.3,0.16477272699999998,0.245,189.14,0x66056e,0x313886,G1,0.025896741526859588,90.10262605605374
0x5d0cfd,25.0,0.31,0.115942029,0.245,89.18,0x11869,0x7d7bf9,G1,0.02649950943199218,81.95700406238927
0x2ecb18,25.0,0.0,0.0,0.245,207.76,0x54fa5e,0xd45d31,G1,0.030552843824907167,27.181476869476995
0x33e641,25.0,0.0,0.0093,0.245,183.65200000000002,0xe08a76,0x8edc86,G1,0.03039647358985316,29.29461662851945
0xcd44db,25.0,0.07,0.036363636,0.245,183.65200000000002,0x54fa5e,0x8edc86,G1,0.029552549537208088,40.69914939423802
0x84a778,25.0,0.0,0.0,0.245,207.76,0xa04ce8,0xd45d31,G1,0.030552843824907167,27.181476869476995
0xf5abce,25.0,0.0,0.016666667,0.245,27.44,0x309ecc,0x364e6d,G1,0.03025422108325465,31.21697370250441
