Irradiance,Enhanced
0,0
0.31,0
0.63,0
0.95,0
0.95,0
1.26,0
1.58,0
1.9,0
2.22,0
2.53,0
2.85,0
3.17,0
3.49,0
3.8,0
4.12,0
4.44,0
4.76,0
5.07,0
5.39,0
5.71,0
6.03,0.061518059
6.66,0.062610188
6.98,0.070457914
7.3,0.074436383
7.93,0.075434901
8.25,0.105530853
8.88,0.108229971
9.2,0.130478196
9.84,0.117637881
10.15,0.123956627
10.79,0.155909197
11.42,0.152336376
11.74,0.160464935
12.38,0.184959825
12.69,0.195179031
13.33,0.199843982
13.65,0.199921991
14.28,0.220734847
14.6,0.228270536
15.23,0.226601139
15.87,0.241890943
16.19,0.253124269
16.82,0.259895468
17.46,0.255854591
17.77,0.272361339
18.41,0.271581247
19.04,0.274982448
19.68,0.282112489
20,0.294765582
20.63,0.288275216
21.26,0.294656369
21.58,0.294625166
22.22,0.316982604
22.85,0.325204774
23.17,0.324097043
23.8,0.335876433
24.44,0.332896482
25.07,0.345159529
25.71,0.353865356
26.34,0.368655901
26.98,0.374147749
27.61,0.361245027
27.93,0.376238396
28.57,0.38254154
29.2,0.37821983
29.52,0.396489586
30.15,0.392994773
30.47,0.411514159
31.11,0.427131602
31.42,0.43373118
32.06,0.447850846
32.69,0.467680786
33.33,0.476464623
33.96,0.499617755
34.6,0.521787971
34.92,0.557157345
35.87,0.54957485
36.5,0.577938997
37.77,0.597238474
39.04,0.632108589
40.31,0.632607848
41.58,0.649894688
42.85,0.6635619
44.44,0.674888837
45.71,0.689694984
46.98,0.698946876
48.57,0.713768625
50.47,0.71559404
51.74,0.731398705
53.65,0.749855683
55.23,0.757765816
57.46,0.767922615
59.36,0.779483579
61.58,0.79686403
63.8,0.797784539
66.03,0.800218426
68.25,0.818394571
70.79,0.811264529
73.33,0.831749746
76.19,0.826819565
78.73,0.845307746
81.58,0.842437008
84.44,0.856369452
86.66,0.872673375
90.47,0.865309306
92.69,0.873032218
96.19,0.880131055
99.04,0.882861378
101.9,0.888602855
105.07,0.889538966
108.25,0.898119978
111.11,0.89423512
114.28,0.903783446
117.77,0.906700991
120.95,0.917513067
124.44,0.911459552
127.93,0.930883844
132.06,0.934285046
134.92,0.933458148
139.04,0.93263125
142.85,0.940042125
145.71,0.938372728
149.2,0.942335596
151.42,0.953100866
155.23,0.948763554
158.73,0.95211795
163.17,0.943458928
166.98,0.94678212
170.15,0.953615727
174.6,0.954614244
177.77,0.95957563
181.26,0.961557064
185.71,0.959388408
188.88,0.964552617
192.69,0.967532569
197.14,0.968936735
200.95,0.964927061
202.22,0.968952336
206.66,0.968515485
210.47,0.97211951
214.28,0.98414853
219.04,0.982182698
220.95,0.984616585
224.76,0.986036352
228.88,0.988407832
231.74,0.988314221
235.87,0.992667135
239.68,0.993338014
243.8,0.989968016
249.52,0.993821671
252.69,0.997784539
255.55,0.999531945
259.04,1.002979952
260.95,1.004290506
264.12,1.003713238
268.57,1.005694672
274.92,1.008768235
278.73,1.008503003
281.9,1.013870037
286.66,1.010796474
291.42,1.006599579
293.01,1.013074343
297.14,1.014712536
300.63,1.012325454
306.98,1.019393088
309.52,1.022248225
313.65,1.023043919
317.77,1.022872299
322.22,1.017817302
324.76,1.02491614
329.52,1.02042281
333.96,1.02017318
340.63,1.026725954
344.44,1.02415165
349.52,1.028161323
353.65,1.027272018
355.87,1.024182854
361.26,1.028832202
364.12,1.022185818
369.84,1.032186598
371.42,1.033060301
376.19,1.026055074
381.26,1.034402059
389.52,1.028863406
392.06,1.035775021
397.77,1.034402059
404.76,1.037818863
