Irradiance,Enhanced
0,0
0.31,0
0.95,0
1.58,0.000208288
2.53,0.000288373
4.12,0.011348399
6.03,0.014957251
7.61,0.028618072
11.74,0.038130847
15.55,0.048215994
19.36,0.058848375
22.85,0.072525479
26.66,0.084880005
30.15,0.103356439
37.14,0.143583872
47.61,0.150768798
104.44,0.185968127
122.53,0.212367067
141.26,0.233354456
161.58,0.264150125
180,0.289747032
197.46,0.312028042
219.04,0.345994364
236.19,0.368722976
258.73,0.39706274
279.68,0.426989996
303.49,0.45787393
322.22,0.480549843
344.76,0.509333336
361.26,0.531537003
380.63,0.550543862
399.36,0.572665897
422.53,0.598010341
442.53,0.619818387
462.85,0.64273833
480.95,0.661226618
500.63,0.682642862
519.36,0.691865992
534.92,0.710785533
553.96,0.727758159
573.01,0.754372421
595.87,0.772326607
613.01,0.787226599
637.14,0.811048316
648.88,0.819882224
670.79,0.839882783
680.63,0.844703193
697.77,0.85645563
712.06,0.867928487
718.73,0.868148687
733.33,0.871057057
736.82,0.874542357
754.92,0.887711512
764.12,0.892033903
788.25,0.89905281
806.34,0.917268875
820.95,0.927527313
831.74,0.936765418
844.76,0.94583506
853.96,0.94806276
859.36,0.947693223
864.76,0.951720347
876.82,0.950591669
877.46,0.958828956
896.19,0.967909173
904.44,0.973351678
909.84,0.97866812
913.33,0.959271131
914.92,0.986559312
920.95,0.985092669
925.07,0.986225534
931.42,0.997039233
931.74,0.991569089
935.23,0.990271497
936.5,0.984882352
938.73,0.988819227
939.68,0.992265156
949.2,1
