,Job.PanTyp,Job.Tech,Job.Latitude,Job.Longitude,Panel.EM,Panel.Irradiance,Panel.PVGen,Finance.TotalCostsSum,Finance.PaneReplacementCostSum,Finance.InverterReplacementCostSum,Finance.OAMSum,Finance.LandRentalSum,"Panel Replacment, %","Inverter Replacment, %","Operational And Maintenance, %","Land Rent, %",Finance.LCOE,Finance.LCCA
Si,4893,DSSC,53.13359,-1.746826,4.78903083,270.0580964,2700.160666," $2,252,438.06 ", $-   , $70.90 ," $1,366,315.08 "," $886,052.08 ",0%,0%,61%,39%,0.039736526,292.1231996
PVK Average,4595,DSSC,53.13359,-1.746826,4.78903083,270.0580964,2317.450721," $4,090,093.57 "," $1,778,085.50 ", $66.43 ," $1,366,315.08 "," $945,626.56 ",43%,0%,33%,23%,0.051797059,373.1361129
OPV Champion,4594,DSSC,53.13359,-1.746826,4.78903083,270.0580964,2448.53585," $6,082,787.92 "," $2,258,605.16 ", $25.56 ," $1,366,315.08 "," $2,457,842.12 ",37%,0%,22%,40%,0.094972593,684.2303094
Si,4893,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,1140.296456," $2,252,438.06 ", $-   , $70.90 ," $1,366,315.08 "," $886,052.08 ",0%,0%,61%,39%,0.094049828,691.8274286
Si,4893,NoEnhancment,53.13359,-1.746826,1,270.0580964,1048.575754," $2,252,438.06 ", $-   , $70.90 ," $1,366,315.08 "," $886,052.08 ",0%,0%,61%,39%,0.102242534,752.5298662
PVK Champion,4107,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1795.350434," $9,729,949.00 "," $7,283,024.46 ", $58.14 ," $1,366,315.08 "," $1,080,551.32 ",75%,0%,14%,11%,0.10938817,805.3193151
PVK Average,4595,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,978.7677935," $4,090,093.57 "," $1,778,085.50 ", $66.43 ," $1,366,315.08 "," $945,626.56 ",43%,0%,33%,23%,0.122587247,883.6526924
Newcastle,4892,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $7,219,470.98 "," $4,081,016.28 ", $35.45 ," $1,366,315.08 "," $1,772,104.17 ",57%,0%,19%,25%,0.129308118,931.5285969
PVK Average,4595,NoEnhancment,53.13359,-1.746826,1,270.0580964,900.1056828," $4,090,093.57 "," $1,778,085.50 ", $66.43 ," $1,366,315.08 "," $945,626.56 ",43%,0%,33%,23%,0.13325845,961.1501019
OPV Average,4110,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1639.684395," $9,496,444.92 "," $4,965,638.26 ", $19.85 ," $1,366,315.08 "," $3,164,471.73 ",52%,0%,14%,33%,0.195082421,1430.827433
OPV Champion,4594,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,1034.174665," $6,082,787.92 "," $2,258,605.16 ", $25.56 ," $1,366,315.08 "," $2,457,842.12 ",37%,0%,22%,40%,0.224755775,1620.228285
OPV Champion,4594,NoEnhancment,53.13359,-1.746826,1,270.0580964,951.0785476," $6,082,787.92 "," $2,258,605.16 ", $25.56 ," $1,366,315.08 "," $2,457,842.12 ",37%,0%,22%,40%,0.244313334,1762.244153
PVK Champion,4107,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,758.4729157," $9,729,949.00 "," $7,283,024.46 ", $58.14 ," $1,366,315.08 "," $1,080,551.32 ",75%,0%,14%,11%,0.258847365,1907.437192
PVK Champion,4107,NoEnhancment,53.13359,-1.746826,1,270.0580964,697.7499729," $9,729,949.00 "," $7,283,024.46 ", $58.14 ," $1,366,315.08 "," $1,080,551.32 ",75%,0%,14%,11%,0.281305156,2074.541334
Newcastle,4892,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,668.4313175," $7,219,470.98 "," $4,081,016.28 ", $35.45 ," $1,366,315.08 "," $1,772,104.17 ",57%,0%,19%,25%,0.305973951,2205.94209
Newcastle,4892,NoEnhancment,53.13359,-1.746826,1,270.0580964,614.859419," $7,219,470.98 "," $4,081,016.28 ", $35.45 ," $1,366,315.08 "," $1,772,104.17 ",57%,0%,19%,25%,0.332548555,2399.270068
OPV Average,4110,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,692.3008678," $9,496,444.92 "," $4,965,638.26 ", $19.85 ," $1,366,315.08 "," $3,164,471.73 ",52%,0%,14%,33%,0.46188907,3390.536579
OPV Average,4110,NoEnhancment,53.13359,-1.746826,1,270.0580964,636.5746661," $9,496,444.92 "," $4,965,638.26 ", $19.85 ," $1,366,315.08 "," $3,164,471.73 ",52%,0%,14%,33%,0.50219231,3689.054976
Bangor,4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $41,666,640.94 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $22,836,393.91 ",42%,0%,3%,55%,1.170484891,8432.108994
Bangor,4881,Newcastle,53.13359,-1.746826,1.517237874,270.0580964,668.4313175," $41,666,640.94 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $22,836,393.91 ",42%,0%,3%,55%,2.769647345,19967.97973
Bangor,4881,NoEnhancment,53.13359,-1.746826,1,270.0580964,614.859419," $41,666,640.94 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $22,836,393.91 ",42%,0%,3%,55%,3.010198157,21717.96634
