Job.PanTyp,Job.Tech,Job.Latitude,Job.Longitude,Panel.EM,Panel.Irradiance,Panel.PVGen,Finance.TotalCostsSum,Finance.PaneReplacementCostSum,Finance.InverterReplacementCostSum,Finance.OAMSum,Finance.LandRentalSum,Job.RenCos,Rent Cost (£/Acer) ,Rent Cost ($/m2),Panels Costs (%),Inverter Costs (%),OAM Costs (%),Land Rental Cost (%) ,LCOE ($/kWh),LCCA ($/ton CO2),Finance.LCCA,Finance.LCOE
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $22,150,658.71 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $3,320,411.67 ",0.0727,400.00,0.07,79%,0%,6%,15%,1.0344,7452.0335,7452.033523,1.034437844
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $22,566,281.08 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $3,736,034.04 ",0.0818,450.00,0.08,77%,0%,6%,17%,1.0373,7472.9057,7472.905713,1.037335171
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $22,977,336.17 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $4,147,089.13 ",0.0908,500.00,0.09,76%,0%,6%,18%,1.0402,7493.5485,7493.548539,1.04020066
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $23,392,958.54 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $4,562,711.50 ",0.0999,550.00,0.10,75%,0%,6%,20%,1.0431,7514.4207,7514.420729,1.043097988
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $23,808,580.91 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $4,978,333.87 ",0.109,600.00,0.11,73%,0%,6%,21%,1.0460,7535.2929,7535.292919,1.045995316
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $24,224,203.28 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $5,393,956.24 ",0.1181,650.00,0.12,72%,0%,6%,22%,1.0489,7556.1651,7556.165109,1.048892643
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $24,639,825.65 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $5,809,578.61 ",0.1272,700.00,0.13,71%,0%,6%,24%,1.0518,7577.0373,7577.037299,1.051789971
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $25,055,448.02 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $6,225,200.98 ",0.1363,750.00,0.14,70%,0%,5%,25%,1.0547,7597.9095,7597.909489,1.054687299
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $25,471,070.39 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $6,640,823.35 ",0.1454,800.00,0.15,69%,0%,5%,26%,1.0576,7618.7817,7618.781679,1.057584627
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $25,882,125.48 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $7,051,878.44 ",0.1544,850.00,0.15,67%,0%,5%,27%,1.0605,7639.4245,7639.424504,1.060450115
4881,DSSC,53.13359,-1.746826,4.78903083,270.0580964,1582.200421," $26,297,747.85 "," $17,463,929.21 ", $2.75 ," $1,366,315.08 "," $7,467,500.81 ",0.1635,900.00,0.16,66%,0%,5%,28%,1.0633,7660.2967,7660.296694,1.063347443
