Job.Latitude,Job.Longitude,Finance.LCOE,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-20,30,0.311184925884744,4110,1.0,472.950258369851,1043.6947762007946
58,25,1.4784156430451734,4110,1.0,280.9867247403494,593.4417047680838
17,29,0.2483639716796677,4110,1.0,588.1244409403338,1299.5757740222086
19,21,0.2474032566266324,4110,1.0,614.3142781362006,1344.871662792404
17,22,0.2504085331240487,4110,1.0,606.9379141462252,1326.607521887671
21,22,0.2499531697376567,4110,1.0,603.672714158715,1318.2483345021406
6,26,0.2986390548775381,4110,1.0,503.5006882643462,1112.5974878151544
-5,25,0.3544659538274636,4110,1.0,424.95548875641856,935.5086457721052
4,20,0.3239479080040697,4110,1.0,444.89557935231966,997.094944475992
53,30,0.5929788772952944,4110,1.0,326.6915333095408,653.4610501211441
-29,27,0.331954481589647,4110,1.0,459.6145546347815,992.394563438607
-7,29,0.3656411251163623,4110,1.0,424.5808673839386,904.560012288488
15,21,0.2547784694048894,4110,1.0,588.659734100617,1300.7639012594789
26,22,0.2618505175549632,4110,1.0,575.7599970686521,1245.7917619539342
12,23,0.267036642504842,4110,1.0,549.2414837426901,1226.4370912964976
-3,23,0.3703397648800876,4110,1.0,397.1897223367698,868.8190998300562
19,29,0.2476716417666181,4110,1.0,587.9658515656536,1295.7870765874488
54,25,0.6157061458337683,4110,1.0,298.5905745895789,622.0909496593755
39,30,0.3617087795723046,4110,1.0,414.8964503708937,918.2298022707791
-1,26,0.3840376041113204,4110,1.0,397.827206079677,873.0177679352096
-22,21,0.2885836757278431,4110,1.0,513.7176658424586,1133.360038526186
-14,28,0.3081507612391351,4110,1.0,489.2332681462295,1062.5026232920852
-28,24,0.3160293086988595,4110,1.0,477.1859202208905,1034.0702689497664
25,22,0.2620494762912092,4110,1.0,574.5404784424446,1247.5783886056715
7,25,0.2915800582943165,4110,1.0,516.6582885111372,1134.9367463526291
12,20,0.269386878689799,4110,1.0,556.5461408052743,1222.39740043112
29,21,0.2697115689458302,4110,1.0,562.8288227405249,1206.3767507804364
-18,28,0.304081242131924,4110,1.0,486.1912608466537,1070.5105365551112
-6,30,0.3651664657702331,4110,1.0,420.5718917079577,909.2255570141238
21,22,0.2499531697376567,4110,1.0,603.672714158715,1318.2483345021406
31,26,0.2768125746715122,4110,1.0,552.7952576952731,1194.8926540314094
40,24,0.3595837373273788,4110,1.0,412.6628166057319,923.6927578485474
37,29,0.3347386348184992,4110,1.0,444.0383470427877,994.683543177838
-12,23,0.3280232707336689,4110,1.0,453.5157532988432,985.0168949177768
26,28,0.2593334590383552,4110,1.0,581.4505836894795,1257.6062398241995
11,27,0.2688931146148738,4110,1.0,545.4289310203843,1213.3077771130395
0,30,0.3343243612657945,4110,1.0,458.6643729634789,1010.478496377083
-6,30,0.3651664657702331,4110,1.0,420.5718917079577,909.2255570141238
-10,27,0.3168886929736051,4110,1.0,478.07827683381686,1039.3561210037876
48,27,0.4729934839935928,4110,1.0,338.57439679620296,735.9980036044525
28,26,0.2650150684567824,4110,1.0,573.5079278186636,1240.709124463104
-24,26,0.3021894485999533,4110,1.0,487.55943015966886,1087.1232767997542
-13,26,0.3151367589546905,4110,1.0,477.7649730843983,1039.1796594872858
-30,25,0.3226344021583339,4110,1.0,469.00124820946337,1013.0962297185464
31,26,0.2768125746715122,4110,1.0,552.7952576952731,1194.8926540314094
-20,26,0.2923973442162754,4110,1.0,502.7159386878493,1118.58615832277
52,23,0.5645679619490956,4110,1.0,300.65489947904337,656.5554227801923
42,24,0.4535271388026729,4110,1.0,318.0121902607959,738.4098366838616
-2,28,0.3861379483349055,4110,1.0,389.75778999219074,867.0044755081365
27,25,0.2619892977966474,4110,1.0,575.4199956626225,1247.2116974335474
