Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-21,29,0.06464564176783816,NoEnhancment,4872,1.0,502.2725798657717,1722.7959774156257
26,23,0.053287669940556164,NoEnhancment,4872,1.0,576.4515463929689,2109.259359481533
-22,26,0.05989162360970221,NoEnhancment,4872,1.0,539.4168738425243,1878.927713356922
44,27,0.0851183300992924,NoEnhancment,4872,1.0,367.5629953976114,1334.5792328942387
26,29,0.05296242090702751,NoEnhancment,4872,1.0,574.9369857101195,2100.3435799576314
11,25,0.05449136841791512,NoEnhancment,4872,1.0,566.770887699906,2065.9329590190264
-24,29,0.06491150009382672,NoEnhancment,4872,1.0,492.1534820420282,1710.855826158131
-22,21,0.05909843639207421,NoEnhancment,4872,1.0,537.9541987277654,1901.6367466444487
28,25,0.05389988428894522,NoEnhancment,4872,1.0,569.6172788636496,2080.1800026271562
24,27,0.05180406760390758,NoEnhancment,4872,1.0,583.9837905965562,2129.214769553555
-24,21,0.058751528207312526,NoEnhancment,4872,1.0,535.961121457966,1910.350621329122
-6,25,0.07104318525473917,NoEnhancment,4872,1.0,442.61341639576807,1600.599033076839
-23,28,0.06255060350764026,NoEnhancment,4872,1.0,513.3489453970855,1784.955291371242
58,29,0.12546824427416942,NoEnhancment,4872,1.0,261.6458897363522,958.3308034844524
-22,30,0.06331318841433173,NoEnhancment,4872,1.0,508.89686408955737,1757.8717245017926
-29,22,0.06218557319381835,NoEnhancment,4872,1.0,501.9258498885892,1806.0041903878928
-18,25,0.061405274832540185,NoEnhancment,4872,1.0,533.109158389656,1828.213026652846
4,25,0.0660661136399316,NoEnhancment,4872,1.0,473.04019492516363,1711.4531800766947
8,29,0.05951027868937773,NoEnhancment,4872,1.0,525.3092667848698,1903.171690683141
-16,28,0.06359836690630072,NoEnhancment,4872,1.0,497.1527163058147,1760.966139174212
29,26,0.05453479992249627,NoEnhancment,4872,1.0,565.7534204834228,2073.389672959939
56,28,0.1921026704853976,NoEnhancment,4872,1.0,281.5414604004516,1008.70051103036
-13,23,0.06552959012158895,NoEnhancment,4872,1.0,477.9639460534785,1703.6108169155782
45,30,0.0838726767111322,NoEnhancment,4872,1.0,379.38094727550896,1381.4037445365498
40,28,0.07940950144996017,NoEnhancment,4872,1.0,378.598754056112,1420.191947199908
16,28,0.05067294724692572,NoEnhancment,4872,1.0,598.5814548508544,2188.582175561541
3,29,0.06648268352093244,NoEnhancment,4872,1.0,493.02112882691716,1747.1501731478365
46,22,0.09043824762214232,NoEnhancment,4872,1.0,362.28575767999047,1295.7449357866228
40,28,0.07940950144996017,NoEnhancment,4872,1.0,378.598754056112,1420.191947199908
19,28,0.05039028053163098,NoEnhancment,4872,1.0,594.4198160733862,2186.7382085524687
16,22,0.05088906059451119,NoEnhancment,4872,1.0,606.5897346793349,2231.6334038951322
3,30,0.06726616988239065,NoEnhancment,4872,1.0,477.4397318475917,1706.5147826352195
-12,21,0.06505349685291327,NoEnhancment,4872,1.0,472.0700906759907,1709.2756227965185
46,22,0.09043824762214232,NoEnhancment,4872,1.0,362.28575767999047,1295.7449357866228
-29,26,0.06622024694574441,NoEnhancment,4872,1.0,489.09845902026825,1707.7447562692475
44,29,0.08303236224896547,NoEnhancment,4872,1.0,381.81516211904375,1381.581928371938
-31,22,0.0650043320522928,NoEnhancment,4872,1.0,479.7345246573738,1727.5486606341724
29,25,0.05448851193140872,NoEnhancment,4872,1.0,565.9046492294975,2072.4962113306374
4,29,0.06371868955236562,NoEnhancment,4872,1.0,513.9919245465536,1817.9107349029425
1,20,0.07175048020046414,NoEnhancment,4872,1.0,427.08495733515855,1533.0015933190466
-15,20,0.06382070215871903,NoEnhancment,4872,1.0,506.13101651332863,1762.9294169164614
15,25,0.05074961146169929,NoEnhancment,4872,1.0,599.3421271245634,2196.801606509064
-12,21,0.06505349685291327,NoEnhancment,4872,1.0,472.0700906759907,1709.2756227965185
-14,25,0.0635779952817416,NoEnhancment,4872,1.0,496.688183770463,1767.5464264612258
27,27,0.05332236337359438,NoEnhancment,4872,1.0,576.9024866709823,2106.628059466511
27,25,0.053371874753218536,NoEnhancment,4872,1.0,571.1572522707295,2094.993067346583
-26,28,0.06679633549334618,NoEnhancment,4872,1.0,485.84032887999535,1682.8853476274512
37,27,0.06762386514780666,NoEnhancment,4872,1.0,454.8407395445135,1676.2448761238024
59,24,0.4246712997604956,NoEnhancment,4872,1.0,274.96740842016493,1000.9437680290787
12,28,0.0541094090124682,NoEnhancment,4872,1.0,569.7700628050574,2080.8909138514223
50,25,0.11125971413851583,NoEnhancment,4872,1.0,320.92762731288053,1105.4762139924921
-9,27,0.07243388493593063,NoEnhancment,4872,1.0,431.4962752119523,1561.5429130624207
10,29,0.057802706139806474,NoEnhancment,4872,1.0,529.8792843252111,1942.5408035361959
0,27,0.07640767518397429,NoEnhancment,4872,1.0,421.00762264827097,1496.8937212938727
23,22,0.05224321639396249,NoEnhancment,4872,1.0,589.8113494318183,2153.4547386083195
-11,27,0.06469832884627269,NoEnhancment,4872,1.0,481.97558575057593,1743.1663898575641
1,30,0.06803361433506762,NoEnhancment,4872,1.0,480.8766977836667,1695.4471067560253
10,29,0.057802706139806474,NoEnhancment,4872,1.0,529.8792843252111,1942.5408035361959
-4,30,0.07092700757906037,NoEnhancment,4872,1.0,454.7041828530345,1614.99757007047
-29,26,0.06622024694574441,NoEnhancment,4872,1.0,489.09845902026825,1707.7447562692475
29,29,0.054216547267678564,NoEnhancment,4872,1.0,564.0470535387523,2076.0015793958005
-12,27,0.06529418005340988,NoEnhancment,4872,1.0,476.3338461810675,1724.0118569294852
46,27,0.0911815094381188,NoEnhancment,4872,1.0,363.37978328319474,1271.7667406530538
-30,20,0.06177474179562601,NoEnhancment,4872,1.0,502.8937854715877,1817.319645130828
53,26,0.11400247280230685,NoEnhancment,4872,1.0,307.8763721954413,1062.820991726854
6,29,0.06077707249913133,NoEnhancment,4872,1.0,529.8231362660944,1878.9189668745887
10,23,0.05657189395310485,NoEnhancment,4872,1.0,549.2211642156864,1989.9927837767789
29,30,0.0542572015387793,NoEnhancment,4872,1.0,559.3716027776143,2068.2614822949345
6,27,0.060780034652877374,NoEnhancment,4872,1.0,529.8923862027951,1894.589783737065
-32,27,0.0782954288863681,NoEnhancment,4872,1.0,405.2600908928678,1455.8534913509784
-8,25,0.07026883413456958,NoEnhancment,4872,1.0,442.8893832106038,1600.5986403289508
45,21,0.08777512256343578,NoEnhancment,4872,1.0,375.0143196613807,1328.6610152158148
-26,22,0.060332421277684775,NoEnhancment,4872,1.0,516.988250616559,1860.1058531878048
58,29,0.12546824427416942,NoEnhancment,4872,1.0,261.6458897363522,958.3308034844524
26,28,0.052842002472599306,NoEnhancment,4872,1.0,579.4940303331966,2113.1966008391314
52,29,0.11003144175439844,NoEnhancment,4872,1.0,320.51422048466037,1107.6658103134816
52,26,0.10799506826920363,NoEnhancment,4872,1.0,323.70397879311366,1110.61988611259
25,25,0.05250586665132187,NoEnhancment,4872,1.0,578.8230443078725,2122.6849086184866
1,25,0.07352006816199369,NoEnhancment,4872,1.0,426.6596782132026,1534.6288335641425
51,20,0.11692203965899245,NoEnhancment,4872,1.0,312.1613525950335,1077.8242891549266
-8,25,0.07026883413456958,NoEnhancment,4872,1.0,442.8893832106038,1600.5986403289508
-14,26,0.06385122779295414,NoEnhancment,4872,1.0,493.0839411107845,1756.9631034829736
30,25,0.05527629660557088,NoEnhancment,4872,1.0,555.8357772514655,2051.3210035280317
45,26,0.08596840890583704,NoEnhancment,4872,1.0,374.8936943907157,1332.8959888121271
