Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Panel.EM,Panel.Irradiance,Panel.PVGen
-7,29,0.3658721219416961,NoEnhancment,1.0,414.3398239600071,905.3777254770964
-15,30,0.3165816644409948,NoEnhancment,1.0,489.5600595049098,1033.9245739243688
12,22,0.2669377993367247,NoEnhancment,1.0,571.4653193692633,1233.9518413933577
-6,20,0.3445679394997307,NoEnhancment,1.0,427.50906824417007,922.8710285370113
-22,26,0.2928101390228963,NoEnhancment,1.0,539.4168738425243,1120.1892058783349
46,22,0.4360137224594369,NoEnhancment,1.0,362.28575767999047,777.5835032779495
18,24,0.2439924145089933,NoEnhancment,1.0,613.2405595824538,1337.0850157563361
-11,28,0.31609390346740257,NoEnhancment,1.0,484.9733289605861,1040.539637995652
16,27,0.2478765445575373,NoEnhancment,1.0,597.2027823212111,1303.9502578801848
2,30,0.3669687654743936,NoEnhancment,1.0,423.2112310187408,914.159206831238
-20,29,0.3089455573404067,NoEnhancment,1.0,510.6628825556269,1051.5655157327012
-21,27,0.2984701272980703,NoEnhancment,1.0,524.0676433046431,1091.1522765824084
-10,20,0.3357661560651715,NoEnhancment,1.0,450.3976224773833,965.1388660938974
9,28,0.2816687903480373,NoEnhancment,1.0,541.5921143129316,1181.653350651126
9,28,0.2816687903480373,NoEnhancment,1.0,541.5921143129316,1181.653350651126
51,20,0.5421353462776329,NoEnhancment,1.0,312.1613525950335,649.3758478656353
50,27,0.5078505219785739,NoEnhancment,1.0,330.9362561641055,687.6384478043616
49,21,0.5369389271822882,NoEnhancment,1.0,316.3128394684229,675.1224020554447
17,30,0.2483509948011517,NoEnhancment,1.0,598.6412066497345,1294.6176939705094
6,23,0.3039964256810069,NoEnhancment,1.0,506.172828488372,1079.0247102407018
52,25,0.5403601654893382,NoEnhancment,1.0,322.53207855078324,661.1806374049165
-10,20,0.3357661560651715,NoEnhancment,1.0,450.3976224773833,965.1388660938974
-28,26,0.3174696804902527,NoEnhancment,1.0,501.1155414518518,1040.671612825593
-21,23,0.2903508923622236,NoEnhancment,1.0,546.2980491385946,1134.19501169187
-29,23,0.31293497358835515,NoEnhancment,1.0,486.8294852751378,1045.7617288357756
-19,24,0.2997117751492867,NoEnhancment,1.0,531.8957508103966,1093.9379782370977
9,20,0.2849198992359617,NoEnhancment,1.0,532.5984704093569,1154.91776590864
-25,20,0.2852661658670845,NoEnhancment,1.0,532.0066798776902,1147.9054312655694
-16,28,0.3107252282143569,NoEnhancment,1.0,497.1527163058147,1050.7401153297294
11,30,0.27972364659778404,NoEnhancment,1.0,531.6423697420405,1161.55565646043
54,24,0.6247264918110992,NoEnhancment,1.0,288.4464238284504,602.5760566718867
44,25,0.41149081576839097,NoEnhancment,1.0,381.7005825356745,813.2118319821498
-20,26,0.2926767906196284,NoEnhancment,1.0,540.1042159110954,1117.888514569916
23,23,0.25580116056928875,NoEnhancment,1.0,585.9532569602491,1277.2611610644515
-9,25,0.33599066375173714,NoEnhancment,1.0,452.3837095919448,975.2094354481495
0,27,0.3722352303347965,NoEnhancment,1.0,421.00762264827097,895.6990176981543
40,29,0.37554298171305583,NoEnhancment,1.0,404.8927939056549,879.7832183068649
-9,25,0.33599066375173714,NoEnhancment,1.0,452.3837095919448,975.2094354481495
56,22,0.6480672802342613,NoEnhancment,1.0,285.85465697164744,612.0867157136556
-2,25,0.37607796352642464,NoEnhancment,1.0,398.3676001175434,871.0590975813586
38,28,0.3406101402767669,NoEnhancment,1.0,439.93102676942976,969.57694259324
-20,24,0.29490228130199825,NoEnhancment,1.0,532.9360301080346,1113.6049295659816
-10,20,0.3357661560651715,NoEnhancment,1.0,450.3976224773833,965.1388660938974
-21,28,0.30461598583835897,NoEnhancment,1.0,519.1517978878582,1065.3678419919704
30,20,0.2760126674225861,NoEnhancment,1.0,541.1990330652575,1176.5735497507028
45,25,0.4208383659904836,NoEnhancment,1.0,371.16055751014886,800.323751693114
-7,26,0.3501159219328967,NoEnhancment,1.0,436.2389195593928,946.7503384478276
5,20,0.31316186377361843,NoEnhancment,1.0,484.6807833141542,1034.5697252332186
-23,28,0.3055772159559237,NoEnhancment,1.0,513.3489453970855,1064.8465926548956
-32,26,0.3525225451687517,NoEnhancment,1.0,436.72488286692635,935.7135793661284
24,27,0.25359687151738536,NoEnhancment,1.0,583.9837905965562,1267.604022562502
32,23,0.2834266966730661,NoEnhancment,1.0,530.6374589005082,1155.3119336343934
22,22,0.2524921097382101,NoEnhancment,1.0,597.6783986502486,1300.9095066000525
12,28,0.2650250626843865,NoEnhancment,1.0,569.7700628050574,1239.3136859514661
23,30,0.256150515479646,NoEnhancment,1.0,580.2318724421385,1261.2722958561753
29,26,0.2661456141618343,NoEnhancment,1.0,565.7534204834228,1235.079221251345
-16,25,0.3079249242376705,NoEnhancment,1.0,512.5220495703513,1056.383661212741
27,20,0.2652821811509774,NoEnhancment,1.0,562.0239123217208,1225.482234496207
16,26,0.2466575647352561,NoEnhancment,1.0,598.6107941261828,1311.1489459970358
-13,27,0.3123709323286367,NoEnhancment,1.0,490.7064054197348,1049.6109976487767
-6,29,0.3495944820246337,NoEnhancment,1.0,446.5818631296573,949.5350539043573
55,23,0.6137723949292956,NoEnhancment,1.0,301.79886401971464,628.0454504144801
-24,23,0.2915362507088957,NoEnhancment,1.0,534.5869979484037,1125.0716571871083
-18,29,0.2944457194325674,NoEnhancment,1.0,528.7079636981089,1107.0640619047524
-28,27,0.3209292052006989,NoEnhancment,1.0,491.06363133313624,1026.9935728198216
14,24,0.2595967612469777,NoEnhancment,1.0,574.4382947603383,1262.428725819267
-3,20,0.3676036660077336,NoEnhancment,1.0,405.3312002053389,871.1402479272874
57,24,0.7846057200330026,NoEnhancment,1.0,280.68947161232427,616.9203944568295
30,28,0.27022666747254537,NoEnhancment,1.0,553.5694229380069,1219.8443901606
-4,24,0.3615123621909265,NoEnhancment,1.0,409.51069182536,894.2747388999103
13,28,0.2601041090034528,NoEnhancment,1.0,576.0689857769974,1256.2205438732715
-32,28,0.4105645638892584,NoEnhancment,1.0,378.35461994124336,815.1885308791069
-32,22,0.32998213230466017,NoEnhancment,1.0,461.53404062756124,991.2452115192376
-4,21,0.35843121771325315,NoEnhancment,1.0,414.0702021446499,885.8529068040907
30,28,0.27022666747254537,NoEnhancment,1.0,553.5694229380069,1219.8443901606
45,25,0.4208383659904836,NoEnhancment,1.0,371.16055751014886,800.323751693114
