Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-34,20,0.101175307,NoEnhancment,4595,1,395.0131705,1210.744872
-32,26,0.091848585,NoEnhancment,4595,1,436.7248829,1340.169475
-32,22,0.085899677,NoEnhancment,4595,1,461.5340406,1420.864803
-32,28,0.107221512,NoEnhancment,4595,1,378.3546199,1165.152115
-32,21,0.084288649,NoEnhancment,4595,1,472.9307478,1448.093783
-31,25,0.086966497,NoEnhancment,4595,1,459.2874054,1406.992467
-30,22,0.080768675,NoEnhancment,4595,1,490.8414593,1511.640353
-29,23,0.081426799,NoEnhancment,4595,1,486.8294853,1499.642917
-29,24,0.082476497,NoEnhancment,4595,1,482.4382981,1482.425149
-29,25,0.083607396,NoEnhancment,4595,1,487.0500426,1464.678386
-28,26,0.082632263,NoEnhancment,4595,1,501.1155415,1491.952264
-28,27,0.083545065,NoEnhancment,4595,1,491.0636313,1472.139817
-28,21,0.077471043,NoEnhancment,4595,1,509.2933665,1575.613118
-26,25,0.080238539,NoEnhancment,4595,1,505.2152735,1535.416145
-25,20,0.074167702,NoEnhancment,4595,1,532.0066799,1647.485321
-24,23,0.075827779,NoEnhancment,4595,1,534.5869979,1614.232858
-23,28,0.079537962,NoEnhancment,4595,1,513.3489454,1526.927139
-22,26,0.076166546,NoEnhancment,4595,1,539.4168738,1607.080868
-22,25,0.075499492,NoEnhancment,4595,1,540.1500976,1624.819917
-22,26,0.076166546,NoEnhancment,4595,1,539.4168738,1607.080868
-21,27,0.077653178,NoEnhancment,4595,1,524.0676433,1565.097543
-21,23,0.075513649,NoEnhancment,4595,1,546.2980491,1627.349165
-21,28,0.079273506,NoEnhancment,4595,1,519.1517979,1527.749695
-20,29,0.080410515,NoEnhancment,4595,1,510.6628826,1507.716893
-20,26,0.076122004,NoEnhancment,4595,1,540.1042159,1603.821944
-20,24,0.076708279,NoEnhancment,4595,1,532.9360301,1597.557499
-20,20,0.075874446,NoEnhancment,4595,1,543.5894367,1620.153935
-19,24,0.07797093,NoEnhancment,4595,1,531.8957508,1569.083326
-18,29,0.076580108,NoEnhancment,4595,1,528.7079637,1588.15656
-18,30,0.078781133,NoEnhancment,4595,1,515.026061,1543.785046
-18,21,0.077538232,NoEnhancment,4595,1,547.5243823,1598.286192
-18,25,0.078029877,NoEnhancment,4595,1,533.1091584,1563.795554
-18,30,0.078781133,NoEnhancment,4595,1,515.026061,1543.785046
-17,30,0.080108361,NoEnhancment,4595,1,497.9868221,1519.558249
-17,25,0.079147865,NoEnhancment,4595,1,517.5220149,1537.349767
-16,28,0.080861692,NoEnhancment,4595,1,497.1527163,1506.476135
-16,25,0.08012478,NoEnhancment,4595,1,512.5220496,1514.759113
-15,30,0.082404258,NoEnhancment,4595,1,489.5600595,1481.995091
-15,30,0.082404258,NoEnhancment,4595,1,489.5600595,1481.995091
-14,26,0.081182005,NoEnhancment,4595,1,493.0839411,1503.068507
-14,27,0.080994006,NoEnhancment,4595,1,493.7160021,1508.128185
-14,30,0.083184205,NoEnhancment,4595,1,489.6328384,1469.317776
-13,27,0.081286362,NoEnhancment,4595,1,490.7064054,1504.78623
-12,21,0.082982768,NoEnhancment,4595,1,472.0700907,1462.410358
-12,26,0.084907644,NoEnhancment,4595,1,469.9969686,1441.74065
-11,28,0.082261322,NoEnhancment,4595,1,484.973329,1491.575551
-11,24,0.086737201,NoEnhancment,4595,1,445.8254987,1395.011253
-10,20,0.087375866,NoEnhancment,4595,1,450.3976225,1382.410639
-10,20,0.087375866,NoEnhancment,4595,1,450.3976225,1382.410639
-10,20,0.087375866,NoEnhancment,4595,1,450.3976225,1382.410639
-10,23,0.084790379,NoEnhancment,4595,1,459.8175072,1417.642652
-10,23,0.084790379,NoEnhancment,4595,1,459.8175072,1417.642652
-10,21,0.086862014,NoEnhancment,4595,1,451.1641424,1382.727312
-9,25,0.087515679,NoEnhancment,4595,1,452.3837096,1396.91652
-9,25,0.087515679,NoEnhancment,4595,1,452.3837096,1396.91652
-8,30,0.087504191,NoEnhancment,4595,1,447.9824643,1410.317399
-7,29,0.095405776,NoEnhancment,4595,1,414.339824,1295.476354
-7,26,0.091241575,NoEnhancment,4595,1,436.2389196,1355.488528
-7,29,0.095405776,NoEnhancment,4595,1,414.339824,1295.476354
-6,20,0.08980168,NoEnhancment,4595,1,427.5090682,1321.460608
-6,29,0.09108923,NoEnhancment,4595,1,446.5818631,1359.567081
-6,23,0.090410611,NoEnhancment,4595,1,418.80491,1310.466894
-5,30,0.089362561,NoEnhancment,4595,1,452.3181084,1389.636849
-5,22,0.091898407,NoEnhancment,4595,1,417.3687056,1289.446427
-5,27,0.092350782,NoEnhancment,4595,1,437.6071106,1344.355174
-4,24,0.09426771,NoEnhancment,4595,1,409.5106918,1279.764951
-4,21,0.093465915,NoEnhancment,4595,1,414.0702021,1267.825595
-3,20,0.095703084,NoEnhancment,4595,1,405.3312002,1246.461949
-2,25,0.098114638,NoEnhancment,4595,1,398.3676001,1245.923125
0,27,0.097082234,NoEnhancment,4595,1,421.0076226,1281.365538
1,23,0.09194439,NoEnhancment,4595,1,426.5934226,1307.821098
1,26,0.093440943,NoEnhancment,4595,1,429.1269792,1319.94056
2,30,0.095664674,NoEnhancment,4595,1,423.211231,1308.012868
2,20,0.087348968,NoEnhancment,4595,1,446.0843595,1369.012197
3,21,0.086761958,NoEnhancment,4595,1,443.1534458,1378.908275
4,24,0.083565245,NoEnhancment,4595,1,475.9091598,1451.484072
4,24,0.083565245,NoEnhancment,4595,1,475.9091598,1451.484072
5,20,0.081313697,NoEnhancment,4595,1,484.6807833,1483.239335
6,23,0.078869002,NoEnhancment,4595,1,506.1728285,1547.504078
6,30,0.078923435,NoEnhancment,4595,1,509.0798044,1570.071767
8,24,0.074705359,NoEnhancment,4595,1,536.6733956,1643.109459
8,22,0.076045072,NoEnhancment,4595,1,518.5369232,1601.49207
8,25,0.073872345,NoEnhancment,4595,1,539.4178528,1654.534516
9,28,0.073167726,NoEnhancment,4595,1,541.5921143,1695.81685
9,28,0.073167726,NoEnhancment,4595,1,541.5921143,1695.81685
9,20,0.073910363,NoEnhancment,4595,1,532.5984704,1657.384581
10,23,0.071920223,NoEnhancment,4595,1,549.2211642,1701.850041
11,30,0.072657674,NoEnhancment,4595,1,531.6423697,1667.026021
11,26,0.069065624,NoEnhancment,4595,1,566.4578781,1765.726955
11,22,0.070211826,NoEnhancment,4595,1,561.2797593,1742.795804
12,22,0.069272138,NoEnhancment,4595,1,571.4653194,1771.730134
12,28,0.068809095,NoEnhancment,4595,1,569.7700628,1779.460186
12,22,0.069272138,NoEnhancment,4595,1,571.4653194,1771.730134
13,28,0.067520045,NoEnhancment,4595,1,576.0689858,1804.043731
13,25,0.067891701,NoEnhancment,4595,1,567.1860235,1792.945849
14,24,0.067395989,NoEnhancment,4595,1,574.4382948,1812.98133
14,24,0.067395989,NoEnhancment,4595,1,574.4382948,1812.98133
14,20,0.067243511,NoEnhancment,4595,1,585.3735319,1833.808441
15,28,0.064749353,NoEnhancment,4595,1,594.1377654,1865.227443
16,27,0.064326231,NoEnhancment,4595,1,597.2027823,1873.31694
16,26,0.064007527,NoEnhancment,4595,1,598.6107941,1883.756911
16,25,0.063845822,NoEnhancment,4595,1,601.8439473,1890.926232
17,30,0.064451322,NoEnhancment,4595,1,598.6412066,1859.888283
17,23,0.063576609,NoEnhancment,4595,1,614.432904,1937.570222
18,24,0.063319446,NoEnhancment,4595,1,613.2405596,1921.214917
22,22,0.065569387,NoEnhancment,4595,1,597.6783987,1868.658338
23,23,0.066454108,NoEnhancment,4595,1,585.953257,1834.433554
23,30,0.066549849,NoEnhancment,4595,1,580.2318724,1811.335648
24,27,0.06586673,NoEnhancment,4595,1,583.9837906,1820.663057
27,20,0.068880765,NoEnhancment,4595,1,562.0239123,1759.438934
27,28,0.067547579,NoEnhancment,4595,1,576.1763163,1801.631354
29,26,0.0691037,NoEnhancment,4595,1,565.7534205,1773.160871
29,23,0.069573865,NoEnhancment,4595,1,556.6738453,1742.481368
30,20,0.071635963,NoEnhancment,4595,1,541.1990331,1688.588408
30,28,0.07015707,NoEnhancment,4595,1,553.5694229,1751.009128
30,28,0.07015707,NoEnhancment,4595,1,553.5694229,1751.009128
32,23,0.073501088,NoEnhancment,4595,1,530.6374589,1657.685247
38,28,0.088466017,NoEnhancment,4595,1,439.9310268,1388.220806
39,22,0.098857306,NoEnhancment,4595,1,400.2360904,1241.051142
39,23,0.090910753,NoEnhancment,4595,1,433.0605279,1353.257301
39,27,0.083901377,NoEnhancment,4595,1,471.0329372,1462.871909
40,29,0.097560397,NoEnhancment,4595,1,404.8927939,1258.217642
40,28,0.100802761,NoEnhancment,4595,1,378.5987541,1216.076684
43,26,0.112187488,NoEnhancment,4595,1,357.2139788,1101.073519
43,21,0.121320202,NoEnhancment,4595,1,350.6331093,1035.891376
44,25,0.106782918,NoEnhancment,4595,1,381.7005825,1161.740099
45,25,0.109147319,NoEnhancment,4595,1,371.1605575,1143.023313
45,25,0.109147319,NoEnhancment,4595,1,371.1605575,1143.023313
45,23,0.108635997,NoEnhancment,4595,1,379.9308832,1151.496685
45,29,0.104767941,NoEnhancment,4595,1,391.602373,1196.492372
46,22,0.11317656,NoEnhancment,4595,1,362.2857577,1109.926309
47,20,0.11258471,NoEnhancment,4595,1,361.2572577,1126.287936
48,22,0.119803992,NoEnhancment,4595,1,346.8660596,1070.601513
48,30,0.121023691,NoEnhancment,4595,1,363.3831217,1049.728836
48,27,0.121944339,NoEnhancment,4595,1,362.7900951,1050.63174
48,21,0.117763248,NoEnhancment,4595,1,354.696796,1083.428693
49,21,0.137496526,NoEnhancment,4595,1,316.3128395,961.6340654
49,28,0.125992165,NoEnhancment,4595,1,350.0634143,1015.254961
50,27,0.131445045,NoEnhancment,4595,1,330.9362562,979.4098281
50,23,0.13641678,NoEnhancment,4595,1,321.5291209,956.4732269
51,20,0.139814873,NoEnhancment,4595,1,312.1613526,924.1123976
52,25,0.139183103,NoEnhancment,4595,1,322.5320786,941.1156764
52,30,0.141015532,NoEnhancment,4595,1,325.4947883,962.4856435
54,24,0.159524611,NoEnhancment,4595,1,288.4464238,856.1237148
55,23,0.156006621,NoEnhancment,4595,1,301.798864,892.8797415
55,26,0.170111088,NoEnhancment,4595,1,282.4489245,853.889511
56,22,0.164022759,NoEnhancment,4595,1,285.854657,869.837828
57,24,0.19140451,NoEnhancment,4595,1,280.6894716,876.8240084
