Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-34,20,0.096583665,OPVTypical4,4595,1.256935268,395.0131705,1267.863058
-32,26,0.08773953,OPVTypical4,4595,1.239565415,436.7248829,1402.636591
-32,28,0.100864774,OPVTypical4,4595,1.29859622,378.3546199,1238.452691
-32,22,0.082692191,OPVTypical4,4595,1.209160005,461.5340406,1475.638955
-32,21,0.081411995,OPVTypical4,4595,1.191845708,472.9307478,1498.912816
-31,25,0.083441472,OPVTypical4,4595,1.216905746,459.2874054,1466.164707
-30,22,0.077891553,OPVTypical4,4595,1.199456843,490.8414593,1567.158649
-29,23,0.078339606,OPVTypical4,4595,1.20286323,486.8294853,1558.477983
-29,24,0.07933708,OPVTypical4,4595,1.20470133,482.4382981,1540.880172
-29,25,0.080490737,OPVTypical4,4595,1.198971888,487.0500426,1521.140209
-28,26,0.080063989,OPVTypical4,4595,1.179168748,501.1155415,1539.583466
-28,27,0.080506032,OPVTypical4,4595,1.192103347,491.0636313,1527.560474
-28,21,0.074897687,OPVTypical4,4595,1.192084251,509.2933665,1629.565542
-26,25,0.077576865,OPVTypical4,4595,1.183861996,505.2152735,1588.023083
-25,20,0.072145113,OPVTypical4,4595,1.163483686,532.0066799,1693.860657
-24,23,0.073848308,OPVTypical4,4595,1.159729983,534.5869979,1657.67003
-23,28,0.076937302,OPVTypical4,4595,1.188268407,513.3489454,1578.457808
-22,26,0.074034321,OPVTypical4,4595,1.16522881,539.4168738,1653.457296
-22,25,0.073546681,OPVTypical4,4595,1.160615141,540.1500976,1668.121244
-22,26,0.074034321,OPVTypical4,4595,1.16522881,539.4168738,1653.457296
-21,27,0.075397341,OPVTypical4,4595,1.187121083,524.0676433,1611.89413
-21,23,0.073888797,OPVTypical4,4595,1.140021257,546.2980491,1663.396562
-21,28,0.076728079,OPVTypical4,4595,1.190322401,519.1517979,1578.380432
-20,29,0.077792988,OPVTypical4,4595,1.190313203,510.6628826,1558.371627
-20,26,0.074201697,OPVTypical4,4595,1.164842694,540.1042159,1645.329411
-20,24,0.074801384,OPVTypical4,4595,1.15771475,532.9360301,1638.543538
-20,20,0.073783824,OPVTypical4,4595,1.145862164,543.5894367,1666.314598
-19,24,0.075979099,OPVTypical4,4595,1.160732887,531.8957508,1610.49413
-18,29,0.074048687,OPVTypical4,4595,1.194910898,528.7079637,1642.419922
-18,30,0.075956808,OPVTypical4,4595,1.197789918,515.026061,1601.234061
-18,21,0.075596032,OPVTypical4,4595,1.138095915,547.5243823,1639.556254
-18,25,0.076054299,OPVTypical4,4595,1.168025379,533.1091584,1604.593835
-18,30,0.075956808,OPVTypical4,4595,1.197789918,515.026061,1601.234061
-17,30,0.077093117,OPVTypical4,4595,1.202770427,497.9868221,1579.073987
-17,25,0.076948492,OPVTypical4,4595,1.185392318,517.5220149,1581.555972
-16,28,0.078160487,OPVTypical4,4595,1.194838082,497.1527163,1558.593298
-16,25,0.078038734,OPVTypical4,4595,1.181459645,512.5220496,1555.497281
-15,30,0.079510396,OPVTypical4,4595,1.221425899,489.5600595,1535.992697
-15,30,0.079510396,OPVTypical4,4595,1.221425899,489.5600595,1535.992697
-14,26,0.078343954,OPVTypical4,4595,1.209349097,493.0839411,1557.85722
-14,27,0.078131898,OPVTypical4,4595,1.214453225,493.7160021,1563.545642
-14,30,0.080092276,OPVTypical4,4595,1.210158449,489.6328384,1526.153067
-13,27,0.078368574,OPVTypical4,4595,1.20878482,490.7064054,1561.084764
-12,21,0.079736131,OPVTypical4,4595,1.218253889,472.0700907,1522.150863
-12,26,0.081766319,OPVTypical4,4595,1.216696534,469.9969686,1497.506137
-11,28,0.079293145,OPVTypical4,4595,1.208804835,484.973329,1547.569234
-11,24,0.082912096,OPVTypical4,4595,1.2556163,445.8254987,1459.83458
-10,20,0.083377051,OPVTypical4,4595,1.247559975,450.3976225,1448.828401
-10,20,0.083377051,OPVTypical4,4595,1.247559975,450.3976225,1448.828401
-10,20,0.083377051,OPVTypical4,4595,1.247559975,450.3976225,1448.828401
-10,23,0.08156912,OPVTypical4,4595,1.236504536,459.8175072,1473.996951
-10,23,0.08156912,OPVTypical4,4595,1.236504536,459.8175072,1473.996951
-10,21,0.083067984,OPVTypical4,4595,1.249025708,451.1641424,1446.000951
-9,25,0.083881528,OPVTypical4,4595,1.244711367,452.3837096,1457.967406
-9,25,0.083881528,OPVTypical4,4595,1.244711367,452.3837096,1457.967406
-8,30,0.082816579,OPVTypical4,4595,1.252688025,447.9824643,1490.462088
-7,29,0.089436536,OPVTypical4,4595,1.286685786,414.339824,1382.202397
-7,26,0.086963255,OPVTypical4,4595,1.248603424,436.2389196,1422.648033
-7,29,0.089436536,OPVTypical4,4595,1.286685786,414.339824,1382.202397
-6,20,0.085349045,OPVTypical4,4595,1.277529727,427.5090682,1390.418067
-6,29,0.087221999,OPVTypical4,4595,1.223339294,446.5818631,1419.856349
-6,23,0.085401623,OPVTypical4,4595,1.293596507,418.80491,1387.599288
-5,22,0.08676015,OPVTypical4,4595,1.30883406,417.3687056,1365.887366
-5,30,0.084895603,OPVTypical4,4595,1.243506999,452.3181084,1462.984204
-5,27,0.088180132,OPVTypical4,4595,1.24182243,437.6071106,1408.157051
-4,24,0.088646984,OPVTypical4,4595,1.300155674,409.5106918,1361.142154
-4,21,0.087954288,OPVTypical4,4595,1.311367727,414.0702021,1347.36263
-3,20,0.090129709,OPVTypical4,4595,1.317747233,405.3312002,1323.568619
-2,25,0.092768398,OPVTypical4,4595,1.292396214,398.3676001,1317.869207
0,27,0.091605126,OPVTypical4,4595,1.29402044,421.0076226,1357.620567
1,23,0.086718051,OPVTypical4,4595,1.305216774,426.5934226,1386.465741
1,26,0.088511027,OPVTypical4,4595,1.274538355,429.1269792,1393.235447
2,30,0.088226418,OPVTypical4,4595,1.31383597,423.211231,1417.997035
2,20,0.082739165,OPVTypical4,4595,1.307784903,446.0843595,1444.917157
3,21,0.081936208,OPVTypical4,4595,1.307985754,443.1534458,1459.807855
4,24,0.079735942,OPVTypical4,4595,1.259815505,475.9091598,1520.956494
4,24,0.079735942,OPVTypical4,4595,1.259815505,475.9091598,1520.956494
5,20,0.077305808,OPVTypical4,4595,1.276701498,484.6807833,1559.680775
6,23,0.07568424,OPVTypical4,4595,1.250923612,506.1728285,1612.399933
6,30,0.076289061,OPVTypical4,4595,1.203838589,509.0798044,1623.831451
8,24,0.072007226,OPVTypical4,4595,1.214251836,536.6733956,1704.489912
8,22,0.072529874,OPVTypical4,4595,1.257074669,518.5369232,1678.674839
8,25,0.071272709,OPVTypical4,4595,1.202311849,539.4178528,1714.6168
9,28,0.071377441,OPVTypical4,4595,1.159452395,541.5921143,1737.735684
9,28,0.071377441,OPVTypical4,4595,1.159452395,541.5921143,1737.735684
9,20,0.071077403,OPVTypical4,4595,1.223598176,532.5984704,1722.964528
10,23,0.069192857,OPVTypical4,4595,1.220239924,549.2211642,1768.576644
11,30,0.070563757,OPVTypical4,4595,1.205918829,531.6423697,1715.90361
11,26,0.06709443,OPVTypical4,4595,1.175150469,566.4578781,1817.294284
11,22,0.067624857,OPVTypical4,4595,1.20310642,561.2797593,1809.154246
12,22,0.066879654,OPVTypical4,4595,1.1899908,571.4653194,1834.882245
12,28,0.067240251,OPVTypical4,4595,1.153561688,569.7700628,1820.441483
12,22,0.066879654,OPVTypical4,4595,1.1899908,571.4653194,1834.882245
13,28,0.066060374,OPVTypical4,4595,1.150616425,576.0689858,1843.475248
13,25,0.065571897,OPVTypical4,4595,1.239412988,567.1860235,1856.104088
14,24,0.065073981,OPVTypical4,4595,1.181414646,574.4382948,1877.326671
14,20,0.065654807,OPVTypical4,4595,1.149550062,585.3735319,1878.052235
14,24,0.065073981,OPVTypical4,4595,1.181414646,574.4382948,1877.326671
15,28,0.063246765,OPVTypical4,4595,1.153587575,594.1377654,1909.170902
16,27,0.062678538,OPVTypical4,4595,1.164871555,597.2027823,1922.271163
16,26,0.062277905,OPVTypical4,4595,1.171161973,598.6107941,1935.80031
16,25,0.062254249,OPVTypical4,4595,1.161986321,601.8439473,1939.112838
17,30,0.062990846,OPVTypical4,4595,1.160762758,598.6412066,1902.674144
17,23,0.06210493,OPVTypical4,4595,1.121535941,614.432904,1983.530358
18,24,0.061926569,OPVTypical4,4595,1.131128921,613.2405596,1964.465421
22,22,0.06449436,OPVTypical4,4595,1.101487448,597.6783987,1900.250417
23,23,0.065242297,OPVTypical4,4595,1.115782572,585.953257,1868.865886
23,30,0.064958585,OPVTypical4,4595,1.155336256,580.2318724,1855.482383
24,27,0.064226873,OPVTypical4,4595,1.159218677,583.9837906,1867.301069
27,20,0.067211284,OPVTypical4,4595,1.148452041,562.0239123,1803.197401
27,28,0.065940825,OPVTypical4,4595,1.145067418,576.1763163,1845.653216
29,26,0.067404723,OPVTypical4,4595,1.150647246,565.7534205,1818.12506
29,23,0.067768677,OPVTypical4,4595,1.171373771,556.6738453,1789.169382
30,20,0.069546758,OPVTypical4,4595,1.174143902,541.1990331,1739.389605
30,28,0.06844169,OPVTypical4,4595,1.145533312,553.5694229,1795.016238
30,28,0.06844169,OPVTypical4,4595,1.145533312,553.5694229,1795.016238
32,23,0.07118783,OPVTypical4,4595,1.189215509,530.6374589,1711.786246
38,28,0.082058506,OPVTypical4,4595,1.386146403,439.9310268,1497.153551
39,22,0.091074969,OPVTypical4,4595,1.434489607,400.2360904,1347.91874
39,23,0.085881805,OPVTypical4,4595,1.331234692,433.0605279,1433.160411
39,27,0.080861589,OPVTypical4,4595,1.233859119,471.0329372,1518.298418
40,29,0.091502517,OPVTypical4,4595,1.396446088,404.8927939,1342.125593
40,28,0.092213104,OPVTypical4,4595,1.439234371,378.5987541,1330.187298
43,26,0.103157266,OPVTypical4,4595,1.464878083,357.2139788,1198.207366
43,21,0.110868548,OPVTypical4,4595,1.469204011,350.6331093,1134.147389
44,25,0.10016397,OPVTypical4,4595,1.397355762,381.7005825,1238.98975
45,25,0.100103405,OPVTypical4,4595,1.453879474,371.1605575,1246.845571
45,25,0.100103405,OPVTypical4,4595,1.453879474,371.1605575,1246.845571
45,23,0.100147365,OPVTypical4,4595,1.427237808,379.9308832,1249.77777
45,29,0.09886864,OPVTypical4,4595,1.364894799,391.602373,1268.366517
46,22,0.105077989,OPVTypical4,4595,1.411803835,362.2857577,1195.825128
47,20,0.104411413,OPVTypical4,4595,1.414275273,361.2572577,1214.760343
48,22,0.11063999,OPVTypical4,4595,1.452624088,346.8660596,1159.662711
48,30,0.112655958,OPVTypical4,4595,1.438168672,363.3831217,1128.302554
48,27,0.113462602,OPVTypical4,4595,1.417176643,362.7900951,1129.778787
48,21,0.109020151,OPVTypical4,4595,1.44144099,354.696796,1170.633614
49,21,0.124402987,OPVTypical4,4595,1.487549458,316.3128395,1063.233931
49,28,0.116661317,OPVTypical4,4595,1.442484221,350.0634143,1097.188477
50,27,0.120685752,OPVTypical4,4595,1.469775347,330.9362562,1067.507907
50,23,0.124721043,OPVTypical4,4595,1.481102868,321.5291209,1046.669848
51,20,0.126637657,OPVTypical4,4595,1.506084333,312.1613526,1020.778168
52,25,0.12748873,OPVTypical4,4595,1.499004833,322.5320786,1028.090373
52,30,0.128606789,OPVTypical4,4595,1.500044445,325.4947883,1056.084653
54,24,0.142647371,OPVTypical4,4595,1.564530121,288.4464238,958.1891533
55,23,0.141350038,OPVTypical4,4595,1.542222864,301.798864,986.0123632
55,26,0.153007896,OPVTypical4,4595,1.574177916,282.4489245,950.1097219
56,22,0.14732884,OPVTypical4,4595,1.557374739,285.854657,968.9734335
57,24,0.17278432,OPVTypical4,4595,1.559194356,280.6894716,971.946666
