Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-34,20,0.101003043,OPVTypical,4595,1.020176259,395.0131705,1212.795912
-32,26,0.091598894,OPVTypical,4595,1.020381169,436.7248829,1343.798944
-32,28,0.107010429,OPVTypical,4595,1.021178419,378.3546199,1167.438517
-32,22,0.085756665,OPVTypical,4595,1.015079609,461.5340406,1423.206534
-32,21,0.084197141,OPVTypical,4595,1.012923169,472.9307478,1449.656264
-31,25,0.086778685,OPVTypical,4595,1.016748925,459.2874054,1410.011359
-30,22,0.080690356,OPVTypical,4595,1.010783194,490.8414593,1513.105228
-29,23,0.081315571,OPVTypical,4595,1.011292017,486.8294853,1501.704692
-29,24,0.082332579,OPVTypical,4595,1.015154149,482.4382981,1485.023501
-29,25,0.083467708,OPVTypical,4595,1.014628746,487.0500426,1467.119931
-28,26,0.082529204,OPVTypical,4595,1.0127289,501.1155415,1493.797928
-28,27,0.083417334,OPVTypical,4595,1.014411967,491.0636313,1474.362508
-28,21,0.07739004,OPVTypical,4595,1.011513411,509.2933665,1577.268911
-26,25,0.080152775,OPVTypical,4595,1.01194533,505.2152735,1537.067666
-25,20,0.074084121,OPVTypical,4595,1.011616264,532.0066799,1649.355574
-24,23,0.075719195,OPVTypical,4595,1.016970065,534.5869979,1616.56104
-23,28,0.079465382,OPVTypical,4595,1.010758123,513.3489454,1528.323218
-22,26,0.076110226,OPVTypical,4595,1.008721407,539.4168738,1608.280089
-22,26,0.076110226,OPVTypical,4595,1.008721407,539.4168738,1608.280089
-22,25,0.075439462,OPVTypical,4595,1.010436155,540.1500976,1626.122452
-21,27,0.077602256,OPVTypical,4595,1.010980565,524.0676433,1566.130838
-21,23,0.075449083,OPVTypical,4595,1.010742612,546.2980491,1628.745296
-21,28,0.079216467,OPVTypical,4595,1.009836605,519.1517979,1528.852801
-20,29,0.080353293,OPVTypical,4595,1.009729631,510.6628826,1508.79546
-20,26,0.076064029,OPVTypical,4595,1.010634504,540.1042159,1605.052579
-20,24,0.076630316,OPVTypical,4595,1.011270965,532.9360301,1599.187698
-20,20,0.075779285,OPVTypical,4595,1.010623131,543.5894367,1622.199831
-19,24,0.077867734,OPVTypical,4595,1.014405735,531.8957508,1571.174273
-18,29,0.076529022,OPVTypical,4595,1.009924581,528.7079637,1589.226324
-18,30,0.078694372,OPVTypical,4595,1.011338855,515.026061,1545.49837
-18,21,0.077453404,OPVTypical,4595,1.010258082,547.5243823,1600.04631
-18,25,0.077954252,OPVTypical,4595,1.013338534,533.1091584,1565.320283
-18,30,0.078694372,OPVTypical,4595,1.011338855,515.026061,1545.49837
-17,30,0.080017681,OPVTypical,4595,1.012353679,497.9868221,1521.292319
-17,25,0.079064099,OPVTypical,4595,1.015130715,517.5220149,1538.984911
-16,28,0.080808933,OPVTypical,4595,1.008926826,497.1527163,1507.469847
-16,25,0.080047118,OPVTypical,4595,1.015381148,512.5220496,1516.235011
-15,30,0.082324284,OPVTypical,4595,1.012074055,489.5600595,1483.449375
-15,30,0.082324284,OPVTypical,4595,1.012074055,489.5600595,1483.449375
-14,26,0.081098603,OPVTypical,4595,1.013455002,493.0839411,1504.627787
-14,27,0.080919414,OPVTypical,4595,1.011454335,493.7160021,1509.536345
-14,30,0.083087381,OPVTypical,4595,1.013968927,489.6328384,1471.05323
-13,27,0.081217245,OPVTypical,4595,1.010946659,490.7064054,1506.08382
-12,21,0.082828039,OPVTypical,4595,1.015918986,472.0700907,1465.113057
-12,26,0.084809282,OPVTypical,4595,1.015598023,469.9969686,1443.433063
-11,28,0.082186899,OPVTypical,4595,1.012618975,484.973329,1492.945177
-11,24,0.086469823,OPVTypical,4595,1.022726181,445.8254987,1399.313649
-10,20,0.08723438,OPVTypical,4595,1.017833457,450.3976225,1384.628617
-10,20,0.08723438,OPVTypical,4595,1.017833457,450.3976225,1384.628617
-10,20,0.08723438,OPVTypical,4595,1.017833457,450.3976225,1384.628617
-10,23,0.084562379,OPVTypical,4595,1.019816425,459.8175072,1421.461864
-10,23,0.084562379,OPVTypical,4595,1.019816425,459.8175072,1421.461864
-10,21,0.086660562,OPVTypical,4595,1.020894258,451.1641424,1385.901777
-9,25,0.087339643,OPVTypical,4595,1.018404496,452.3837096,1399.738859
-9,25,0.087339643,OPVTypical,4595,1.018404496,452.3837096,1399.738859
-8,30,0.087407382,OPVTypical,4595,1.013903058,447.9824643,1411.902835
-7,29,0.095287362,OPVTypical,4595,1.01471235,414.339824,1297.097409
-7,26,0.091116484,OPVTypical,4595,1.012709492,436.2389196,1357.375555
-7,29,0.095287362,OPVTypical,4595,1.01471235,414.339824,1297.097409
-6,20,0.089676085,OPVTypical,4595,1.022724972,427.5090682,1323.298381
-6,29,0.090962777,OPVTypical,4595,1.013822039,446.5818631,1361.487806
-6,23,0.090051915,OPVTypical,4595,1.024798674,418.80491,1315.637708
-5,30,0.089255813,OPVTypical,4595,1.01439842,452.3181084,1391.321502
-5,22,0.091628849,OPVTypical,4595,1.022413558,417.3687056,1293.211484
-5,27,0.092212517,OPVTypical,4595,1.014194556,437.6071106,1346.396912
-4,24,0.093943598,OPVTypical,4595,1.021569429,409.5106918,1284.157074
-4,21,0.093285472,OPVTypical,4595,1.020104452,414.0702021,1270.257915
-3,20,0.095537074,OPVTypical,4595,1.024470596,405.3312002,1248.614683
-2,25,0.097783915,OPVTypical,4595,1.020418287,398.3676001,1250.129738
0,27,0.096798527,OPVTypical,4595,1.023425223,421.0076226,1285.120162
1,23,0.091732249,OPVTypical,4595,1.017394598,426.5934226,1310.821305
1,26,0.093180657,OPVTypical,4595,1.018405215,429.1269792,1323.618421
2,30,0.095594179,OPVTypical,4595,1.017754493,423.211231,1308.972706
2,20,0.087244557,OPVTypical,4595,1.018729919,446.0843595,1370.644139
3,21,0.086566478,OPVTypical,4595,1.019197687,443.1534458,1382.008297
4,24,0.083360259,OPVTypical,4595,1.015011359,475.9091598,1455.042884
4,24,0.083360259,OPVTypical,4595,1.015011359,475.9091598,1455.042884
5,20,0.081187566,OPVTypical,4595,1.015441664,484.6807833,1485.534963
6,23,0.078768046,OPVTypical,4595,1.010793959,506.1728285,1549.481458
6,30,0.078856737,OPVTypical,4595,1.021236857,509.0798044,1571.388146
8,24,0.074611438,OPVTypical,4595,1.009554423,536.6733956,1645.162061
8,22,0.075962547,OPVTypical,4595,1.009788815,518.5369232,1603.219082
