Job.Latitude,Job.Longitude,Panel.Irradiance
-27,20,"[4820 4186 3084 3880 5080 3266 2804 4320 4020 5190 4860 4645 3985 4590
 2520 2780 3460 3080 2640]"
-5,29,"[9568 7586 4586 4204 5926 4123 4121 3822 4365 3643 4163 3761 3522 3701
 3020 1980 2000 1700 1220]"
-22,23,"[3520 4220 4385 3745 2640 3660 3704 3001 3305 4280 3085 4385 4880 5665
 4325 4050 3680 2960 2880]"
11,25,"[4681 3324 4142 3264 2741 3041 2964 3781 2965 2681 3244 4102 4243 2620
 3565 5884 5041 4027 6525]"
13,28,"[2422 4022 4325 5062  961 1721 3860 4507 3540 1703 1720 5243 3984 3122
 3120 5649 4603 7205 6286]"
40,21,"[16227  8202  4862  4063  2363  2061  2982  3145  2060  1924  2501  3062
  2322  2121  3442  3388  1962  2124  1904]"
-13,26,"[5665 5005 3800 4040 3785 3642 3223 3720 4043 3664 4043 4501 4766 5764
 4526 3668 2960 3220 2300]"
39,23,"[8922 5624 4740 3985 3121 3043 3283 4081 3126 2202 3223 4262 3904 2761
 3485 2841 2344 3682 3325]"
-25,21,"[3700 5060 3670 3420 3700 4060 2990 2920 4640 3400 3990 5240 5264 4686
 3250 2740 3680 2880 2480]"
1,21,"[8483 4361 4745 4346 4261 3342 4503 3446 3060 4022 4186 4703 4022 4024
 3804 2762 2300 2520 1940]"
27,30,"[4582 3143 2460 2745 4200 3705 3000 1940 3625 4240 4365 2960 3983 6682
 5144 3061 4365 5085 3342]"
53,29,"[11009  7805  4761  4303  3586  3607  3084  2562  2303  3121  2502  2143
  2001  2341  2301  1382  2241  1842  1543]"
-2,28,"[9604 6645 3760 4042 4203 3523 3381 3522 3464 3463 3862 3763 4226 3644
 3026 2722 2280 1940 1520]"
41,30,"[10869  7167  5224  3386  4143  3681  2921  3065  3503  3780  2583  2701
  3102  2961  2063  1561  2502  1903  2462]"
3,27,"[5804 5746 4984 3381 3400 3426 3502 3822 3680 3945 3262 3860 4486 4206
 3703 3184 4020 2820 2440]"
14,26,"[4120 3282 3923 2425 3360 2000 3261 3823 3265 2401 2200 4141 4767 2382
 3661 5804 4505 5982 8268]"
-31,28,"[8640 5160 5189 4961 4681 3980 5050 5140 4884 4027 3766 3427 2380 2280
 2160 2140 1860 1620 1880]"
49,24,"[13449  8529  6448  4383  3603  3062  2841  2962  2682  2242  2621  2960
  2063  1785  2502  1482  1681  1840  1302]"
12,25,"[4620 3583 4202 3065 2801 2960 2605 3620 3105 2503 3063 3502 4864 2301
 3561 5607 5082 4844 7067]"
55,22,"[10508  6163  5667  4685  3943  2803  3163  2983  3000  2383  2521  2861
  2325  2001  1982  2184  1481  1800  1282]"
-27,29,"[6344 4680 5362 3922 2987 3380 4341 3182 4166 3980 4782 5308 3880 3172
 3303 3380 2220 2180 2620]"
57,23,"[9950 7322 5248 4623 3365 3565 3645 2642 2882 2704 2583 2483 1981 1763
 1740 1762 1840  960 1180]"
