ProjectName,PreCalculated,Location,Latitude,Longitude,PanTyp,PanCosInf,PanFlrPri,InvLif,PrjLif,Irr,ModSta,PrjTyp,PrjLoc,OprCosInf,InvCosInf,OprCos,RenCos,RenInf
Closed Triangle 1,y,Fiji,-18.112108,178.45359,1,-1,0.0245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 2,y,Fiji,-18.112108,178.45359,2,-1,0.049,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 3,y,Fiji,-18.112108,178.45359,3,-1,0.1225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 4,y,Fiji,-18.112108,178.45359,4,-1,0.245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 5,y,Fiji,-18.112108,178.45359,5,-1,0.49,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 6,y,Fiji,-18.112108,178.45359,6,-1,1.225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 7,y,Fiji,-18.112108,178.45359,7,-1,2.45,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Triangle 8,y,Fiji,-18.112108,178.45359,8,-1,4.9,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 1,y,Fiji,-18.112108,178.45359,9,-1,0.0245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 2,y,Fiji,-18.112108,178.45359,10,-1,0.049,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 3,y,Fiji,-18.112108,178.45359,11,-1,0.1225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 4,y,Fiji,-18.112108,178.45359,12,-1,0.245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 5,y,Fiji,-18.112108,178.45359,13,-1,0.49,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 6,y,Fiji,-18.112108,178.45359,14,-1,1.225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 7,y,Fiji,-18.112108,178.45359,15,-1,2.45,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Triangle 8,y,Fiji,-18.112108,178.45359,16,-1,4.9,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 1,y,Fiji,-18.112108,178.45359,17,-1,0.0245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 2,y,Fiji,-18.112108,178.45359,18,-1,0.049,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 3,y,Fiji,-18.112108,178.45359,19,-1,0.1225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 4,y,Fiji,-18.112108,178.45359,20,-1,0.245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 5,y,Fiji,-18.112108,178.45359,21,-1,0.49,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 6,y,Fiji,-18.112108,178.45359,22,-1,1.225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 7,y,Fiji,-18.112108,178.45359,23,-1,2.45,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Circles 8,y,Fiji,-18.112108,178.45359,24,-1,4.9,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Circles 1,y,Fiji,-18.112108,178.45359,25,-1,0.0245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
