Latitude (decimal degrees):	45.000
Longitude (decimal degrees):	5.000
Elevation (m):	175
Radiation database:	PVGIS-SARAH


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,7.39,4.51,0.0
20050101:0110,0.0,0.0,7.17,4.51,0.0
20050101:0210,0.0,0.0,6.96,4.51,0.0
20050101:0310,0.0,0.0,6.74,4.51,0.0
20050101:0410,0.0,0.0,6.81,4.53,0.0
20050101:0510,0.0,0.0,6.88,4.56,0.0
20050101:0610,0.0,0.0,6.95,4.58,0.0
20050101:0710,0.0,0.0,7.4,4.7,0.0
20050101:0810,47.0,6.51,7.86,4.82,0.0
20050101:0910,180.01,13.59,8.32,4.94,0.0
20050101:1010,294.01,18.77,9.05,5.13,0.0
20050101:1110,365.01,21.58,9.78,5.31,0.0
20050101:1210,400.02,21.71,10.51,5.5,0.0
20050101:1310,357.02,19.15,10.66,4.71,0.0
20050101:1410,264.01,14.17,10.81,3.91,0.0
20050101:1510,138.01,7.25,10.96,3.12,0.0
20050101:1610,0.0,-1.14,10.18,3.0,1.0
20050101:1710,0.0,0.0,9.4,2.89,0.0
20050101:1810,0.0,0.0,8.63,2.77,0.0
20050101:1910,0.0,0.0,8.45,2.85,0.0
20050101:2010,0.0,0.0,8.27,2.92,0.0
20050101:2110,0.0,0.0,8.09,2.99,0.0
20050101:2210,0.0,0.0,8.17,3.16,0.0
20050101:2310,0.0,0.0,8.26,3.33,0.0
20050102:0010,0.0,0.0,8.34,3.5,0.0
20050102:0110,0.0,0.0,8.73,3.61,0.0
20050102:0210,0.0,0.0,9.12,3.72,0.0
20050102:0310,0.0,0.0,9.51,3.83,0.0
20050102:0410,0.0,0.0,9.35,3.9,0.0
20050102:0510,0.0,0.0,9.19,3.96,0.0
20050102:0610,0.0,0.0,9.03,4.03,0.0
20050102:0710,0.0,0.0,9.37,4.31,0.0
20050102:0810,47.0,6.52,9.71,4.6,0.0
20050102:0910,191.01,13.62,10.05,4.88,0.0
20050102:1010,99.0,18.82,10.66,5.56,0.0
